date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-11-30,2015-12-18,ORCL,2197000000,0.52,4307843000,8993000000,3486000000,45924000000,41940000000,24529000000,17411000000,306000000,501000000,10.660555642348154,0.04783990941555614,0.0206324014161885,0.03556695563903853,0.913247974915077
2016-02-29,2016-03-18,ORCL,2142000000,0.51,4256000000,9012000000,3588000000,45870000000,40106000000,24523000000,15583000000,3106000000,3474000000,10.777725563909774,0.04669718770438195,0.02042061509714569,0.035118282487616746,0.8743405275779377
2016-05-31,2016-06-22,ORCL,2814000000,0.68,4238000000,10594000000,5310000000,47289000000,43855000000,23703000000,20152000000,3550000000,3730000000,11.158329400660689,0.059506439129607305,0.02508468532715279,0.04397171331111444,0.9273826894203726
2016-08-31,2016-09-19,ORCL,1832000000,0.44,4221000000,8595000000,3322000000,47435000000,54056000000,25442000000,28614000000,5576000000,5875000000,11.237858327410565,0.03862127121323917,0.014867354308854679,0.029545120043949383,1.1395804785495942
2016-11-30,2016-12-19,ORCL,2032000000,0.5,4104000000,9035000000,3477000000,48462000000,54327000000,35735000000,18592000000,329000000,1086000000,11.808479532163743,0.041929759399116834,0.01644012944983819,0.028430335710196725,1.121022656927077
2017-02-28,2017-03-17,ORCL,2239000000,0.55,4107000000,9205000000,3521000000,50615000000,53967000000,34219000000,19748000000,2259000000,2699000000,12.324080837594352,0.04423589844907636,0.017857427700945908,0.0308143319811439,1.066225427244888
2017-05-31,2017-06-27,ORCL,3231000000,0.78,4132000000,10892000000,4982000000,53860000000,57909000000,36125000000,21784000000,3941000000,4466000000,13.03484995159729,0.05998886000742666,0.02393492899526635,0.04020499324852763,1.0751763832157446
2017-08-31,2017-09-18,ORCL,2144000000,0.52,4284000000,9187000000,3665000000,55959000000,53291000000,31970000000,21321000000,6093000000,6566000000,13.06232492997199,0.03831376543540806,0.016048264556838852,0.0289576180782222,0.9523222359227291
2017-11-30,2017-12-18,ORCL,2214000000,0.53,4257692000,9621000000,3989000000,55868000000,60669000000,39359000000,21310000000,251000000,850000000,13.121663098223168,0.03962912579652037,0.015955376832273965,0.02715756831530746,1.0859347032290398
2018-02-28,2018-03-21,ORCL,-4047000000,-0.98,4122000000,9771000000,3532000000,47789000000,60715000000,41228000000,19487000000,3024000000,3310000000,11.593643862202814,-0.08468476009123438,-0.02928343499685241,-0.048369681195723144,1.2704806545439327
2018-05-31,2018-06-22,ORCL,3276000000,0.81,4046000000,11251000000,5390000000,46224000000,60619000000,38999000000,21620000000,4282000000,4660000000,11.424616905585763,0.07087227414330217,0.0238664179974356,0.0452691747442246,1.3114183108341986
2018-08-31,2018-09-19,ORCL,2265000000,0.58,3973684000,9193000000,3789000000,38067000000,58129000000,39674000000,18455000000,6339000000,6722000000,9.579775341974852,0.05950035463787533,0.01764595895853784,0.0352031280528004,1.527018152205322
2018-11-30,2018-12-19,ORCL,2333000000,0.63,3720000000,9562000000,3997000000,30572000000,58038000000,47214000000,10824000000,125000000,546000000,8.218279569892474,0.07631165772602382,0.019718047972413326,0.03560398205632887,1.8984037681538664
2019-02-28,2019-03-18,ORCL,2745000000,0.78,3526000000,9614000000,4338000000,23714000000,56159000000,41439000000,14720000000,2418000000,2861000000,6.7254679523539425,0.11575440667959855,0.025082695224693433,0.04907621689050938,2.36817913468837
2019-05-31,2019-06-21,ORCL,3740000000,1.1,3389000000,11136000000,5145000000,21785000000,56167000000,35653000000,20514000000,4009000000,4422000000,6.4281498967246975,0.17167775992655496,0.03440377521640343,0.0739560794466575,2.5782419095708056
2019-08-31,2019-09-13,ORCL,2137000000,0.63,3392063000,9218000000,3726000000,18433000000,56776000000,25693000000,31083000000,5614000000,6000000000,5.434156146274406,0.11593338035045841,0.020116917225992903,0.05806856732842144,3.0801280312483046
2019-11-30,2019-12-13,ORCL,2311000000,0.71,3245000000,9614000000,4023000000,15563000000,53653000000,29113000000,24540000000,164000000,513000000,4.795993836671803,0.14849322110133006,0.023475513749073067,0.06028796819106264,3.4474715671785647
2020-02-29,2020-03-13,ORCL,2571000000,0.81,3190000000,9796000000,4280000000,14235000000,53545000000,29716000000,23829000000,2616000000,3012000000,4.462382445141066,0.18061116965226554,0.026586283917935143,0.06716881392829034,3.7615033368458026
2020-05-31,2020-06-22,ORCL,3116000000,1.01,3140015000,10439000000,4997000000,12074000000,71597000000,34358000000,37239000000,3181000000,3614000000,3.845204561124708,0.2580752029153553,0.0269928446438781,0.07762189029956948,5.929849262878913
2020-08-31,2020-09-15,ORCL,2251000000,0.74,3041000000,9367000000,3910000000,9491000000,70766000000,43490000000,27276000000,5517000000,5953000000,3.1210128247287074,0.23717205773891054,0.01982456449368538,0.052539713313446895,7.456116320724897
2020-11-30,2020-12-11,ORCL,2442000000,0.82,2977000000,9800000000,4303000000,7917000000,70782000000,42781000000,28001000000,820000000,1388000000,2.6593886462882095,0.30845017051913604,0.02219717490501209,0.057891856599767644,8.940507768093974
2021-02-28,2021-03-11,ORCL,5021000000,1.72,2913000000,10085000000,4593000000,8900000000,69299000000,46978000000,22321000000,3290000000,3704000000,3.0552694816340544,0.5641573033707865,0.04251157828785274,0.10590227178598272,7.7864044943820225
2021-05-31,2021-06-21,ORCL,4033000000,1.42,2847000000,11227000000,5605000000,5238000000,84245000000,54147000000,30098000000,4125000000,4842000000,1.839831401475237,0.7699503627338679,0.030761134035558742,0.07928271520330743,16.083428789614356
2021-08-31,2021-09-13,ORCL,2457000000,0.89,2769000000,9728000000,4143000000,-1541000000,82718000000,59659000000,23059000000,4329000000,5391000000,-0.5565185987721198,-1.5944192083062947,0.019987960040350135,0.0533930384002224,-53.678131083711875
2021-11-30,2021-12-10,ORCL,-1247000000,-0.46,2694000000,10360000000,-58000000,-10101000000,78431000000,60493000000,17938000000,-4607000000,-3682000000,-3.749443207126949,0.12345312345312345,-0.011665434951401817,-0.013514354943871066,-7.764676764676764
2022-02-28,2022-03-11,ORCL,2319000000,0.87,2668000000,10513000000,4282000000,-8696000000,78413000000,55731000000,22682000000,2744000000,3845000000,-3.2593703148425788,-0.2666743330266789,0.021344943116969183,0.06088313766943106,-9.017134314627414
2022-05-31,2022-06-21,ORCL,3189000000,1.2,2667000000,11840000000,5159000000,-6220000000,75859000000,54476000000,21383000000,2562000000,3985000000,-2.3322084739407574,-0.5127009646302251,0.029177379068043952,0.07892275963075518,-12.195980707395499
2022-08-31,2022-09-13,ORCL,1548000000,0.58,2685000000,11445000000,3909000000,-5875000000,91577000000,81129000000,10448000000,4675000000,6394000000,-2.188081936685289,-0.26348936170212767,0.011879455755166565,0.030346212999222348,-15.587574468085107
2022-11-30,2022-12-13,ORCL,1741000000,0.65,2695000000,12275000000,4498000000,-4246000000,90919000000,84106000000,6813000000,-1586000000,849000000,-1.5755102040816327,-0.41003297220913804,0.013551907464057477,0.030504642452650346,-21.412859161563826
2023-02-28,2023-03-10,ORCL,1896000000,0.7,2698000000,12398000000,4684000000,-2421000000,91811000000,83592000000,8219000000,1647000000,4275000000,-0.8973313565604151,-0.7831474597273854,0.0144051056070506,0.032920382188848685,-37.92275919041718
2023-05-31,2023-06-20,ORCL,3319000000,1.23,2707000000,13836000000,5650000000,1073000000,90481000000,80716000000,9765000000,3734000000,5647000000,0.39637975618766164,3.093196644920783,0.024697880700083344,0.05304510719183778,84.32525629077354
2023-08-31,2023-09-12,ORCL,2420000000,0.89,2728000000,12453000000,4722000000,2370000000,88941000000,77328000000,11613000000,5660000000,6974000000,0.8687683284457478,1.021097046413502,0.017707921733912866,0.041513238792230144,37.527848101265825
2023-11-30,2023-12-12,ORCL,2503000000,0.91,2746000000,12941000000,5161000000,3866000000,88789000000,80545000000,8244000000,-937000000,143000000,1.4078659868900218,0.6474392136575272,0.018634049015812514,0.0393332134716203,22.966632177961717
