date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-11-06,ORLY,266268000,0.19,1418142857,2080201000,467222000,2002086000,1396995000,1120079000,276916000,254326000,364269000,1.4117660926172828,0.1329952859167888,0.039300006818920465,0.08832454800021032,0.6977697261755988
2015-12-31,2016-02-26,ORLY,218576000,0.16,1406771429,1949052000,415929000,1961314000,1390018000,1273717000,116301000,101208000,218754000,1.39419521861785,0.11144365461114335,0.03273720906965194,0.0702924984944721,0.7087177269932301
2016-03-31,2016-05-09,ORLY,255374000,0.18,1387714286,2096150000,473173000,1939841000,1885877000,1169869000,716008000,399147000,503121000,1.3978677164097453,0.1316468720890011,0.03441803408271385,0.08512247152153932,0.9721812251622685
2016-06-30,2016-08-08,ORLY,257794000,0.19,1370957143,2176689000,481147000,1690010000,1886324000,1488065000,398259000,209171000,325613000,1.2327227066353306,0.15253992579925563,0.03575188887532868,0.08482721131884155,1.1161614428316993
2016-09-30,2016-11-08,ORLY,278493000,2.93,94891000,2220955000,505616000,1900763000,1886501000,1326181000,560320000,249707000,385525000,20.031014532463562,0.14651642524607222,0.03702212343499496,0.09004029581569915,0.9924966973788947
2016-12-31,2017-02-28,ORLY,246030000,2.62,93813000,2099302000,466052000,1627136000,1887019000,1740421000,146598000,166039000,286149000,17.344461854966795,0.15120432465387035,0.03415096411268499,0.07655420447199734,1.1597180567573946
2017-03-31,2017-05-08,ORLY,264934000,2.88,92001000,2156259000,461636000,1422596000,1977539000,1950000000,27539000,266068000,376700000,15.462831925739938,0.18623277444896513,0.03677736681749606,0.08251178299717513,1.3900917758801514
2017-06-30,2017-08-07,ORLY,282821000,0.2093,1350443247,2290829000,515104000,869312000,2604062000,2577534000,26528000,216933000,333807000,0.6437234603758213,0.3253388886843849,0.038501582831202696,0.08596867926223178,2.995543602296989
2017-09-30,2017-11-07,ORLY,283734000,0.2173,1304198478,2339830000,522395000,614179000,2900816000,2863529000,37287000,256662000,376912000,0.4709244876146834,0.46197281248626215,0.03793576107372213,0.08610156577323601,4.723079102346384
2017-12-31,2018-02-28,ORLY,302315000,0.2373,1272443637,2190808000,463863000,653046000,2978390000,2932042000,46348000,198084000,316268000,0.5132219463485753,0.4629306358204476,0.03992598936724475,0.09032323824314463,4.560766010357616
2018-03-31,2018-05-07,ORLY,304906000,0.2433,1252943735,2282681000,493543000,423828000,3193066000,3154541000,38525000,317434000,432277000,0.33826578812814767,0.7194097605632473,0.03977039797137136,0.09128872134905051,7.533872231188123
2018-06-30,2018-08-08,ORLY,353073000,0.288,1225988870,2456073000,541607000,384990000,3253538000,3216670000,36868000,333682000,442956000,0.3140240579834954,0.9170965479622847,0.04545961368605103,0.10475568675405712,8.450967557598899
2018-09-30,2018-11-07,ORLY,366151000,0.3027,1208888955,2482717000,549759000,498379000,3174327000,3134308000,40019000,340442000,466786000,0.41226201789559735,0.7346838450255729,0.04637926085732808,0.10777961110567047,6.369303281237773
2018-12-31,2019-02-27,ORLY,300357000,0.2507,1197384013,2314957000,490244000,353667000,3417122000,3385807000,31315000,231729000,385536000,0.29536639554248,0.8492649865551494,0.03763500074992585,0.08674946144109158,9.661975813406396
2019-03-31,2019-05-06,ORLY,321152000,0.2727,1177254113,2410608000,512407000,372365000,5386837000,5330120000,56717000,287708000,440622000,0.3162995957186348,0.8624655915566716,0.03191870208621683,0.060980919092394496,14.466550293394922
2019-06-30,2019-08-08,ORLY,353681000,0.304,1164189179,2589874000,567820000,144682000,5719491000,5663682000,55809000,263688000,406382000,0.1242770527417864,2.4445404404141495,0.03466800392827131,0.06541470021184936,39.531462103095066
2019-09-30,2019-11-06,ORLY,391293000,0.3425,1142574287,2666528000,605858000,166219000,5654532000,5611728000,42804000,457073000,642672000,0.14547763054989876,2.3540810617318115,0.03772326343591134,0.07256022370776131,34.01856586792124
2019-12-31,2020-02-28,ORLY,324916000,0.2861,1135689321,2482975000,515094000,397340000,5861885000,5821479000,40406000,71953000,218803000,0.34986681009744214,0.8177278904716364,0.030317360196171372,0.05675159582588237,14.752818744651936
2020-03-31,2020-05-08,ORLY,300438000,0.267,1125324373,2476487000,493009000,108844000,6450171000,6163104000,287067000,325809000,459093000,0.0967223341211681,2.760262393884826,0.02704489442753002,0.052871212385616026,59.26069420454963
2020-06-30,2020-08-07,ORLY,531667000,0.4777,1113069434,3091595000,820043000,589100000,6098282000,5225859000,872423000,988798000,1099985000,0.5292571891790895,0.9025072143948396,0.04533106649722237,0.09687739527792695,10.351862162620947
2020-09-30,2020-11-06,ORLY,527252000,0.4755,1108734456,3207638000,807711000,709225000,6581386000,4954288000,1627098000,671097000,790051000,0.6396707490797057,0.743419930205506,0.04216683190777059,0.09874765370508715,9.279686982269379
2020-12-31,2021-02-26,ORLY,392945000,0.3631,1082139589,2828773000,621403000,140258000,6164686000,5699046000,465640000,385320000,487474000,0.12961174457133737,2.8015870752470446,0.0338843779087084,0.0724551035238733,43.95247329920575
2021-03-31,2021-05-07,ORLY,501609000,0.4751,1055739721,3090899000,773090000,-6977000,6215234000,5604354000,610880000,795793000,890672000,-0.006608636448187592,-71.8946538626917,0.04232670516561334,0.09473999125533068,-890.8175433567436
2021-06-30,2021-08-06,ORLY,585451000,0.5606,1044264778,3465601000,878151000,217694000,5906068000,5274450000,631618000,694432000,822160000,0.20846628612422663,2.6893299769401087,0.048994450150481206,0.11187042777631888,27.13013679752313
2021-09-30,2021-11-08,ORLY,558652000,0.5429,1029114854,3479570000,834139000,-140853000,5892048000,5442746000,449302000,734415000,852495000,-0.13686810510267886,-3.9662059026076832,0.04738601716713806,0.11046814577496214,-41.83118570424485
2021-12-31,2022-02-28,ORLY,518973000,0.5141,1009494952,3291493000,769519000,-66423000,5866567000,5504454000,362113000,539817000,641983000,-0.065798248786092,-7.813152070818843,0.04428585849957679,0.10057911627733937,-88.3213194224892
2022-03-31,2022-05-09,ORLY,481880000,0.4826,998575007,3296011000,751025000,-328273000,5861562000,5670016000,191546000,585896000,689886000,-0.3287414542711462,-1.4679245627876798,0.04097483510111783,0.09517347825672692,-17.855754204579725
2022-06-30,2022-08-08,ORLY,576760000,0.5905,976735116,3670737000,879804000,-1107430000,6694754000,6440850000,253904000,577156000,702087000,-1.1338079094926286,-0.5208094416802868,0.0477937407899723,0.11347910822502814,-6.045306701100746
2022-09-30,2022-11-08,ORLY,585438000,0.6167,949315253,3798619000,895016000,-1205463000,6540542000,6473482000,67060000,801148000,961047000,-1.2698236925937183,-0.4856540598923401,0.047837609131144335,0.1174268923893445,-5.425750935532654
2022-12-31,2023-02-28,ORLY,528572000,0.5631,938650306,3644493000,788463000,-1060752000,6545030000,6436447000,108583000,620708000,795230000,-1.1300821969795427,-0.49829931972789115,0.04185721246448066,0.1047669102922306,-6.170179269046865
2023-03-31,2023-05-09,ORLY,516885000,0.5572,927595362,3707864000,815739000,-1625017000,7157662000,7097790000,59872000,490496000,713764000,-1.7518597726666942,-0.3180797493195456,0.03984370085878039,0.10066091301197905,-4.404668997308951
2023-06-30,2023-08-08,ORLY,627365000,0.6877,912250438,4068991000,956645000,-1627473000,7124712000,7066832000,57880000,699931000,937605000,-1.7840199710597453,-0.38548412170278706,0.047253356519952404,0.12240643731398117,-4.377775852502622
2023-09-30,2023-11-08,ORLY,649827000,0.721,901225493,4203380000,1002938000,-1760469000,7384283000,7301619000,82664000,573270000,866286000,-1.9534167793453663,-0.3691215238666514,0.04795120779926679,0.1243870277518376,-4.194497602627481
2023-12-31,2024-02-07,ORLY,552504000,0.6222,887995560,3832015000,840157000,-1739278000,7841005000,7561873000,279132000,264123000,516429000,-1.9586561896773447,-0.3176628463074908,0.039825863124725414,0.1028235560490465,-4.50819535462416
2024-03-31,2024-05-09,ORLY,547238000,0.6182,885250573,3976240000,867186000,-1391198000,7588077000,7498813000,89264000,454975000,704215000,-1.571530188662188,-0.393357379754715,0.038502492145600795,0.09691010860730817,-5.454347260418718
2024-06-30,2024-07-24,ORLY,622848000,0.7076,880180599,4272201000,979624000,-1583392000,7711523000,7566481000,145042000,723492000,948859000,-1.7989399014235714,-0.3933631090721691,0.0432738222861352,0.1111347931046394,-4.870255123178594
2024-09-30,2024-11-08,ORLY,665464000,0.7649,869965650,4364437000,1019526000,-1439064000,7706543000,7590930000,115613000,513706000,772015000,-1.6541618625976784,-0.46242835620931383,0.04565000827987089,0.11521045674413755,-5.355246882695974
2024-12-31,2025-02-28,ORLY,551130000,0.6371,865090674,4095601000,863168000,-1370961000,7920850000,7790605000,130245000,334016000,624487000,-1.5847598884183556,-0.4020026827896636,0.03700413482415197,0.0927921765537669,-5.777589588617036
2025-03-31,2025-05-09,ORLY,538485000,0.6265,859555702,4136924000,864139000,-1357456000,8103819000,7912571000,191248000,468169000,755120000,-1.5792530918490726,-0.39668689077215025,0.035209193222777095,0.08905709826699906,-5.969857586544242
