date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-10-31,2015-11-24,PANW,-38700000,-0.075,510600000,297200000,-20600000,626500000,492300000,216500000,275800000,127200000,146700000,1.22698785742264,-0.06177174780526736,-0.018477845683728036,-0.03976868327402135,0.7857940941739825
2016-01-31,2016-02-26,PANW,-62500000,-0.12,519600000,334700000,-37300000,670300000,497500000,84300000,413200000,136400000,153800000,1.290030792917629,-0.09324183201551545,-0.02697919364586031,-0.06727791954510627,0.7422049828435029
2016-04-30,2016-05-27,PANW,-70200000,-0.135,526800000,345800000,-40300000,731200000,502800000,-47200000,550000000,150800000,170100000,1.3880030372057708,-0.09600656455142231,-0.028001595532508975,-0.08336792296197908,0.687636761487965
2016-07-31,2016-09-08,PANW,-54500000,-0.1,533400000,400800000,-30600000,789900000,508200000,-226200000,734400000,171200000,187500000,1.4808773903262091,-0.06899607545258893,-0.019067944860401653,-0.08477101462579124,0.643372578807444
2016-10-31,2016-11-22,PANW,-61800000,-0.115,538800000,398100000,-32900000,918300000,506200000,-333200000,839400000,182400000,203300000,1.7043429844097995,-0.06729826853969291,-0.020555463163146517,-0.0919750585225996,0.5512359795273876
2017-01-31,2017-03-01,PANW,-60600000,-0.11,544200000,422600000,-37300000,870600000,512300000,-249100000,761400000,169800000,214500000,1.5997794928335172,-0.06960716747070986,-0.01908901908901909,-0.087215604617693,0.5884447507466115
2017-04-30,2017-06-01,PANW,-60900000,-0.11,546000000,431800000,-31900000,813100000,518400000,-173600000,692000000,162600000,211200000,1.4891941391941392,-0.07489853646537942,-0.01873788498815421,-0.08413234023291223,0.6375599557250031
2017-07-31,2017-09-07,PANW,-38200000,-0.07,545400000,509100000,-7700000,759600000,524700000,-219600000,744300000,190300000,239500000,1.3927392739273927,-0.05028962611901001,-0.011110141639763836,-0.05640764947954491,0.6907582938388626
2017-10-31,2017-11-21,PANW,-64000000,-0.115,545400000,505500000,-27400000,704700000,531000000,-311600000,842600000,241900000,274100000,1.2920792079207921,-0.0908187881367958,-0.018356517997992258,-0.142092675717051,0.7535121328224776
2018-01-31,2018-02-27,PANW,-34900000,-0.065,546600000,542400000,4500000,666600000,537400000,-377600000,915000000,218100000,243700000,1.2195389681668496,-0.052355235523552354,-0.009620951068228807,-0.06382576347974271,0.8061806180618062
2018-04-30,2018-06-05,PANW,-46700000,-0.085,551400000,567100000,-12100000,749800000,543800000,-405200000,949000000,212500000,241300000,1.3598113891911499,-0.06228327554014404,-0.011948929201954814,-0.10047603135240976,0.7252600693518272
