date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-10-28,PCG,310000000,0.63,486000000,4550000000,1198000000,16568000000,16426000000,16272000000,154000000,-169000000,1083000000,34.09053497942387,0.0187107677450507,0.00500088725419026,0.014297276078535266,0.9914292612264607
2015-12-31,2016-02-18,PCG,138000000,0.28,506547313,4167000000,882000000,16576000000,17104000000,16981000000,123000000,-700000000,811000000,32.72349803186104,0.008325289575289576,0.0021823702438561535,0.03427004797806717,1.031853281853282
2016-03-31,2016-05-04,PCG,110000000,0.22,493000000,3974000000,792000000,16612000000,17375000000,17233000000,142000000,-141000000,1088000000,33.69574036511156,0.006621719239104262,0.0017014694508894045,-0.005318363126015658,1.0459306525403322
2016-06-30,2016-07-28,PCG,210000000,0.41,497000000,4169000000,1128000000,16746000000,18214000000,18025000000,189000000,-695000000,727000000,33.69416498993964,0.012540308133285561,0.0031853413624160056,0.011670955992373265,1.0876627254269677
2016-09-30,2016-11-04,PCG,391000000,0.77,501000000,4810000000,1366000000,17354000000,17833000000,17762000000,71000000,-10000000,1467000000,34.63872255489022,0.022530828627405786,0.005873957785623075,0.01623080517276611,1.0276017056586377
2016-12-31,2017-02-16,PCG,696000000,1.37,499000000,4713000000,1729000000,17940000000,18436000000,18259000000,177000000,-420000000,1161000000,35.95190380761523,0.03879598662207358,0.010146068398495583,0.02389904404340183,1.0276477146042364
2017-03-31,2017-05-02,PCG,579000000,1.13,508000000,4268000000,1618000000,18353000000,18276000000,18112000000,164000000,358000000,1574000000,36.12795275590551,0.03154797580776985,0.008371407090393846,0.020909425731587154,0.9958045006266005
2017-06-30,2017-07-27,PCG,410000000,0.79,511000000,4250000000,1481000000,18639000000,18496000000,18318000000,178000000,-76000000,1182000000,36.47553816046967,0.021996888245077527,0.005852544429376918,0.015682474385971614,0.9923279145876924
2017-09-30,2017-11-02,PCG,553000000,1.07,513000000,4517000000,1643000000,19034000000,18188000000,17997000000,191000000,517000000,1981000000,37.10331384015595,0.029053273090259537,0.0077314542963397926,0.019541225893032345,0.9555532205526952
2017-12-31,2018-02-09,PCG,114000000,0.23,515000519,4100000000,1171000000,19220000000,19129000000,18680000000,449000000,-463000000,1240000000,37.32035073929702,0.005931321540062435,0.001676174792683644,0.006213136572722814,0.9952653485952133
2018-03-31,2018-05-03,PCG,445000000,0.86,515000000,4056000000,1468000000,19731000000,18768000000,18624000000,144000000,42000000,1512000000,38.3126213592233,0.022553342456033652,0.006529330633565161,0.016748247484241027,0.9511935532917744
2018-06-30,2018-07-26,PCG,-980000000,-1.91,516000000,4234000000,-601000000,18809000000,19255000000,18738000000,517000000,-186000000,1241000000,36.451550387596896,-0.05210271678451805,-0.014022235258767474,-0.02235062675674079,1.0237120527407093
2018-09-30,2018-11-05,PCG,567000000,1.09,517000000,4381000000,1573000000,19444000000,19350000000,18920000000,430000000,-212000000,1483000000,37.60928433268859,0.029160666529520676,0.007942845135532674,0.01988373442886211,0.9951656037852293
2018-12-31,2019-04-30,PCG,-6869000000,-13.21,517000000,4088000000,-8604000000,12651000000,21994000000,20326000000,1668000000,-1406000000,516000000,24.47001934235977,-0.5429610307485574,-0.0892135852977466,-0.2028698212162881,1.7385186941743735
2019-03-31,2019-05-02,PCG,136000000,0.25,526000000,4011000000,952000000,12877000000,3088000000,124000000,2964000000,1020000000,2244000000,24.480988593155892,0.010561466180010873,0.0016527519535285038,0.031181033411631056,0.23980740855789393
2019-06-30,2019-08-09,PCG,-2549000000,-4.83,529000000,3943000000,-2812000000,10342000000,4162000000,703000000,3459000000,-673000000,513000000,19.550094517958414,-0.2464707019918778,-0.030206074395345256,-0.2270080808509651,0.40243666602204603
2019-09-30,2019-11-07,PCG,-1616000000,-3.06,529000000,4432000000,-1453000000,8739000000,3935000000,965000000,2970000000,-472000000,1310000000,16.519848771266542,-0.18491818285845063,-0.018853616137575396,-0.16283650643262315,0.4502803524430713
2019-12-31,2020-02-18,PCG,-3613000000,-6.84,528000000,4743000000,-3561000000,5136000000,3786000000,2216000000,1570000000,-1372000000,749000000,9.727272727272727,-0.7034657320872274,-0.04240809427672661,-0.42188970666497627,0.7371495327102804
2020-03-31,2020-05-01,PCG,374000000,0.7,529000000,4306000000,1447000000,5507000000,4209000000,2249000000,1960000000,-105000000,1536000000,10.410207939508506,0.06791356455420373,0.004314322628276117,0.08445761403273207,0.7642999818412929
2020-06-30,2020-07-30,PCG,-1968000000,-3.73,529000000,4533000000,-183000000,3549000000,39797000000,38829000000,968000000,-3000000,1755000000,6.708884688090738,-0.5545224006762468,-0.018017193236228475,-0.039972151070238895,11.213581290504367
2020-09-30,2020-10-29,PCG,86000000,0.042,1967000000,4882000000,1333000000,20812000000,40636000000,40172000000,464000000,-24586000000,-22510000000,10.58057956278597,0.004132231404958678,0.000899703934635463,-0.022563295290568018,1.9525273880453584
2020-12-31,2021-02-25,PCG,204000000,0.12,1621000000,4748000000,1602000000,21001000000,42604000000,42120000000,484000000,-2126000000,89000000,12.955582973473165,0.00971382315127851,0.0020846958796599084,0.011048547216254642,2.0286653016523024
2021-03-31,2021-04-29,PCG,123000000,0.06,1985000000,4716000000,1440000000,21127000000,42430000000,42201000000,229000000,-580000000,1198000000,10.643324937027709,0.005821934018081129,0.0012479961038170417,0.03364009600808489,2.0083305722535143
2021-06-30,2021-07-29,PCG,401000000,0.2,1985000000,5215000000,1735000000,21547000000,44064000000,43757000000,307000000,-1810000000,32000000,10.854911838790931,0.018610479417088224,0.003990287977391685,0.012781609356108422,2.0450178679166475
