date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-10-30,PEG,439000000,0.87,505000000,2688000000,1189000000,12933000000,9258000000,8987000000,271000000,-45000000,994000000,25.60990099009901,0.033944173818912855,0.01205249286184933,0.02268293543573819,0.7158431918348411
2015-12-31,2016-02-26,PEG,309000000,0.61,505000000,2278000000,848000000,13066000000,9932000000,9538000000,394000000,-390000000,691000000,25.873267326732673,0.023649165773763966,0.00823231650459571,0.01683194955561414,0.7601408235114037
2016-03-31,2016-05-02,PEG,471000000,0.93,505000000,2616000000,1128000000,13318000000,10250000000,9658000000,592000000,133000000,1214000000,26.372277227722773,0.03536567052109926,0.012353774327230761,0.023000935585881795,0.7696350803423938
2016-06-30,2016-07-29,PEG,187000000,0.37,505000000,1905000000,646000000,13318000000,10935000000,10287000000,648000000,-418000000,508000000,26.372277227722773,0.01404114731941733,0.0047893456268408244,0.010686219082349034,0.8210692296140562
2016-09-30,2016-10-31,PEG,327000000,0.65,505000000,2450000000,894000000,13476000000,10952000000,10502000000,450000000,-16000000,1039000000,26.685148514851484,0.024265360641139804,0.008280996758508914,0.01625907891295176,0.8127040664885723
2016-12-31,2017-02-27,PEG,-98000000,-0.19,505000000,2090000000,694000000,13130000000,11783000000,11360000000,423000000,-763000000,550000000,26.0,-0.007463823305407464,-0.0024457199900174693,-0.0024427641148505826,0.8974105102817974
2017-03-31,2017-04-28,PEG,114000000,0.23,505000000,2592000000,1123000000,13005000000,11713000000,11520000000,193000000,120000000,1197000000,25.752475247524753,0.008765859284890426,0.002874142799515934,0.007833878659566734,0.9006535947712418
2017-06-30,2017-07-28,PEG,109000000,0.22,505000000,2133000000,947000000,12918000000,12521000000,12091000000,430000000,-375000000,558000000,25.58019801980198,0.008437838674717448,0.0026897640904155564,0.0067192477374811745,0.9692676884966713
2017-09-30,2017-10-31,PEG,395000000,0.78,505000000,2263000000,1050000000,13124000000,12726000000,12448000000,278000000,-148000000,978000000,25.98811881188119,0.030097531240475466,0.009597395339796389,0.017833998304269717,0.9696738799146601
2017-12-31,2018-02-26,PEG,956000000,1.88,505000000,2096000000,724000000,13847000000,13610000000,13297000000,313000000,-644000000,527000000,27.41980198019802,0.0690402253195638,0.02238037269407248,0.046807944249546034,0.9828843792879324
2018-03-31,2018-04-30,PEG,558000000,1.1,504000000,2818000000,1193000000,14104000000,13666000000,13548000000,118000000,70000000,1140000000,27.984126984126984,0.039563244469654,0.013040430007010984,0.022914208166155296,0.9689449801474759
2018-06-30,2018-08-01,PEG,269000000,0.53,504000000,2016000000,802000000,14158000000,14330000000,14235000000,95000000,-486000000,493000000,28.091269841269842,0.01899985873710976,0.0061546205413320525,0.01234747885792677,1.0121486085605311
