date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-05,2015-10-06,PEP,533000000,0.36,1467000000,16331000000,1987000000,13461000000,31843000000,23145000000,8698000000,3383000000,4014000000,9.175869120654397,0.03959586954906768,0.007624960659208606,0.017631259657734096,2.3655746229849193
2015-12-26,2016-02-11,PEP,1718000000,1.19,1448000000,18585000000,3040000000,11923000000,33284000000,24188000000,9096000000,2510000000,3805000000,8.234116022099448,0.1440912522016271,0.024660169090100048,0.05578851846137999,2.791579300511616
2016-03-19,2016-04-18,PEP,931000000,0.64,1446000000,11862000000,2114000000,11111000000,35086000000,26962000000,8124000000,-258000000,305000000,7.683955739972338,0.08379083790837909,0.013296390979591254,0.0292229754584271,3.1577715777157773
2016-06-11,2016-07-07,PEP,2005000000,1.39,1443000000,15395000000,3549000000,12248000000,35621000000,25975000000,9646000000,2260000000,2790000000,8.487872487872488,0.16370019595035923,0.027574919888325014,0.05758204806569185,2.908311561071195
2016-09-03,2016-09-29,PEP,1992000000,1.38,1438000000,16027000000,3418000000,12602000000,35606000000,25350000000,10256000000,3027000000,3717000000,8.76356050069541,0.15807014759561974,0.026956439368309944,0.05781217215439731,2.8254245357879704
2016-12-31,2017-02-15,PEP,1401000000,0.98,1428000000,19515000000,3182000000,11095000000,36945000000,27787000000,9158000000,2335000000,3809000000,7.769607843137255,0.12627309598918432,0.019063818206558714,0.04826637168611462,3.3298783235691753
2017-03-25,2017-04-26,PEP,1318000000,0.92,1428000000,12049000000,2450000000,11569000000,38658000000,29130000000,9528000000,-516000000,-193000000,8.1015406162465,0.11392514478347307,0.017662351585323362,0.037435829221369926,3.3415161206673005
2017-06-17,2017-07-11,PEP,2105000000,1.47,1428000000,15710000000,3593000000,12404000000,39484000000,29202000000,10282000000,1879000000,2440000000,8.686274509803921,0.1697033215091906,0.02735791430019625,0.055769176850116696,3.1831667204127703
2017-09-09,2017-10-04,PEP,2144000000,1.5,1425000000,16240000000,3618000000,13295000000,39169000000,28926000000,10243000000,3225000000,3821000000,9.329824561403509,0.16126363294471605,0.027324981201330565,0.05601290233010915,2.946145167356149
2017-12-30,2018-02-13,PEP,-710000000,-0.5,1420000000,19526000000,3461000000,10889000000,39281000000,28671000000,10610000000,2437000000,3932000000,7.668309859154929,-0.0652034162916705,-0.008896797153024912,-0.020319178054264,3.6074019652860687
