date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-10-22,PHM,107769000,0.31,350147000,1506747000,191345000,4571605000,2157293000,1423140000,734153000,-66643000,-55709000,13.05624494855018,0.023573558957958967,0.012244281650404053,0.017997601285189558,0.4718896317595243
2015-12-31,2016-02-08,PHM,228027000,0.65,348699000,2061628000,386011000,4759325000,2171013000,1416852000,754161000,-112708000,-101317000,13.648805990266677,0.04791162612345238,0.025429121371760958,0.03693949956490917,0.4561598546012302
2016-03-31,2016-04-21,PHM,83300000,0.24,347815000,1432578000,131500000,4773527000,3103963000,2108267000,995696000,-73522000,-64062000,13.724327587941866,0.017450409309510556,0.008462454335255418,0.012122218549459635,0.6502451960573388
2016-06-30,2016-07-21,PHM,117760000,0.34,345240000,1799914000,203358000,4818117000,2620758000,2391571000,229187000,-272838000,-261254000,13.955848105665623,0.024441083518727338,0.01238658949731652,0.01634960295618892,0.5439382231689268
2016-09-30,2016-10-20,PHM,128470000,0.37,340171000,1942905000,226013000,4672032000,3131541000,2697336000,434205000,3593000,13100000,13.734363011544193,0.027497671248827064,0.013014190705150933,0.017446520609646146,0.6702738765487908
2016-12-31,2017-02-01,PHM,273172000,0.83,325975000,2493079000,427671000,4659363000,3230352000,2531470000,698882000,371742000,380486000,14.293620676432242,0.058628615113267626,0.026838930262718358,0.03800370627380913,0.6933033549865079
2017-03-31,2017-04-25,PHM,91518000,0.29,317756000,1629878000,152611000,4660145000,3130633000,2732875000,397758000,29807000,39803000,14.66579702664938,0.01963844472650529,0.00922484788042594,0.0123911513231622,0.6717887533542412
2017-06-30,2017-07-25,PHM,100749000,0.32,312315000,2021860000,135495000,4444002000,3140490000,2932287000,208203000,129627000,136523000,14.229230104221699,0.02267078187633579,0.010267018503643885,0.013673429118907345,0.7066806000537353
2017-09-30,2017-10-24,PHM,177539000,0.59,298538000,2131058000,281016000,4345085000,3219010000,3060773000,158237000,69497000,76153000,14.554545819962618,0.04085973001678909,0.01780505570554761,0.02398180551764966,0.7408393621758838
2017-12-31,2018-02-07,PHM,77415000,0.26,292174000,2793556000,421207000,4154026000,3081115000,2808432000,272683000,402095000,410598000,14.217644280463011,0.01863613756871045,0.007991927858643376,0.011122481406287915,0.7417177937740399
