date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-11-06,PKG,127800000,1.31,96500021,1470800000,307100000,1615000000,2348800000,2161900000,186900000,161500000,237500000,16.735747653360615,0.07913312693498452,0.023569768728560363,0.0375513298213953,1.4543653250773994
2015-12-31,2016-02-26,PKG,104200000,1.07,97476636,1390900000,266500000,1633300000,2332000000,2147800000,184200000,124000000,220600000,16.755810079453298,0.06379722035143574,0.01971767021155811,0.0315893557485476,1.4277842404947039
2016-03-31,2016-05-06,PKG,103700000,1.09,94128440,1401000000,269500000,1590800000,2318300000,2156000000,162300000,138100000,191000000,16.900311956726362,0.06518732713100327,0.01983815736613548,0.031432115203969026,1.4573170731707317
2016-06-30,2016-08-05,PKG,115900000,1.23,93252033,1417400000,287800000,1662300000,2316800000,2103200000,213600000,111200000,180100000,17.8258848254815,0.06972267340431931,0.021884027869564397,0.03467667350116984,1.3937315767310352
2016-09-30,2016-11-04,PKG,119300000,1.27,93070866,1484000000,294400000,1729600000,2673500000,2393700000,279800000,150800000,217100000,18.583688691582605,0.06897548566142461,0.02075793429844098,0.03263278298895561,1.5457331174838114
2016-12-31,2017-02-28,PKG,110700000,1.17,93675214,1476600000,286600000,1759800000,2667400000,2428100000,239300000,126800000,213000000,18.786186066252274,0.06290487555404023,0.019162194910853383,0.030243077009098996,1.5157404250483009
2017-03-31,2017-05-05,PKG,117400000,1.25,93120000,1536500000,295900000,1824700000,2636200000,2382200000,254000000,106300000,164100000,19.595146048109967,0.06433934345371842,0.020091042885991034,0.03169284822935663,1.444730640653258
2017-06-30,2017-08-04,PKG,143200000,1.52,93421053,1584000000,327800000,1906600000,2634800000,2313800000,321000000,139900000,221500000,20.408675975853107,0.07510752124200147,0.02425802954329855,0.038078208996834347,1.3819364313437532
2017-09-30,2017-11-03,PKG,139100000,1.47,93877551,1640100000,340100000,1994200000,2633400000,2262900000,370500000,110900000,197700000,21.242565222009254,0.0697522816166884,0.023078709848685958,0.0365463932090386,1.3205295356533948
2017-12-31,2018-02-28,PKG,268900000,2.85,93614035,1684300000,359700000,2182600000,2650700000,2433800000,216900000,156000000,272800000,23.314880081816792,0.12320168606249428,0.04338846308995563,0.06552995840914999,1.2144689819481354
2018-03-31,2018-05-09,PKG,140100000,1.48,93918918,1690600000,320500000,2273800000,2501200000,2398800000,102400000,94500000,202500000,24.210244841193763,0.06161491775881784,0.02281833284471807,0.034128908862269235,1.1000087958483595
2018-06-30,2018-08-08,PKG,186600000,1.98,93535354,1767500000,373200000,2388000000,2501800000,2302200000,199600000,165100000,331000000,25.530453436889758,0.07814070351758794,0.029545886376591297,0.04364519383757092,1.0476549413735343
2018-09-30,2018-11-07,PKG,206700000,2.19,93652968,1809900000,399400000,2530200000,2502200000,2208400000,293800000,170600000,301000000,27.01676256538928,0.08169314678681527,0.0318,0.047423942464314556,0.9889336811319264
