date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-10-30,POOL,39447000,0.92,42826000,645779000,69984000,261222000,394866000,365362000,29504000,129530000,134629000,6.099612384999767,0.15100948618416518,0.04185819973768989,0.0652396160596875,1.511610813790569
2015-12-31,2016-02-26,POOL,2486000,0.06,42696000,415075000,10061000,255743000,329715000,316478000,13237000,60271000,68067000,5.989858534757355,0.009720696167637042,0.0026558949436503707,0.006420793683657435,1.2892434983557712
2016-03-31,2016-04-28,POOL,16371000,0.39,42226000,515250000,34605000,206235000,450457000,440492000,9965000,-53158000,-39753000,4.884076161606593,0.07938031856862317,0.013719776641935702,0.0280811686516779,2.1841927897786504
2016-06-30,2016-07-28,POOL,85435000,2.03,42030000,918889000,147823000,266090000,500606000,470055000,30551000,13622000,25996000,6.330954080418748,0.321075575932955,0.07145408028850939,0.11909745269527658,1.8813408996955918
2016-09-30,2016-10-28,POOL,44534000,1.06,42020000,691429000,79996000,271985000,390189000,359897000,30292000,152318000,156927000,6.47275107091861,0.16373697078883026,0.042923468537022384,0.07316756839887918,1.4345974961854513
2016-12-31,2017-02-24,POOL,2615000,0.06,41218000,445235000,15412000,205210000,438042000,416086000,21956000,18244000,22208000,4.9786501043233535,0.012743043711320111,0.0026305332991313707,0.007603357161649671,2.1346035768237415
2017-03-31,2017-04-27,POOL,22281000,0.54,41192000,546441000,36920000,222654000,490217000,476808000,13409000,-51545000,-32424000,5.405272868518159,0.10007006386590854,0.017395221525386282,0.03602258483629261,2.2016985996209364
2017-06-30,2017-07-28,POOL,94903000,2.3,41349000,988163000,160624000,303259000,553480000,526814000,26666000,-24295000,-8921000,7.3341314179303,0.3129437213734794,0.07419304905811423,0.11640819615991217,1.825106592054976
2017-09-30,2017-10-31,POOL,48783000,1.2,40659000,743401000,88647000,210544000,564573000,528175000,36398000,150151000,153365000,5.178287709978111,0.2316997872178737,0.04348155490033193,0.06937376078240405,2.6814965042936394
2017-12-31,2018-02-28,POOL,25665000,0.64,40164000,510183000,23905000,223146000,519650000,489710000,29940000,61610000,63291000,5.55587092919032,0.1150143852007206,0.02330931409857029,0.04539706666628509,2.328744409489751
2018-03-31,2018-04-30,POOL,31339000,0.78,40370000,585900000,40310000,249785000,568110000,559307000,8803000,-58788000,-44149000,6.187391627446123,0.12546389895309967,0.022714917958404426,0.04438141735442439,2.274395980543267
2018-06-30,2018-07-27,POOL,117049000,2.89,40453000,1057804000,169099000,313801000,657120000,614953000,42167000,-2641000,7340000,7.757174993201987,0.3730039101213827,0.08335155143450634,0.13112216258334655,2.094065984493357
2018-09-30,2018-10-30,POOL,69261000,1.71,40422000,811311000,99418000,372738000,580703000,545010000,35693000,84713000,88069000,9.22116669140567,0.1858168472224458,0.05395175726266165,0.07939695666759004,1.557938820297367
2018-12-31,2019-02-27,POOL,16812000,0.42,40002000,543082000,32977000,223590000,666761000,650403000,16358000,63792000,67396000,5.589470526473677,0.07519119817523146,0.013548547753956697,0.02547267947325172,2.982069860011628
2019-03-31,2019-04-30,POOL,32637000,0.83,39479000,597456000,45410000,224877000,877491000,848910000,28581000,22065000,28804000,5.696116922921046,0.14513267252764844,0.019445884350701582,0.03645971233059362,3.9020931442521913
2019-06-30,2019-07-31,POOL,131390000,3.3,39827000,1121328000,179770000,343169000,867409000,806715000,60694000,56183000,68637000,8.61649132498054,0.38287257881685116,0.07771879743189032,0.11862060475512215,2.5276438139808666
2019-09-30,2019-10-30,POOL,79525000,1.99,39933000,898500000,111966000,405970000,724982000,688289000,36693000,138079000,145812000,10.166278516515163,0.19588885878266868,0.053682037629066405,0.0766357482482502,1.7858019065448185
2019-12-31,2020-02-27,POOL,18024000,0.45,40047000,582234000,33375000,410180000,689742000,661159000,28583000,49087000,55523000,10.242465103503383,0.043941684138670827,0.012151562834987117,0.02104495194048887,1.6815593154224975
2020-03-31,2020-04-30,POOL,30912000,0.77,40125000,677288000,42925000,348398000,762215000,744407000,17808000,11388000,19728000,8.682816199376948,0.0887261120901957,0.01768642638866082,0.032592170882761125,2.1877708827260776
2020-06-30,2020-07-31,POOL,157555000,3.94,39973000,1280846000,213168000,486791000,623666000,579481000,44185000,196781000,201472000,12.177995146724038,0.3236604620874256,0.0952110742284401,0.14961397925760242,1.2811781647565381
2020-09-30,2020-10-30,POOL,119098000,2.97,40123000,1139229000,155539000,589501000,521934000,447185000,74749000,163848000,167714000,14.692346035939487,0.2020318879866192,0.07501815646240935,0.11626002475849108,0.8853827219970789
2020-12-31,2021-02-25,POOL,59173000,1.47,40202000,839261000,81663000,639470000,623839000,589711000,34128000,3862000,8667000,15.90642256604149,0.09253444258526593,0.034013922180643454,0.05016734420260169,0.9755563200775642
2021-03-31,2021-04-29,POOL,98655000,2.45,40215000,1060745000,136336000,657928000,644018000,616940000,27078000,68274000,77113000,16.360263583240084,0.14994801862817816,0.0460640250493418,0.07890458819484064,0.9788578689461461
2021-06-30,2021-07-29,POOL,259695000,6.47,40125000,1787833000,345888000,874748000,646878000,588413000,58465000,101621000,110115000,21.800573208722742,0.2968797870929685,0.11729489371215902,0.17848484607365064,0.7395021194675495
2021-09-30,2021-10-28,POOL,184665000,4.6,40101000,1411448000,244760000,985212000,586620000,503145000,83475000,164947000,171837000,24.568265130545374,0.1874368156295295,0.08091417484542551,0.1252341533601703,0.5954251470749443
