date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-10-26,PPG,433000000,1.6,271100000,3725000000,705000000,5111000000,4552000000,3537000000,1015000000,696000000,800000000,18.85282183696053,0.08471923302680492,0.024638670763628086,0.05140584663885892,0.8906280571316768
2015-12-31,2016-02-18,PPG,314000000,1.17,269200000,3696000000,576000000,4983000000,4307000000,2996000000,1311000000,641000000,851000000,18.51040118870728,0.06301424844471203,0.01838838135394706,0.043033308496856756,0.8643387517559703
2016-03-31,2016-04-21,PPG,347000000,1.3,266923077,3411000000,590000000,5161000000,4264000000,3355000000,909000000,-18000000,59000000,19.335158495868832,0.06723503197054834,0.020040427375108288,0.04208426956782992,0.8261964735516373
2016-06-30,2016-07-22,PPG,370000000,1.38,267200000,3782000000,770000000,5346000000,5112000000,3507000000,1605000000,-175000000,-84000000,20.00748502994012,0.06921062476618033,0.021451762523191094,0.04088740432352767,0.9562289562289562
2016-09-30,2016-10-21,PPG,-184000000,-0.69,266300000,3660000000,-279000000,5031000000,4404000000,3475000000,929000000,686000000,776000000,18.892226811866315,-0.03657324587557146,-0.011158277744087326,-0.02228529102351392,0.8753726893261777
2016-12-31,2017-02-16,PPG,340000000,1.31,262000000,3417000000,269000000,4826000000,4416000000,2596000000,1820000000,430000000,574000000,18.419847328244273,0.07045171985080813,0.021558556844841797,0.014975079246556038,0.9150435142975549
2017-03-31,2017-04-24,PPG,337000000,1.31,257251908,3486000000,581000000,5192000000,4421000000,3072000000,1349000000,-55000000,9000000,20.1825519599256,0.0649075500770416,0.020861706078989725,0.042937328257198544,0.851502311248074
2017-06-30,2017-07-21,PPG,496000000,1.93,257100000,3804000000,798000000,5630000000,4617000000,3048000000,1569000000,366000000,437000000,21.89809412679891,0.08809946714031971,0.029215998115096897,0.0601297264706839,0.8200710479573712
2017-09-30,2017-10-20,PPG,610000000,2.38,256400000,3776000000,667000000,5902000000,4705000000,2418000000,2287000000,514000000,586000000,23.018720748829953,0.10335479498475093,0.03462957706500142,0.050432508457126046,0.7971873941036937
2017-12-31,2018-02-15,PPG,151000000,0.6,251666667,3682000000,524000000,5558000000,4146000000,2710000000,1436000000,383000000,536000000,22.08476818266918,0.027168046059733716,0.009130487362438022,0.019830377319992452,0.7459517812162648
2018-03-31,2018-06-28,PPG,334000000,1.41,249800000,3781000000,570000000,5346000000,5218000000,3872000000,1346000000,-303000000,-228000000,21.401120896717373,0.06247661803217359,0.019037847697218422,0.038471151918507064,0.9760568649457538
2018-06-30,2018-07-20,PPG,371000000,1.51,244900000,4131000000,635000000,4884000000,5070000000,4050000000,1020000000,316000000,359000000,19.942833809718252,0.07596232596232597,0.02209122305585328,0.04469099071689256,1.038083538083538
2018-09-30,2018-10-19,PPG,378000000,1.56,242200000,3817000000,604000000,4980000000,5038000000,3935000000,1103000000,428000000,536000000,20.561519405450042,0.07590361445783132,0.022610360090919965,0.04459560794047751,1.0116465863453816
2018-12-31,2019-02-21,PPG,258000000,1.08,238500000,3645000000,499000000,4630000000,5016000000,4114000000,902000000,615000000,800000000,19.41299790356394,0.05572354211663067,0.016109896971589134,0.03221858397136483,1.0833693304535637
2019-03-31,2019-04-19,PPG,312000000,1.32,236700000,3624000000,568000000,4904000000,6013000000,5229000000,784000000,-113000000,-66000000,20.71820870299958,0.0636215334420881,0.01796096943181164,0.033598486195650354,1.226141924959217
2019-06-30,2019-07-19,PPG,272000000,1.15,236900000,4024000000,524000000,5079000000,6238000000,5275000000,963000000,462000000,548000000,21.439425918108906,0.05355384918291002,0.015148983570036202,0.029332430846119015,1.2281945264815908
2019-09-30,2019-10-18,PPG,367000000,1.55,237100000,3826000000,647000000,5247000000,6274000000,4842000000,1432000000,698000000,789000000,22.12990299451708,0.06994473032208881,0.020316651904340125,0.0394015095174774,1.1957308938441014
2019-12-31,2020-02-20,PPG,292000000,1.23,237000000,3672000000,565000000,5284000000,5844000000,4628000000,1216000000,620000000,809000000,22.29535864978903,0.05526116578349735,0.016489722159475945,0.033103623444097,1.1059803179409537
2020-03-31,2020-04-28,PPG,243000000,1.03,236500000,3377000000,480000000,4723000000,7000000000,5114000000,1886000000,-196000000,-159000000,19.970401691331922,0.05145034935422401,0.013452170062001771,0.02773993523906765,1.482108829134025
2020-06-30,2020-07-17,PPG,102000000,0.43,236600000,3015000000,290000000,4832000000,7141000000,4889000000,2252000000,426000000,481000000,20.422654268808113,0.021109271523178808,0.005613648871766648,0.013225336083066771,1.4778559602649006
2020-09-30,2020-10-20,PPG,442000000,1.87,236800000,3685000000,738000000,5310000000,6347000000,4339000000,2008000000,764000000,842000000,22.423986486486488,0.0832391713747646,0.024153005464480876,0.04918948809507417,1.195291902071563
2020-12-31,2021-02-18,PPG,272000000,1.15,237200000,3757000000,501000000,5689000000,6606000000,4780000000,1826000000,832000000,966000000,23.98397976391231,0.04781156618034804,0.013908774800572715,0.02894065432657632,1.1611882580418351
2021-03-31,2021-04-16,PPG,378000000,1.59,237400000,3881000000,658000000,5839000000,7073000000,5265000000,1808000000,-103000000,-23000000,24.595619208087616,0.064737112519267,0.018769551616266946,0.036756690614658714,1.2113375578009933
2021-06-30,2021-07-20,PPG,431000000,1.81,237800000,4359000000,761000000,6242000000,8087000000,6892000000,1195000000,542000000,604000000,26.248948696383515,0.06904838192886895,0.01928152820650472,0.03469131646273681,1.2955783402755527
2021-09-30,2021-10-21,PPG,344000000,1.45,237900000,4372000000,617000000,6253000000,7699000000,6483000000,1216000000,447000000,525000000,26.284153005464482,0.05501359347513193,0.01571996526984417,0.028931327556148086,1.2312490004797698
2021-12-31,2022-02-17,PPG,286000000,1.2,237400000,4190000000,461000000,6286000000,7466000000,6461000000,1005000000,305000000,456000000,26.478517270429656,0.04549793191218581,0.013395157135497167,0.024129165143571538,1.1877187400572702
2022-03-31,2022-04-22,PPG,18000000,0.0761,236600000,4308000000,253000000,6218000000,8027000000,7067000000,960000000,-498000000,-304000000,26.280642434488588,0.002894821486008363,0.0008223684210526315,0.002397151211603601,1.2909295593438406
2022-06-30,2022-07-22,PPG,441000000,1.86,236400000,4691000000,745000000,6182000000,7915000000,6984000000,931000000,98000000,168000000,26.150592216582066,0.0713361371724361,0.02044316706842203,0.03631154021843392,1.2803299902944032
2022-09-30,2022-10-20,PPG,329000000,1.4,235500000,4468000000,599000000,6034000000,7601000000,6572000000,1029000000,408000000,512000000,25.62208067940552,0.054524361948955914,0.015765765765765764,0.029851358091043452,1.2596950613191913
2022-12-31,2023-02-16,PPG,238000000,1.01,235500000,4185000000,505000000,6592000000,7635000000,6536000000,1099000000,437000000,587000000,27.991507430997878,0.03610436893203883,0.011473197069032008,0.02185187944502072,1.1582220873786409
2023-03-31,2023-04-21,PPG,264000000,1.12,235800000,4380000000,545000000,7142000000,8108000000,6682000000,1426000000,-35000000,85000000,30.28837998303647,0.03696443573228787,0.011946241911398706,0.023048965218759838,1.1352562307476897
2023-06-30,2023-07-21,PPG,490000000,2.08,236000000,4872000000,846000000,7614000000,7729000000,6501000000,1228000000,414000000,536000000,32.26271186440678,0.0643551352771211,0.022056175729204177,0.038862659555684236,1.015103756238508
2023-09-30,2023-10-19,PPG,426000000,1.8,236200000,4644000000,763000000,7751000000,7013000000,5795000000,1218000000,753000000,892000000,32.81541066892464,0.05496065023867888,0.019813031952002232,0.035884906831195044,0.9047864791639788
2023-12-31,2024-02-15,PPG,90000000,0.38,236200000,4350000000,399000000,7832000000,6599000000,5106000000,1493000000,730000000,898000000,33.158340389500424,0.011491317671092951,0.004157619993532591,0.010324480213325087,0.8425689479060265
2024-03-31,2024-04-19,PPG,400000000,1.7,235600000,4311000000,734000000,7941000000,7043000000,5862000000,1181000000,-316000000,-60000000,33.70543293718166,0.050371489736808966,0.01829240407920611,0.03266045552836286,0.8869160055408639
2024-06-30,2024-07-19,PPG,528000000,2.25,234500000,4235000000,837000000,7767000000,7202000000,6071000000,1131000000,250000000,365000000,33.12153518123667,0.06797991502510622,0.024299323484743892,0.03973186326127503,0.9272563409295739
2024-09-30,2024-10-17,PPG,468000000,2.01,233300000,4575000000,828000000,7788000000,7269000000,6018000000,1251000000,613000000,769000000,33.38191170167167,0.060092449922958396,0.021410925061762284,0.03809771742308012,0.9333590138674884
2024-12-31,2025-02-20,PPG,-280000000,-1.2,233300000,2165000000,155000000,6785000000,6395000000,5125000000,1270000000,148000000,346000000,29.082726103729104,-0.04126750184229919,-0.014408480419904286,-0.02418975650713686,0.9425202652910832
2025-03-31,2025-04-30,PPG,373000000,1.64,228000000,3684000000,679000000,6927000000,7862000000,6032000000,1830000000,-227000000,-18000000,30.38157894736842,0.05384726432799192,0.017644276253547777,0.032594369800679986,1.1349790674173523
2025-06-30,2025-07-30,PPG,450000000,1.98,226800000,4195000000,795000000,7577000000,7948000000,6387000000,1561000000,266000000,387000000,33.408289241622576,0.05939025999736043,0.020362912348975068,0.03619915137731136,1.048963969908935
