date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-11-05,PRU,1465000000,3.22,449443830,13599000000,2223000000,42720000000,30532000000,10325000000,20207000000,8355000000,8355000000,95.05080979752242,0.03429307116104869,0.001941613752721904,0.027618060137619003,0.7147003745318352
2015-12-31,2016-02-19,PRU,735000000,1.62,447101369,14256000000,830000000,41890000000,29540000000,11928000000,17612000000,2065000000,2065000000,93.69239931806159,0.017545953688231083,0.0009704405139769841,0.013619978445873128,0.7051802339460492
2016-03-31,2016-05-06,PRU,1336000000,2.97,443146404,14329000000,1899000000,49242000000,23523000000,1031000000,22492000000,6364000000,6294000000,111.11903324843408,0.027131310669753463,0.0017283423566775982,0.027131860044158893,0.4777019617399781
2016-06-30,2016-08-05,PRU,921000000,2.06,438739038,14439000000,1598000000,55149000000,21756000000,-2386000000,24142000000,7195000000,7195000000,125.6988670335736,0.016700212152532232,0.0011563233687805245,0.017246934404791237,0.39449491377903495
2016-09-30,2016-11-04,PRU,1827000000,4.14,431704363,16961000000,2293000000,56431000000,22387000000,-2341000000,24728000000,3549000000,3549000000,130.71677017079395,0.03237582180007443,0.002228415653796662,0.03353669809576631,0.39671457177792346
2016-12-31,2017-02-17,PRU,284000000,0.65,429574173,13050000000,233000000,45863000000,21324000000,7197000000,14127000000,-2260000000,-2260000000,106.76386729609091,0.006192355493535094,0.0003622624565986617,0.0053147380324161326,0.46494995966247304
2017-03-31,2017-05-05,PRU,1369000000,3.14,429296283,13670000000,1692000000,46784000000,21487000000,8179000000,13308000000,1646000000,1646000000,108.97834864319103,0.029262140902872776,0.0017169050560282932,0.02450739588450412,0.459280950752394
2017-06-30,2017-08-04,PRU,491000000,1.13,427044124,13441000000,765000000,48444000000,21581000000,4976000000,16605000000,2503000000,3057000000,113.44026829414939,0.010135414086367764,0.0006042407610233943,0.009041557469112692,0.4454834448022459
2017-09-30,2017-11-03,PRU,2238000000,5.19,426200000,16313000000,3185000000,50373000000,21028000000,6487000000,14541000000,4058000000,4058000000,118.19099014547162,0.04442856292061223,0.002725509084421365,0.03906085121350686,0.41744585392968453
2017-12-31,2018-02-16,PRU,3765000000,8.78,423700000,16265000000,1067000000,54069000000,20070000000,5580000000,14490000000,4684000000,4684000000,127.61151758319566,0.06963324640736836,0.004525670105695132,0.06494660430183238,0.37119236531099153
