date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-10-30,PSX,1578000000,2.92,540357000,25792000000,2705000000,23194000000,8951000000,4129000000,4822000000,445000000,1437000000,42.92347466582278,0.06803483659567129,0.03193362339370637,0.060143085659028525,0.38591877209623177
2015-12-31,2016-02-19,PSX,650000000,1.21,536399000,21893000000,1192000000,23100000000,8887000000,5813000000,3074000000,-981000000,1497000000,43.0649572426496,0.02813852813852814,0.013379991766158913,0.025221802675932305,0.38471861471861474
2016-03-31,2016-04-29,PSX,385000000,0.72,531739000,17409000000,967000000,22788000000,8835000000,7112000000,1723000000,-492000000,258000000,42.855611493608706,0.01689485694225031,0.007979936160510716,0.015343426634643442,0.38770405476566616
2016-06-30,2016-07-29,PSX,496000000,0.94,528247000,21849000000,1098000000,22842000000,8862000000,6630000000,2232000000,535000000,1155000000,43.241135302235506,0.021714385780579635,0.009848891006929966,0.019648027506333692,0.38796952981350147
2016-09-30,2016-10-28,PSX,511000000,0.97,525991000,18273000000,1192000000,22905000000,8858000000,6521000000,2337000000,222000000,883000000,43.54637246644904,0.02230953940187732,0.010168344808373463,0.02002998076606199,0.38672778869242525
2016-12-31,2017-02-17,PSX,163000000,0.31,524200000,20418000000,461000000,22390000000,10138000000,7427000000,2711000000,-146000000,667000000,42.71270507439908,0.007280035730236713,0.003155673436199253,0.015741182503594506,0.4527914247431889
2017-03-31,2017-05-05,PSX,535000000,1.02,521647000,19790000000,1222000000,22364000000,10210000000,8697000000,1513000000,-1019000000,-549000000,42.87190379701216,0.02392237524593096,0.010407547903900399,0.020513566678624893,0.4565372920765516
2017-06-30,2017-08-01,PSX,550000000,1.06,517785000,20748000000,1281000000,22368000000,9965000000,7804000000,2161000000,1407000000,1865000000,43.199397433297605,0.024588698140200285,0.010612024388361504,0.02168600495523777,0.4455025035765379
2017-09-30,2017-10-27,PSX,823000000,1.6,512923000,21995000000,1710000000,22523000000,10201000000,8654000000,1547000000,34000000,401000000,43.911074371786796,0.03654042534298273,0.01561314311731674,0.029659909753004674,0.452914798206278
2017-12-31,2018-02-23,PSX,3198000000,6.29,508148000,26502000000,1120000000,25085000000,10110000000,6991000000,3119000000,1394000000,1931000000,49.36553917362658,0.1274865457444688,0.058818119953651764,0.11916652079750958,0.4030296990233207
2018-03-31,2018-04-27,PSX,524000000,1.07,487065000,23587000000,1182000000,21923000000,11621000000,10779000000,842000000,160000000,488000000,45.01041955385831,0.02390183825206404,0.010051407964398067,0.02095760652362439,0.5300825616931989
2018-06-30,2018-07-27,PSX,1339000000,2.86,468331000,29117000000,2313000000,22536000000,11364000000,9480000000,1884000000,1826000000,2364000000,48.119812696575714,0.059416045438409656,0.02442271914784956,0.04707932137473497,0.5042598509052183
2018-09-30,2018-10-26,PSX,1492000000,3.2,466109000,29886000000,2451000000,23319000000,11337000000,10413000000,924000000,-197000000,582000000,50.02907045347762,0.063982160470003,0.026698160475270204,0.04942607928166471,0.4861700759037695
2018-12-31,2019-02-22,PSX,2240000000,4.85,461651000,28679000000,3382000000,24653000000,11160000000,8141000000,3019000000,3145000000,4139000000,53.40181219146065,0.09086115280087616,0.04125078265993886,0.07355116825186975,0.45268324341865085
2019-03-31,2019-04-30,PSX,204000000,0.44,457599000,23280000000,796000000,24217000000,11298000000,10045000000,1253000000,-1575000000,-478000000,52.9218813852303,0.00842383449642813,0.0035260565206118744,0.010638608370789797,0.4665317751992402
2019-06-30,2019-07-26,PSX,1424000000,3.13,453681000,27830000000,2283000000,24752000000,11439000000,9620000000,1819000000,1299000000,1930000000,54.5581587062275,0.057530704589528116,0.024644779425762795,0.046507777733309566,0.46214447317388496
2019-09-30,2019-10-25,PSX,712000000,1.58,449005000,27147000000,1394000000,24857000000,11925000000,9657000000,2268000000,795000000,1662000000,55.36018529860469,0.028643842780705635,0.012121005771096848,0.02563196725738909,0.47974413646055436
2019-12-31,2020-02-21,PSX,736000000,1.65,445332000,29186000000,1527000000,24910000000,12040000000,10426000000,1614000000,416000000,1694000000,55.93579621495873,0.029546366920915296,0.012534059945504087,0.025395708037469083,0.48334002408671217
2020-03-31,2020-05-01,PSX,-2496000000,-5.66,441344003,20199000000,-2019000000,21372000000,12963000000,11742000000,1221000000,-706000000,217000000,48.42481115575507,-0.11678832116788321,-0.04668911335578002,-0.07000919561611287,0.606541268950028
2020-06-30,2020-07-31,PSX,-141000000,-0.33,433333333,11093000000,20000000,20715000000,14446000000,12556000000,1890000000,-175000000,764000000,47.803846190618344,-0.006806661839246922,-0.002586301771891852,-0.0014843037378774713,0.69736905623944
2020-09-30,2020-10-30,PSX,-799000000,-1.82,438916000,15909000000,-860000000,19722000000,14526000000,13064000000,1462000000,-61000000,491000000,44.933426897173945,-0.04051313254233851,-0.014719699342311305,-0.019978446084710954,0.7365378764831153
2020-12-31,2021-02-24,PSX,-539000000,-1.23,439110000,16492000000,-189000000,18984000000,16157000000,13643000000,2514000000,133000000,639000000,43.23290291726447,-0.028392330383480827,-0.009849966192138302,-0.012095138236836242,0.8510851243152128
2021-03-31,2021-04-30,PSX,-654000000,-1.49,439504000,21750000000,-263000000,17979000000,15422000000,14071000000,1351000000,-60000000,271000000,40.90747752011358,-0.036375771733689305,-0.011784633126711835,-0.016162125084225158,0.8577785193837255
2021-06-30,2021-08-03,PSX,294000000,0.66,439940000,27195000000,949000000,18149000000,15413000000,13206000000,2207000000,1363000000,1743000000,41.253352729917715,0.016199239627527687,0.005159976832757077,0.015840061796035046,0.8492478924458647
2021-09-30,2021-10-29,PSX,402000000,0.91,440193000,30457000000,966000000,18139000000,14910000000,12013000000,2897000000,1651000000,2203000000,41.20692514419812,0.022162191962070678,0.007126775045650363,0.021639763294545727,0.8219857765036661
2021-12-31,2022-02-18,PSX,1273000000,2.89,440469000,32542000000,2298000000,19166000000,14738000000,11591000000,3147000000,1203000000,1800000000,43.51271031559542,0.06641970155483669,0.022898154477101845,0.048438221617801126,0.7689658770739852
