date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-11-23,PTC,8987000,0.0781,115025000,312568000,-1389000,874711000,668125000,394708000,273417000,-22551000,-12560000,7.604529450119539,0.010274250581049055,0.004066675927966395,0.01357128793109251,0.763823708630622
2016-01-02,2016-02-10,PTC,-25492000,-0.22,113771428,291017000,7668000,834337000,718125000,421328000,296797000,57069000,61254000,7.333449308555747,-0.030553601242663337,-0.011504165589222945,-0.012428665108126753,0.8607133568330303
2016-04-02,2016-05-11,PTC,-5173000,-0.0452,114563000,272627000,1758000,854104000,838125000,469669000,368456000,44204000,48885000,7.455321526147185,-0.00605663947247642,-0.002145136101898319,0.0019248694612675425,0.9812915054841097
2016-07-02,2016-08-11,PTC,3073000,0.0266,114796966,288652000,7596000,862661000,778125000,483499000,294626000,51691000,59457000,7.514667243034977,0.0035622336004525533,0.0013137273175765857,-0.024630780583964087,0.9020055386762587
2016-09-30,2016-11-18,PTC,-28473000,-0.25,114132591,288237000,14421000,842666000,751601000,473666000,277935000,4015000,13572000,7.383219750088736,-0.033789188124357696,-0.012104565282731067,-0.007700585544742264,0.8919322720983165
2016-12-31,2017-02-09,PTC,-9141000,-0.08,114262500,286327000,26015000,818965000,731762000,558395000,173367000,-55078000,-47978000,7.167399628049448,-0.011161649154725782,-0.004168064989166041,0.004654709273136419,0.893520480118198
2017-04-01,2017-05-11,PTC,-1104000,-0.01,110400000,280040000,29842000,847344000,711976000,468660000,243316000,68700000,76389000,7.675217391304348,-0.0013028946921203196,-0.00047305878783827557,0.006842304430685621,0.840244339961102
2017-07-01,2017-08-08,PTC,-951000,-0.0082,115615000,291293000,34660000,835380000,712191000,451496000,260695000,69111000,73655000,7.22553301907192,-0.0011384040795805502,-0.00041496473672429196,-0.013908826975029138,0.8525353731236084
2017-09-30,2017-11-29,PTC,17435000,0.15,117380000,306379000,38171000,885436000,712406000,432403000,280003000,26413000,32524000,7.543329357641847,0.019690864161836654,0.007386509991594588,0.03787100492502882,0.8045821493591857
2017-12-30,2018-02-06,PTC,13877000,0.12,115731358,306644000,37564000,889099000,742622000,450943000,291679000,16250000,25127000,7.682438151291718,0.01560793567420501,0.00601793106678312,0.02643642203405167,0.8352523172335139
2018-03-31,2018-05-02,PTC,7922000,0.0682,116241000,307883000,44291000,927724000,642837000,343061000,299776000,105886000,111148000,7.981039392297038,0.008539177600234553,0.0034017315251454175,0.011838388702074685,0.6929183679628855
2018-06-30,2018-08-01,PTC,16997000,0.15,115774000,314777000,43193000,834385000,693053000,426501000,266552000,41520000,49047000,7.207015392056938,0.020370692186460686,0.0075353637186224166,0.027872967373406318,0.8306153634113749
2018-09-30,2018-11-16,PTC,13191000,0.11,116390000,312521000,35610000,874589000,643268000,383322000,259946000,45114000,62489000,7.514296760890111,0.015082513043269467,0.005663750707378462,0.2116880177521738,0.7355089076126043
2018-12-29,2019-02-07,PTC,20985000,0.18,118323000,334689000,68990000,1321169000,778484000,501494000,276990000,-9118000,21214000,11.16578349095273,0.01588366060662943,0.0076226793690738984,0.027588011658126882,0.5892387726324188
2019-03-30,2019-05-09,PTC,-12030000,-0.1,117602702,315499000,-2532000,912928000,738700000,444401000,294299000,120194000,141130000,7.762814837366577,-0.013177380910652318,-0.004849445478204504,-0.016426729902124272,0.8091547197588419
2019-06-29,2019-08-08,PTC,11705000,0.1,113523076,322410000,28772000,906498000,698916000,431054000,267862000,59274000,67585000,7.985143038231276,0.01291232854347169,0.004779978078665249,0.0038066529237696504,0.7710066652105134
2019-09-30,2019-11-18,PTC,9826000,0.0835,115026222,335005000,73465000,1201998000,669134000,399555000,269579000,50384000,55216000,10.449773791579453,0.008174722420503195,0.0036876245033003224,0.00805526467725563,0.5566847864971489
2019-12-28,2020-01-27,PTC,35455000,0.31,115190000,356110000,50717000,1247817000,1349608000,1112591000,237017000,2805000,7512000,10.83268512891744,0.0284136215486726,0.010810021382225343,0.04065717645643597,1.081575263039372
2020-03-28,2020-05-06,PTC,7156000,0.0619,115606000,359603000,69001000,1274081000,1854880000,1028104000,826776000,82281000,87817000,11.020889919208345,0.005616597374892177,0.0018507833111899715,0.009534273991070591,1.4558572021716045
2020-06-27,2020-08-05,PTC,34678000,0.3,115759000,351721000,84660000,1327567000,1340781000,963353000,377428000,88286000,104505000,11.468369630007171,0.026121468822289197,0.010271405252521423,0.02182230540525318,1.0099535466006613
2020-09-30,2020-11-20,PTC,53406000,0.46,115663000,390981000,87573000,1438248000,1220337000,944879000,275458000,29190000,33974000,12.434814936496545,0.03713267809167821,0.015787802661630903,0.02728692217051475,0.8484885777696197
2020-12-31,2021-02-04,PTC,23515000,0.2,116401000,429050000,117151000,1494929000,1194303000,795606000,398697000,110905000,113762000,12.842922311663989,0.015729844026037356,0.0068181396438504235,0.011793743779738132,0.7989028241475014
2021-03-31,2021-05-04,PTC,109262000,0.94,116777000,461785000,130181000,1650533000,1714773000,1388692000,326081000,116307000,121692000,14.134058932837801,0.06619800997617134,0.02613160127149462,0.04133131884191669,1.0389207607481947
2021-06-30,2021-08-03,PTC,51203000,0.44,116934000,435668000,103223000,1724958000,1682060000,1316304000,365756000,84614000,88034000,14.75155215762738,0.029683621282373254,0.012173165496137981,0.02063069772012324,0.9751309886965364
2021-09-30,2021-11-22,PTC,292943000,2.5,117230000,480656000,214211000,2038468000,1648270000,1321738000,326532000,32270000,45321000,17.38862066024055,0.14370743126701033,0.06485245188860299,0.0937915262687742,0.8085827199642084
2021-12-31,2022-02-07,PTC,46089000,0.39,117347000,457721000,99310000,1953812000,1646046000,1349921000,296125000,133924000,137736000,16.64986748702566,0.023589270615596587,0.010425913107211205,0.017222076811826314,0.8424792149910022
2022-03-31,2022-05-05,PTC,89679000,0.77,117008000,505227000,145861000,2083977000,1469536000,1162835000,306701000,140177000,142325000,17.810551415287843,0.04303262464029114,0.020481564216974536,0.030884723840470148,0.7051594139474668
2022-06-30,2022-08-05,PTC,70476000,0.6,117073000,462474000,145137000,2157170000,1619920000,1297594000,322326000,111297000,116766000,18.42585395437035,0.03267058229068641,0.01530244674997796,0.023184574944248137,0.7509468423907248
2022-09-30,2022-11-15,PTC,106837000,0.91,117431000,507925000,183099000,2296034000,1540203000,1268021000,272182000,27984000,38499000,19.552196609072563,0.04653110537561726,0.022793021435940936,0.03331147705987592,0.6708101883508694
2022-12-31,2023-02-09,PTC,75035000,0.64,117819000,465910000,132164000,2400549000,1551089000,1163501000,387588000,171741000,180921000,20.374888600310648,0.03125743319548987,0.015646083036943606,0.025038182458039862,0.6461392789732682
2023-03-31,2023-05-03,PTC,63504000,0.54,118260000,542181000,158813000,2518534000,2119330000,1798853000,320477000,207178000,210948000,21.296583798410282,0.025214668533361073,0.010080608036675228,0.022243058372058682,0.841493503760521
2023-06-30,2023-08-04,PTC,61398000,0.52,118483000,542342000,148409000,2598664000,1933060000,1651547000,281513000,164138000,169223000,21.93280048614569,0.023626755902263624,0.009890700972300463,0.02121065993033065,0.7438668485036927
2023-09-30,2023-11-20,PTC,45603000,0.38,118803000,546620000,159759000,2677290000,1888977000,1600874000,288103000,43190000,49769000,22.535542031766873,0.017033268715753617,0.007251414489344779,0.014956881522844936,0.7055556178075592
2023-12-31,2024-02-02,PTC,66387000,0.56,119124000,550214000,155879000,2806653000,2450880000,2185883000,264997000,182778000,187341000,23.560768610859274,0.023653440592762982,0.010586084832511767,0.01878615813941915,0.8732394065101742
2024-03-31,2024-05-03,PTC,114445000,0.96,119587000,603072000,214505000,2943132000,2189530000,1940559000,248971000,247091000,250730000,24.61080217749421,0.03888544584476673,0.01844321505792744,0.02891748999455731,0.7439455654724287
2024-06-30,2024-08-02,PTC,68978000,0.58,119893000,518639000,130833000,3014679000,1991428000,1743679000,247749000,212160000,213799000,25.144745731610687,0.022880711346050443,0.011255934707811254,0.020660166770160755,0.6605771294389884
2024-09-30,2024-11-14,PTC,126523000,1.06,119679000,626547000,207237000,3214398000,1930326000,1664518000,265808000,93577000,98114000,26.858496478078862,0.03936133608843709,0.019820187601178155,0.02593260470153616,0.6005248883305676
2024-12-31,2025-02-06,PTC,82232000,0.68,120243000,565128000,148953000,3229821000,1719881000,1523543000,196338000,235662000,238429000,26.860781916618848,0.025460234483582835,0.013535320682020041,0.02139431033336479,0.5325004079173428
2025-03-31,2025-05-01,PTC,162644000,1.35,120177000,636366000,258532000,3386463000,1567498000,1332329000,235169000,278501000,281309000,28.178961032477098,0.04802769142908102,0.02639283101100848,0.03775971533225453,0.46287173372335677
2025-06-30,2025-07-31,PTC,141328000,1.18,119913000,643937000,245914000,3512883000,1411719000,1212398000,199321000,242041000,243928000,29.295264066448176,0.0402313427461148,0.0226885210320092,0.032750993651114446,0.4018690631028702
