date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-10-29,PYPL,301000000,0.25,1221000000,2258000000,483000000,13214000000,1610000000,-270000000,1880000000,519000000,652000000,10.822276822276823,0.022778870894505827,0.010790077430455979,0.02192521631644005,0.12184047222642652
2015-12-31,2016-02-11,PYPL,367000000,0.3,1223000000,2556000000,574000000,13759000000,0,-1393000000,1393000000,564000000,728000000,11.250204415372036,0.026673450105385566,0.012707316228662443,0.02911014689916092,0.0
2016-03-31,2016-04-28,PYPL,365000000,0.3,1216000000,2544000000,582000000,13598000000,0,-2583000000,2583000000,605000000,738000000,11.182565789473685,0.026842182673922636,0.012385476756023075,0.031958789500745426,0.0
2016-06-30,2016-07-26,PYPL,323000000,0.27,1210000000,2650000000,547000000,13817000000,0,-2018000000,2018000000,495000000,696000000,11.41900826446281,0.0233769993486285,0.010544872841239268,0.026726841257733707,0.0
2016-09-30,2016-10-25,PYPL,323000000,0.27,1207000000,2667000000,533000000,14192000000,0,-1369000000,1369000000,618000000,801000000,11.75807787903894,0.022759301014656143,0.010301058808521495,0.024349476201616888,0.0
2016-12-31,2017-02-08,PYPL,390000000,0.32,1207000000,2981000000,649000000,14712000000,0,-1590000000,1590000000,771000000,923000000,12.188898094449048,0.026508972267536703,0.011781409539920852,0.029150738566622113,0.0
2017-03-31,2017-04-27,PYPL,384000000,0.32,1203000000,2975000000,654000000,14626000000,0,-1240000000,1240000000,603000000,751000000,12.157938487115544,0.026254615069055107,0.01146508225599379,0.030848013360922983,0.0
2017-06-30,2017-07-27,PYPL,411000000,0.34,1202000000,3136000000,631000000,14998000000,0,-1271000000,1271000000,747000000,921000000,12.477537437603994,0.0274036538205094,0.011646358741853217,0.028802296752151128,0.0
2017-09-30,2017-10-24,PYPL,380000000,0.32,1202000000,3239000000,646000000,15432000000,0,-2330000000,2330000000,841000000,1006000000,12.838602329450914,0.024624157594608606,0.010063292815338578,0.029067514277368665,0.0
2017-12-31,2018-02-07,PYPL,620000000,0.52,1203000000,3744000000,1162000000,15994000000,1000000000,-1883000000,2883000000,-327000000,-147000000,13.295095594347465,0.038764536701262974,0.01520576838181194,0.04754794657175778,0.06252344629235963
2018-03-31,2018-04-26,PYPL,511000000,0.43,1192000000,3685000000,749000000,14641000000,3000000000,121000000,2879000000,-527000000,-349000000,12.282718120805368,0.034901987569155114,0.012074098577571949,0.035626589082048306,0.2049040366095212
2018-06-30,2018-07-26,PYPL,526000000,0.44,1187000000,3857000000,808000000,15019000000,2000000000,-840000000,2840000000,-170000000,28000000,12.65290648694187,0.03502230508023171,0.012620870024233989,0.0382544967227025,0.13316465809974032
2018-09-30,2018-10-23,PYPL,436000000,0.37,1181000000,3683000000,743000000,15115000000,2000000000,-6147000000,8147000000,4447000000,4670000000,12.798475867908552,0.02884551769765134,0.009971640289086085,0.05062402404714365,0.13231888852133641
2018-12-31,2019-02-07,PYPL,584000000,0.5,1177000000,4226000000,929000000,15386000000,1998000000,-5577000000,7575000000,910000000,1134000000,13.072217502124044,0.03795658390744833,0.0134773377642389,0.06127293700347185,0.12985831275185233
2019-03-31,2019-04-25,PYPL,667000000,0.57,1171000000,4128000000,969000000,15157000000,1999000000,-2516000000,4515000000,809000000,1027000000,12.943637916310845,0.04400606980273141,0.014412273120138288,0.054383816932725496,0.13188625717490268
