date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-10-23,RCL,228787000,1.04,219963000,2523100000,506348000,8255786000,8489936000,8342517000,147419000,358570000,567591000,37.53261230297823,0.02771232200059449,0.010916010269266708,0.017809410998220723,1.0283619270170037
2015-12-31,2016-02-22,RCL,206799000,0.95,218652000,1902053000,480256000,8063039000,8527243000,8405678000,121565000,85727000,338430000,36.876127362201125,0.02564777374883093,0.009950850356723832,0.01645094757533328,1.0575718410887012
2016-03-31,2016-04-29,RCL,99140000,0.46,216914000,1917795000,375350000,7887769000,8702180000,8584820000,117360000,228056000,477896000,36.363577270254574,0.012568826495806356,0.0047291917589945874,0.009991507710172336,1.1032498542997393
2016-06-30,2016-08-02,RCL,229905000,1.07,215265000,2105262000,530272000,8145665000,10048910000,9873746000,175164000,-1004339000,793016000,37.84017373934453,0.028224214965874486,0.010230962402008626,0.01712886175913297,1.233651273407389
2016-09-30,2016-10-28,RCL,693257000,3.23,214819000,2563741000,1005195000,8790149000,9717852000,9539424000,178428000,463404000,730040000,40.9188619256211,0.07886749132466356,0.030879684165823987,0.042328700183032086,1.1055389391010324
2016-12-31,2017-02-23,RCL,261086000,1.22,214588000,1909603000,574856000,9121412000,9387436000,9254833000,132603000,335206000,515738000,42.50662665200291,0.028623419268858814,0.011702474603237497,0.018592100834528492,1.0291647828209054
2017-03-31,2017-04-28,RCL,214726000,1.0,214870000,2008560000,530792000,9266830000,8569373000,8460064000,109309000,673743000,796526000,43.12761204449202,0.023171462085740214,0.009752622681381246,0.01664380686204814,0.924736182707571
2017-06-30,2017-08-01,RCL,369526000,1.72,215085000,2195274000,681095000,9683408000,8020325000,7889848000,130477000,713996000,862754000,45.02130785503406,0.03816073845076031,0.016778204743080418,0.02538846529066668,0.8282543707752478
2017-09-30,2017-11-07,RCL,752842000,3.51,214694000,2569544000,1066225000,10435488000,7592207000,7452257000,139950000,679527000,795321000,48.60633273403076,0.07214248150158382,0.03406630631158958,0.04618105859626241,0.727537322643656
2017-12-31,2018-02-21,RCL,288039000,1.35,213831000,2004467000,598197000,10702303000,7539451000,7419339000,120112000,243162000,419965000,50.05028737647956,0.026913739967930266,0.012881353840176387,0.019746499792899563,0.7044699631471844
2018-03-31,2018-04-30,RCL,218653000,1.03,212610000,2027756000,526761000,10646796000,8808739000,8697494000,111245000,-796110000,924122000,50.0766473825314,0.020536976570228262,0.009121574210674478,0.014812174548665265,0.827360550535579
2018-06-30,2018-08-02,RCL,466295000,2.2,211673000,2337605000,801535000,10773698000,8519089000,8410091000,108998000,514816000,1007464000,50.89783770249394,0.0432808679062658,0.01938289488364236,0.028574073661881916,0.7907302580785168
2018-09-30,2018-10-26,RCL,810391000,3.88,209054000,2796187000,1156824000,11338135000,10174436000,9919615000,254821000,519151000,815398000,54.23543677710065,0.07147480604173438,0.02991085697919135,0.04219171831449706,0.8973641608606706
2018-12-31,2019-02-22,RCL,315703000,1.51,209001000,2332301000,698041000,11105461000,10777699000,10489847000,287852000,-418746000,732155000,53.135922794627774,0.02842772578283783,0.011397932073013947,0.01935017551034697,0.9704864120453892
2019-03-31,2019-05-02,RCL,249681000,1.19,209322000,2439767000,649506000,11269070000,11081552000,10833355000,248197000,608338000,1078454000,53.83605163336868,0.022156309260657713,0.008693613301286499,0.016162072713740688,0.9833599400837869
2019-06-30,2019-07-26,RCL,472830000,2.26,209531000,2806631000,902859000,11538403000,11651436000,11416435000,235001000,-278952000,1117073000,55.067760856388794,0.04097880789915208,0.015862008210819283,0.025757489554053922,1.0097962430329397
2019-09-30,2019-10-30,RCL,883240000,4.21,209575000,3186850000,1312698000,11976907000,11398101000,11121371000,276730000,435787000,911541000,57.1485482524156,0.07374524992136952,0.029613624413047632,0.042964371629781235,0.951673165701295
2019-12-31,2020-02-25,RCL,273136000,1.31,209193000,2517413000,696992000,12163846000,11733493000,11489755000,243738000,-73470000,609298000,58.146524979325314,0.022454740055077974,0.009008358892680557,0.01586354652722856,0.9646203182776237
2020-03-31,2020-05-21,RCL,-1444479000,-6.91,209097000,2032750000,-1019794000,10231775000,16711734000,12820923000,3890811000,-1053844000,198710000,48.93315064300301,-0.14117579794317212,-0.043189616114526715,-0.05830658086094738,1.6333171908100013
2020-06-30,2020-08-10,RCL,-1639292000,-7.83,209385000,175605000,-1093205000,8963905000,19500865000,15354174000,4146691000,-2386870000,-2247533000,42.81063590992669,-0.1828769938994222,-0.04921831725376002,-0.05810335594353485,2.1754876920270796
