date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-11-05,REG,58997000,0.57,94158000,142068000,92239000,1879026000,2066813000,2042933000,23880000,89350000,89350000,19.95609507423692,0.03139764963337389,0.014076821358916592,-0.0022703923780761155,1.0999384787650623
2015-12-31,2016-02-18,REG,22874000,0.18,96794776,146168000,82477000,2054109000,1906319000,1869463000,36856000,28735000,58874000,21.221279545086194,0.011135728435053836,0.005515298479302441,0.007198775578512751,0.9280515298847335
2016-03-31,2016-05-06,REG,53143000,0.49,97518000,149628000,101620000,2046671000,1879051000,1851914000,27137000,68835000,68835000,20.987622797842448,0.025965580203168952,0.01197831132925604,0.01602607099755424,0.9181011506001697
2016-06-30,2016-08-05,REG,40076000,0.36,97657000,152412000,102778000,2166756000,2041992000,2017053000,24939000,74478000,74478000,22.18741104068321,0.01849585278637742,0.008989100748987055,-0.11100686204235813,0.9424189894939716
2016-09-30,2016-11-04,REG,10571000,0.05,103675000,152768000,42239000,2567145000,1684076000,1643174000,40902000,74036000,74036000,24.76146612008681,0.004117804019640496,0.0023549167659113377,0.011645869902068923,0.6560112498514887
2016-12-31,2017-02-27,REG,61135000,0.54,104149383,159561000,84004000,2591301000,1696600000,1683344000,13256000,72027000,72027000,24.880617871735254,0.023592396251921333,0.005489866533428784,0.0011035214009793059,0.6547290337942215
2017-03-31,2017-05-10,REG,-21367000,-0.17,126649000,196131000,54079000,6731349000,4087695000,4050840000,36855000,-6549000,32723000,53.149641923741996,-0.003174252293262465,-0.0019090728447946203,0.00732364550808107,0.6072623778680916
2017-06-30,2017-08-08,REG,49493000,0.28,170088000,261305000,172978000,6692286000,4161721000,4064455000,97266000,66456000,143119000,39.34602088330747,0.007395529718843457,0.0044513117262784604,0.008972420178193377,0.621868372033114
2017-09-30,2017-11-06,REG,62813000,0.35,170105000,262141000,154925000,6595462000,4159347000,4135804000,23543000,91857000,168015000,38.77288733429352,0.009523669456362571,0.005636468298959937,0.009608943329806168,0.6306377021048715
2017-12-31,2018-02-27,REG,85139000,0.5,170998280,264751000,168382000,6692052000,4132378000,4087008000,45370000,-8913000,127289000,39.135200658158666,0.012722405623865445,0.007578786838642048,0.0011635615601649366,0.6175053630784698
2018-03-31,2018-05-07,REG,52660000,0.31,170704000,276693000,141894000,6564301000,4367532000,4279628000,87904000,83455000,149868000,38.45428929609148,0.008022179360757527,0.0047094680340162036,-0.001608228480996172,0.6653460894008364
2018-06-30,2018-08-03,REG,47841000,0.28,169424000,281412000,186473000,6528100000,4348518000,4311367000,37151000,54093000,151038000,38.531140806497305,0.007328472296686632,0.004326749588270991,0.002547270402889883,0.6661230679677088
2018-09-30,2018-11-05,REG,69722000,0.41,169438000,278310000,186334000,6512094000,4224549000,4184184000,40365000,163849000,163849000,38.43349189674099,0.010706540783962885,0.006370410856871518,0.008501742381789254,0.6487235902921549
2018-12-31,2019-02-21,REG,78905000,0.47,167106280,284560000,174277000,6397970000,4211938000,4166748000,45190000,145572000,145572000,38.286831590051555,0.012332818065730224,0.0071617204611819415,0.003409998670388237,0.6583241246832979
