date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-11-03,ROP,160417000,1.59,100681000,883933000,300416000,5128905000,2798978000,2098400000,700578000,219789000,226619000,50.94213406700371,0.031277046465083676,0.01700593840834712,0.024159497744776277,0.545726232012486
2015-12-31,2016-02-26,ROP,208597000,2.07,100829000,943640000,340618000,5298947000,3271222000,2492711000,778511000,260501000,269258000,52.553799006238286,0.039365745684944574,0.020514310806112882,0.028795464761991706,0.6173343496358805
2016-03-31,2016-05-06,ROP,151416000,1.5,101071000,902423000,304242000,5441235000,3111705000,2588672000,523033000,197583000,207072000,53.835768914921196,0.027827506071691446,0.0148092681747442,0.021233678203145707,0.5718747674011506
2016-06-30,2016-08-05,ROP,158069000,1.56,101249000,931558000,312598000,5551017000,3092149000,2469855000,622294000,160901000,169760000,54.82540074469871,0.028475682924408267,0.015350800097658393,0.022061319521470654,0.5570418898014544
2016-09-30,2016-11-04,ROP,167079000,1.65,101372000,945144000,324786000,5712507000,3089053000,2206783000,882270000,307956000,316541000,56.35192163516553,0.0292479291491459,0.015942457954712004,0.023453087673184693,0.5407525977648693
2016-12-31,2017-02-27,ROP,182081000,1.79,101469000,1010800000,351321000,5788865000,6209536000,5452336000,757200000,257239000,270412000,57.050577023524426,0.03145366146904445,0.01271078030624519,0.018109446184822513,1.0726689946993064
2017-03-31,2017-05-05,ROP,158071000,1.55,101885000,1086305000,342281000,5970790000,5840772000,5110106000,730666000,360118000,378217000,58.60322913088286,0.026474051172457914,0.011108250186541808,0.017360952879719626,0.9782243220746334
2017-06-30,2017-08-07,ROP,179556000,1.76,102081000,1134671000,386988000,6200486000,5642400000,4979056000,663344000,159452000,171875000,60.74084305600454,0.028958375198331228,0.012632967122033973,0.018941968415750857,0.9099931844052225
2017-09-30,2017-11-06,ROP,190273000,1.86,102303000,1159912000,396714000,6458984000,5334255000,4728639000,605616000,302222000,315641000,63.135822018904626,0.029458657894182737,0.013355609411404333,0.019933883363724328,0.8258659566272343
2017-12-31,2018-02-23,ROP,443872000,4.33,102395000,1226583000,432819000,6863564000,5155500000,4484200000,671327000,353154000,368749000,67.03026514966551,0.06467077454220577,0.031004414304057867,0.04470624235948758,0.751140369638864
2018-03-31,2018-05-04,ROP,211300000,2.05,102900000,1202500000,386200000,7155500000,4622000000,4255800000,366200000,270100000,281700000,69.53838678328474,0.029529732373698554,0.015013393396380586,0.02164999970188496,0.6459366920550625
2018-06-30,2018-08-06,ROP,228400000,2.21,103200000,1293700000,446700000,7302900000,5623400000,5201600000,421800000,250200000,266100000,70.76453488372093,0.03127524681975653,0.014868823644293991,0.020783185570743986,0.7700228676279286
2018-09-30,2018-11-05,ROP,247600000,2.39,103400000,1318700000,454400000,7554900000,5215900000,4852500000,363400000,404300000,418200000,73.06479690522244,0.03277343181246608,0.016241284084722304,0.023055519292050297,0.6903996082012999
2018-12-31,2019-02-25,ROP,257100000,2.4865,103400000,1376300000,459400000,7738500000,4941700000,4577300000,364400000,446900000,464100000,74.84042553191489,0.033223492924985464,0.01685956916620217,0.02397973188038834,0.638586289332558
2019-03-31,2019-05-03,ROP,369600000,3.5676,103600000,1287200000,557500000,8137400000,4488700000,4096200000,392500000,272500000,290300000,78.54633204633204,0.04541991299432251,0.023993923616746408,0.03336134819783033,0.5516135374935484
2019-06-30,2019-08-02,ROP,249700000,2.4033,103900000,1330300000,465600000,8351000000,4721000000,4400200000,320800000,285800000,300800000,80.37536092396535,0.029900610705304753,0.01569620889724232,0.02232267987572929,0.5653215183810322
2019-09-30,2019-11-01,ROP,277500000,2.6683,104000000,1354500000,493000000,8571300000,6198000000,5875000000,323000000,387400000,404500000,82.41634615384615,0.032375485632284484,0.015573177096486354,0.02198327224562449,0.7231108466627
2019-12-31,2020-02-28,ROP,871100000,8.3679,104100000,1394800000,1311800000,9491900000,5332100000,4622400000,709700000,453200000,466200000,91.18059558117196,0.09177298538754096,0.04810341876094075,0.06435183449132977,0.5617526522614018
2020-03-31,2020-05-06,ROP,240300000,2.3039,104300000,1350700000,464600000,9591300000,5276600000,4276800000,999800000,353400000,363900000,91.9587727708533,0.025053955146851836,0.013248574799589807,0.019910169236651568,0.5501444016973716
2020-06-30,2020-08-05,ROP,219200000,2.0976,104500000,1305000000,445100000,9879700000,5866400000,3995600000,1870800000,438900000,449100000,94.54258373205742,0.022186908509367692,0.011451079546345005,0.0184391737281247,0.5937832120408515
