date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-10-31,2015-12-09,ROST,215656000,0.54,401494000,2782855000,409599000,2394082000,395909000,-89794000,485703000,79204000,171656000,5.962933443588198,0.09007878593966288,0.043977583781950665,0.09486956825460997,0.16536985784112657
2016-01-30,2016-03-29,ROST,264161000,0.66,398229000,3250726000,485912000,2471991000,396025000,-365577000,761602000,482825000,564225000,6.207461033726825,0.10686163501404333,0.05425231956746179,0.12688835082037062,0.16020487129605246
2016-04-30,2016-06-08,ROST,290634000,0.73,395799000,3088995000,549744000,2539441000,396142000,-513883000,910025000,389356000,469080000,6.41598639713592,0.11444802222221347,0.056829085109881806,0.14499341838623328,0.155995748670672
2016-07-30,2016-09-07,ROST,281906000,0.72,393568000,3180917000,534313000,2614330000,396259000,-531459000,927718000,242772000,310474000,6.642638629156842,0.1078310695283304,0.05427287257370384,0.0,0.1515719132626715
2016-10-29,2016-12-07,ROST,244546000,0.63,390870000,3086687000,466645000,2649522000,396376000,-482435000,878811000,176658000,249674000,6.778524829227109,0.09229815793188356,0.04571049818435417,0.11426852114617432,0.14960283402062713
2017-01-28,2017-03-28,ROST,300568000,0.77,388258000,3510158000,556285000,2748017000,396493000,-715106000,1111599000,452185000,529623000,7.077811661317989,0.10937632481895126,0.056611062256008315,0.1493725616357881,0.1442833141134134
2017-04-29,2017-06-07,ROST,321018000,0.83,386433000,3306429000,579146000,2777746000,396611000,-847608000,1244219000,444867000,520838000,7.1881697474077,0.11556780209565598,0.05781009278810007,0.16793723815248865,0.14278159342142874
2017-07-29,2017-09-06,ROST,316539000,0.83,383011000,3431603000,589886000,2839884000,396729000,-754203000,1150932000,183747000,277092000,7.414627778314461,0.11146194703727336,0.057401433571512374,0.15318317964357614,0.13969901587529632
2017-10-28,2017-12-06,ROST,274449000,0.72,379432000,3328894000,521692000,2858519000,396848000,-747321000,1144169000,270156000,367703000,7.533679289042569,0.09601090634695798,0.04758974284278525,0.1313753366939444,0.13882993256298104
2018-02-03,2018-04-03,ROST,450747000,1.2,376204000,4067806000,682006000,3049308000,396967000,-893327000,1290294000,411085000,515645000,8.105464056735176,0.1478194396892672,0.07877367748033004,0.21068195361458522,0.13018265127694545
2018-05-05,2018-06-13,ROST,418252000,1.12,373797000,3588619000,626726000,3130288000,397086000,-905750000,1302836000,392257000,472050000,8.37429941920347,0.13361454281522978,0.06946742944003124,0.18955944036195477,0.12685286465654277
2018-08-04,2018-09-12,ROST,389404000,1.05,371031000,3737926000,604606000,3184610000,397206000,-989729000,1386935000,443292000,542134000,8.583137258072776,0.12227682510574293,0.0652950925557652,0.17886922687665932,0.12472673262974115
2018-11-03,2018-12-12,ROST,338108000,0.92,368102000,3549608000,531580000,3187163000,397325000,-951871000,1349196000,321157000,435888000,8.658369147681892,0.10608431385530015,0.05422075584286584,0.15268377301879613,0.12466416057164319
2019-02-02,2019-04-02,ROST,441693000,1.21,365202000,4107388000,634728000,3305746000,312440000,-1100472000,1412912000,496073000,616605000,9.051828850882526,0.13361371381830303,0.07272233638490994,0.20158343417986108,0.09451421857577684
2019-05-04,2019-06-12,ROST,421142000,1.16,363085000,3796642000,627947000,3267526000,3363982000,1997390000,1366592000,413358000,508987000,8.999341751931366,0.12888711520581628,0.04653955301730997,0.08040779240057777,1.0295195814815246
2019-08-03,2019-09-11,ROST,412721000,1.15,359794000,3979869000,635364000,3296264000,3358736000,1976711000,1382025000,419791000,574476000,9.161531320700178,0.1252087211461218,0.04509652426964448,0.07861212776156443,1.018952365465873
2019-11-02,2019-12-11,ROST,370932000,1.04,356879000,3849117000,572987000,3276779000,3473583000,2330874000,1142709000,176530000,327467000,9.181764687751311,0.1132001883556993,0.039394463011854175,0.0664647050067044,1.0600601993604084
2020-02-01,2020-03-31,ROST,456133000,1.29,354090000,4413445000,688622000,3359249000,3487900000,2136695000,1351205000,606384000,760616000,9.486992007681662,0.13578421843691849,0.048792799854776775,0.08330404710851076,1.038297548053151
2020-05-02,2020-06-10,ROST,-305842000,-0.87,351543000,1842673000,-368689000,2817392000,6293215000,3623680000,2669535000,-1198171000,-1058442000,8.014359552032042,-0.10855500406049283,-0.028508639877196647,-0.04647107827337389,2.233702303406839
2020-08-01,2020-09-09,ROST,22047000,0.06,367450000,2684712000,174882000,2867199000,6269333000,2476290000,3793043000,1120545000,1230863000,7.80296366852633,0.007689386052380738,0.001947228663573346,0.006298314753790911,2.1865705868340495
2020-10-31,2020-12-09,ROST,131197000,0.37,352481000,3754509000,254130000,3019037000,5774298000,1358174000,4416124000,1521204000,1610702000,8.565105636899577,0.04345657241034144,0.01043675808425743,0.03635627086534746,1.9126290933168424
2021-01-30,2021-03-30,ROST,237980000,0.67,355163000,4249671000,498283000,3290640000,5732799000,913506000,4819293000,396922000,462810000,9.265154309429755,0.072320278122189,0.018712257330572808,0.05947143577015854,1.7421531981620597
2021-05-01,2021-06-09,ROST,476479000,1.35,352988000,4516080000,730377000,3652821000,5656341000,289335000,5367006000,615883000,752820000,10.348286627307443,0.13044137667846303,0.035569115629205825,0.12460558849225088,1.5484856772341158
2021-07-31,2021-09-08,ROST,494258000,1.4,352865000,4804974000,763098000,3903986000,5626664000,57593000,5569071000,475075000,592575000,11.063681577940573,0.12660342531966046,0.03623220490565485,0.1283497677648383,1.4412613159985717
2021-10-30,2021-12-08,ROST,385030000,1.1,351071000,4574541000,611013000,3983217000,5688111000,428516000,5259595000,34779000,158258000,11.345901541283672,0.09666307409312623,0.027668680645950836,0.09055289790950788,1.4280193622391149
2022-01-29,2022-03-29,ROST,366822000,1.05,349060000,5020649000,589877000,4060050000,5622139000,699774000,4922365000,55272000,235196000,11.631381424396952,0.09034913363135921,0.026892603775178412,0.08000261584371163,1.384746246967402
2022-04-30,2022-06-08,ROST,338445000,0.98,347053000,4333100000,560461000,4053897000,5656452000,1640885000,4015567000,-526115000,-416267000,11.680916171305247,0.08348633426058925,0.025574484169126423,0.06192860899529578,1.3953122143951857
2022-07-30,2022-09-07,ROST,384517000,1.11,344884000,4583009000,623173000,4126951000,5627429000,1723759000,3903670000,226504000,360002000,11.96620022964243,0.09317217480895702,0.029174451867014083,0.06836668702960214,1.3635802799694012
