date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-11-09,SBAC,-155946000,-1.23,126785365,410735000,156353000,-1697656000,8486850000,8413579000,73271000,115286000,159205000,-13.38999970540764,0.09185959935346148,-0.021083023276281754,0.015841299723425423,-4.999157662094087
2015-12-31,2016-02-26,SBAC,31019000,0.25,126005000,406941000,268477000,-1706144000,8452070000,8334031000,118039000,156040000,202436000,-13.540288083806198,-0.018180763171221186,0.004189936399253568,0.016658859311779215,-4.953901898081288
2016-03-31,2016-05-10,SBAC,53639000,0.43,125398000,399769000,261599000,-1630560000,8472270000,8369004000,103266000,108817000,144877000,-13.003078199014338,-0.03289606024923952,0.007276395875872465,0.019970639200682174,-5.195926552840742
2016-06-30,2016-08-09,SBAC,32711000,0.26,125125000,405532000,247263000,-1607577000,8482803000,8348847000,133956000,175182000,209783000,-12.847768231768232,-0.0203480144341453,0.004398814360109742,0.01661446130234713,-5.276763103726913
2016-09-30,2016-11-09,SBAC,-15370000,-0.12,124604000,411319000,269616000,-1669062000,9031268000,8866043000,165225000,125413000,159072000,-13.394931141857404,0.009208765162708157,-0.001941705380759961,0.010869266215304521,-5.410984133603185
2016-12-31,2017-03-01,SBAC,5256000,0.04,122682000,416505000,276171000,-1995921000,8775583000,8629474000,146109000,179632000,215294000,-16.26906147601115,-0.0026333707596643352,0.0007140387545349137,0.006728049732938944,-4.396758689346923
2017-03-31,2017-05-08,SBAC,37598000,0.31,121049000,423363000,273835000,-1916494000,8666174000,8533952000,132222000,136559000,172306000,-15.83238192797958,-0.019618115162374626,0.005152210703738978,0.01653420927013553,-4.521889450214819
2017-06-30,2017-08-04,SBAC,9233000,0.08,121455000,427294000,280805000,-1985681000,8678705000,8514184000,164521000,198205000,231893000,-16.349108723395496,-0.0046497901727417445,0.0012632625119153443,0.010284670980067216,-4.370644126624569
2017-09-30,2017-11-07,SBAC,49161000,0.41,119746000,433945000,280501000,-2257798000,8958801000,8819090000,139711000,150398000,187273000,-18.854892856546357,-0.021773869938763343,0.006733950005958521,0.01919828137602793,-3.9679373442619754
2017-12-31,2018-03-01,SBAC,7660000,0.07,117231000,443073000,291669000,-2599114000,9310686000,9241903000,68783000,186264000,228134000,-22.17087630404927,-0.0029471581469685437,0.001046418781987663,0.010509054628307913,-3.5822537987945124
2018-03-31,2018-05-07,SBAC,31545000,0.27,116494000,458302000,303222000,-2588241000,9383686000,9274336000,109350000,147481000,178577000,-22.217805208851956,-0.012187814040500865,0.00425991231427282,0.0152594579103158,-3.6255070528594517
2018-06-30,2018-08-06,SBAC,-57392000,-0.5,114782000,456322000,302325000,-3042135000,9699738000,9565087000,134651000,210488000,248006000,-26.50358941297416,0.01886569793911184,-0.007873374106816796,0.0021678334842237575,-3.188464022799777
2018-09-30,2018-11-08,SBAC,16144000,0.14,114597000,467221000,312179000,-3145083000,9734145000,9597924000,136221000,162735000,199087000,-27.44472368386607,-0.0051330918770665195,0.0022379257156711495,0.019519150120848,-3.0950359656644992
2018-12-31,2019-02-28,SBAC,57152000,0.5,113517000,483849000,323698000,-3376823000,9938553000,9795109000,143444000,181629000,226475000,-29.74728895231551,-0.01692478403517152,0.00792269494727191,0.02092418719246006,-2.943166698402611
2019-03-31,2019-05-09,SBAC,25989000,0.23,112708000,493293000,315771000,-3302781000,12234627000,12117014000,117613000,185963000,222337000,-29.303873726798454,-0.007868823273477715,0.0027906874858460314,0.01103815729220201,-3.704340978102999
2019-06-30,2019-08-06,SBAC,31973000,0.28,113205000,500147000,317305000,-3339346000,12159816000,12057980000,101836000,222342000,258753000,-29.498220043284306,-0.009574629283698066,0.0034493007379645855,0.01122789460344439,-3.6413764850961834
2019-09-30,2019-11-07,SBAC,21679000,0.19,113037000,507547000,336818000,-3560374000,12250211000,12121433000,128778000,200145000,238741000,-31.497421198368677,-0.0060889670579551474,0.002356121601480165,0.01571655987855669,-3.4407090378707403
2019-12-31,2020-02-24,SBAC,67350000,0.6,112288000,513659000,340625000,-3667007000,12860840000,12752531000,108309000,222206000,265061000,-32.6571583784554,-0.018366477075173294,0.006900656469132344,0.01612666842911387,-3.507176288455408
2020-03-31,2020-05-06,SBAC,-127058000,-1.14,111454385,517067000,-107743000,-4317230000,12958730000,12774593000,184137000,238451000,277742000,-38.735398342559606,0.029430444984399718,-0.01357529492487955,0.012827510844298624,-3.0016306752246233
2020-06-30,2020-08-06,SBAC,22813000,0.2,111738000,507226000,341923000,-4304992000,12923020000,12715533000,207487000,286988000,314676000,-38.527555531690204,-0.005299196839390178,0.0024293600186315184,0.01448737430809446,-3.0018685284432585
2020-09-30,2020-11-05,SBAC,22568000,0.2,111783000,522940000,348958000,-4486398000,13026803000,12754929000,271874000,262098000,290490000,-40.13488634228818,-0.005030316079848466,0.0024979296448950834,0.023072808673521798,-2.9036217919141367
2020-12-31,2021-02-25,SBAC,105781000,0.96,110707000,535905000,356303000,-4824382000,13426196000,13117636000,308560000,209930000,243125000,-43.577930934809906,-0.0219263317042473,0.011550643381570117,0.021764385211893778,-2.7829877484826038
2021-03-31,2021-05-06,SBAC,-11745000,-0.11,106772727,548739000,357460000,-5045177000,14311080000,14134458000,176622000,260981000,285517000,-47.25155141911848,0.002327965896934835,-0.0012029546902430082,0.0027385527855577725,-2.8365863080720457
2021-06-30,2021-08-05,SBAC,152669000,1.4,109412000,575528000,378708000,-4839742000,14239794000,13965991000,273803000,321945000,352784000,-44.234105948159254,-0.031544863341888885,0.015327731166681208,0.025293370527363454,-2.9422630379883885
2021-09-30,2021-11-05,SBAC,47798000,0.44,109577000,589305000,392145000,-4958305000,14098339000,13910533000,187806000,218016000,252992000,-45.249504914352464,-0.00963998785875415,0.004943896834966853,0.019930822063211655,-2.843378735273445
2021-12-31,2022-03-01,SBAC,48902000,0.45,108855000,595262000,381026000,-5283404000,14522544000,14155266000,367278000,255279000,298566000,-48.536162785356666,-0.009255775253983984,0.004989135046893401,0.01631207562369258,-2.7487097333461534
2022-03-31,2022-04-29,SBAC,188623000,1.75,108086000,619770000,399482000,-5425147000,14936570000,14673001000,263569000,286474000,324482000,-50.19287419277242,-0.03476827448177902,0.01859802210587551,0.02870855276686201,-2.7532101895119157
2022-06-30,2022-08-04,SBAC,69516000,0.64,107850000,652006000,422720000,-5438611000,14784181000,14601114000,183067000,319152000,372115000,-50.42754751970329,-0.01278194009463078,0.006943311768741653,0.028355868253253227,-2.71837441582051
2022-09-30,2022-11-03,SBAC,100009000,0.93,107916000,675584000,425039000,-5364830000,14632618000,14431407000,201211000,275092000,332469000,-49.71301753215464,-0.018641597217432797,0.010052151901685936,0.021561029037996855,-2.7275082341844943
2022-12-31,2023-03-01,SBAC,103279000,0.96,107978000,686094000,443327000,-5276315000,15171155000,15027447000,143708000,222539000,288634000,-48.86472244346071,-0.01957407774175727,0.009757071323578247,0.02125551161332443,-2.875331552418686
2023-03-31,2023-05-09,SBAC,101217000,0.94,108132000,675516000,441942000,-5269154000,15125303000,14972531000,152772000,262033000,311168000,-48.728905411903966,-0.019209345560976202,0.009601738040088872,0.01866850554112636,-2.8705372816964543
2023-06-30,2023-08-03,SBAC,203648000,1.88,108355000,678500000,448259000,-5092330000,14888824000,14709655000,179169000,423485000,486933000,-46.99672373217664,-0.03999112390595268,0.019203977190750694,0.03422460996891638,-2.9237743822572377
2023-09-30,2023-11-07,SBAC,87419000,0.81,108373000,682544000,458567000,-5166486000,14766687000,14576142000,190545000,252288000,313681000,-47.6731842802174,-0.0169203981197278,0.008459209297766316,0.019505570384351373,-2.8581683953077586
2023-12-31,2024-02-28,SBAC,109528000,1.01,107953000,675024000,463202000,-5170882000,14463465000,14254918000,208547000,332779000,432611000,-47.899382138523244,-0.0211816862191015,0.010760783503092468,0.005861707820354817,-2.797098251323469
2024-03-31,2024-05-06,SBAC,154543000,1.43,108102000,657862000,438762000,-5222820000,14432544000,14192235000,240309000,217177000,294453000,-48.31381473053227,-0.02958995332023696,0.015461619530685826,0.027764040707047064,-2.7633623215044745
2024-06-30,2024-08-02,SBAC,162830000,1.52,107462000,660477000,444580000,-5316741000,14297925000,14077417000,220508000,334003000,425593000,-49.475544843758726,-0.030625904101779643,0.016638773584539336,0.03114309319991061,-2.6892272916811257
2024-09-30,2024-11-01,SBAC,258534000,2.41,107486000,667595000,448729000,-5174852000,14521344000,14335005000,186339000,239895000,304651000,-48.14442811156802,-0.0499596896684195,0.025342338793194797,0.037574909180841665,-2.8061370644030013
2024-12-31,2025-02-26,SBAC,173629000,1.61,107529000,693700000,336039000,-5109938000,15756194000,15566353000,189841000,254675000,310169000,-47.52148722670164,-0.03397869015240498,0.015207487981434549,0.029723774785493283,-3.08344132551119
2025-03-31,2025-05-01,SBAC,220732000,2.05,107744000,664248000,437469000,-4970703000,14641132000,14004685000,636447000,255002000,301175000,-46.13438335313335,-0.0444065960086531,0.02113700606832363,0.034560186464533744,-2.945485175839313
2025-06-30,2025-08-07,SBAC,225694000,2.1,107637000,698981000,455863000,-4938895000,14805725000,14530450000,275275000,312233000,368098000,-45.884732944991036,-0.045697266291346544,0.02096283553619241,0.030742063782921013,-2.9977808801361436
