date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-11-05,SCHW,376000000,0.28,1316000000,1592000000,0,13196000000,2893000000,-7473000000,10366000000,1012000000,1091000000,10.027355623100304,0.02849348287359806,0.0022065468715155925,-0.006423480350270297,0.21923310093967868
2015-12-31,2016-02-24,SCHW,416000000,0.29,1319000000,1691000000,0,13402000000,2877000000,-9101000000,11978000000,830000000,892000000,10.160727824109173,0.03104014326219967,0.0022645001496965243,-0.008697454531035688,0.21466945232054918
2016-03-31,2016-05-06,SCHW,412000000,0.3,1321000000,1766000000,0,14513000000,3677000000,-6780000000,10457000000,-425000000,-369000000,10.986373959121877,0.02838834148694274,0.0021570906501638763,-0.0045550792035323985,0.25335905739681663
2016-06-30,2016-08-05,SCHW,452000000,0.31,1322000000,1826000000,0,14990000000,7876000000,-5100000000,12976000000,1753000000,1892000000,11.338880484114977,0.030153435623749166,0.0022822289095793024,-0.0036181327940680826,0.5254169446297532
2016-09-30,2016-11-07,SCHW,503000000,0.36,1324000000,1909000000,0,15470000000,5877000000,-4554000000,10431000000,-626000000,-549000000,11.68429003021148,0.032514544279250164,0.002402824154353984,-0.0034820516275880023,0.37989657401422106
2016-12-31,2017-02-23,SCHW,522000000,0.36,1329000000,1972000000,0,16421000000,2876000000,-7952000000,10828000000,1614000000,1688000000,12.355906696764485,0.031788563424882774,0.0023367937578060998,-0.004562900446746387,0.175141586992266
2017-03-31,2017-05-08,SCHW,564000000,0.39,1336000000,2081000000,0,16982000000,4118000000,-5357000000,9475000000,-1657000000,-1577000000,12.711077844311378,0.03321163584972324,0.002483914014295718,-0.0037408640416331843,0.24249205040631255
2017-06-30,2017-08-07,SCHW,575000000,0.4,1338000000,2130000000,0,17489000000,3818000000,-5757000000,9575000000,635000000,719000000,13.07100149476831,0.03287780890845674,0.0026065158362836073,-0.0035585727000930567,0.21830865115215278
2017-09-30,2017-11-07,SCHW,618000000,0.43,1339000000,2165000000,0,18027000000,8268000000,-3985000000,12253000000,3206000000,1319000000,13.463032113517551,0.03428191046763188,0.0026786410881004187,-0.003213488785344646,0.4586453652854052
2017-12-31,2018-02-22,SCHW,597000000,0.41,1343000000,2242000000,0,18525000000,19753000000,5536000000,14217000000,-698000000,-565000000,13.793745346239762,0.03222672064777328,0.0024540230357539237,-0.0017964570898912798,1.066288798920378
