date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-10-31,2015-12-04,SJM,176000000,1.47,119670000,2077700000,419900000,7233200000,5864500000,5725500000,139000000,211000000,275400000,60.44288459931478,0.024332245755682134,0.010542204758367875,0.01572766473649143,0.8107753138306697
2016-01-31,2016-03-03,SJM,185300000,1.55,119682000,1973900000,426200000,7325500000,5284300000,5143800000,140500000,498900000,542300000,61.20803462508982,0.02529520169271722,0.011381015262721493,0.017213994242580445,0.7213569039655996
2016-04-30,2016-06-21,SJM,191000000,1.61,118756000,1807600000,357100000,7008500000,5430000000,5320200000,109800000,294900000,335500000,59.01596550911112,0.02725262181636584,0.01194937469109928,0.018477265732181832,0.7747734893343797
2016-07-31,2016-08-30,SJM,170000000,1.46,116334000,1815800000,400600000,7095900000,5351700000,5242100000,109600000,188700000,238900000,60.995925524782095,0.023957496582533575,0.010584118840976727,0.016035123807544995,0.7541960850632056
2016-10-31,2016-11-22,SJM,177300000,1.52,116430000,1913900000,411300000,7180100000,5351400000,5229600000,121800000,102600000,136400000,61.6688138795843,0.024693249397640702,0.011041088042246329,0.016493522084897228,0.7453099539003635
2017-01-31,2017-02-24,SJM,134600000,1.16,116435000,1878800000,342200000,7241900000,5087000000,4947400000,139600000,366900000,419500000,62.19693391162451,0.018586282605393613,0.0085126836456548,0.013294554715157858,0.7024399674118671
2017-04-30,2017-06-19,SJM,110400000,0.96,114817000,1783800000,306400000,6850200000,5398500000,5231700000,166800000,208400000,264200000,59.66189675744881,0.01611631777174389,0.007058958931437304,0.011412167546366342,0.7880791801699221
2017-07-31,2017-08-31,SJM,126800000,1.12,113500000,1748900000,337000000,6931900000,5228000000,5044800000,183200000,234700000,304300000,61.074008810572685,0.0182922431079502,0.008106587561374796,0.01293993986471881,0.7541943767221109
2017-10-31,2017-11-22,SJM,194600000,1.71,113600000,1923600000,435600000,7036300000,5257600000,5077300000,180300000,69900000,130300000,61.93926056338028,0.02765658087347043,0.012393325690994777,0.01835481091995547,0.7472108920881714
2018-01-31,2018-02-23,SJM,831300000,7.32,113600000,1903300000,262800000,7804200000,4942500000,4756300000,186200000,388700000,469000000,68.69894366197182,0.1065195663873299,0.05422983586879942,0.09077432811399722,0.633312831552241
2018-04-30,2018-06-18,SJM,185900000,1.64,113600000,1781300000,412800000,7891100000,4832000000,4639400000,192600000,202800000,314400000,69.46390845070422,0.023558185804260497,0.012149373905314616,0.017497484789649215,0.612335415848234
2018-07-31,2018-08-27,SJM,133000000,1.17,113700000,1902500000,338600000,7930800000,6714900000,6522900000,192000000,141700000,243000000,69.75197889182058,0.016770061027891258,0.007594358476560269,0.012051110175115749,0.8466863368134362
2018-10-31,2018-11-28,SJM,188500000,1.66,113200000,2021500000,434200000,8030000000,6275100000,6103900000,171200000,125100000,202900000,70.93639575971731,0.023474470734744707,0.01097576597454321,0.01599021382263464,0.7814570361145704
2019-01-31,2019-02-26,SJM,121400000,1.07,113800000,2011900000,319700000,8021600000,6089100000,5882600000,206500000,333000000,421100000,70.48857644991213,0.015134137827864765,0.007171719558590704,0.011597132877967238,0.7590879625012467
2019-04-30,2019-06-17,SJM,71500000,0.63,113700000,1902100000,263300000,7970500000,5910800000,5809500000,101300000,181600000,274200000,70.10114335971856,0.008970579010099743,0.004278542064351666,0.0076888181161701265,0.7415845931873785
2019-07-31,2019-08-27,SJM,154600000,1.36,113200000,1778900000,365700000,8007700000,5936300000,5887500000,48800000,148500000,221500000,70.73939929328623,0.019306417573085904,0.009206984444603253,0.013785222787218316,0.7413239756734143
2019-10-31,2019-11-22,SJM,211200000,1.85,114100000,1957800000,439600000,8095300000,5872500000,5823700000,48800000,160600000,224000000,70.94916739702016,0.02608921225896508,0.012578166875111667,0.01784286621817086,0.7254209232517633
2020-01-31,2020-02-27,SJM,187400000,1.64,114000000,1972300000,399700000,8170400000,5568300000,5493900000,74400000,465100000,521600000,71.67017543859649,0.022936453539606383,0.011264591673579303,0.01626519734508714,0.6815211005581122
2020-04-30,2020-06-19,SJM,226300000,1.98,114000000,2092000000,457400000,8190900000,5777800000,5386700000,391100000,211300000,287700000,71.85,0.02762822156295401,0.013334983264979023,0.019214149594443206,0.7053925698030742
2020-07-31,2020-08-25,SJM,237000000,2.08,114100000,1971800000,473400000,8345200000,5517000000,5120400000,396600000,332400000,409000000,73.13935144609991,0.028399559027944207,0.014021760352141425,0.020187708278267345,0.6610985955998658
2020-10-31,2020-11-24,SJM,230800000,2.02,114200000,2034000000,462200000,8515000000,5293000000,4887400000,405600000,326300000,378700000,74.56217162872154,0.027105108631826188,0.013632846417833747,0.019779800927734698,0.6216089254257193
2021-01-31,2021-02-25,SJM,261500000,2.32,112100000,2076700000,515500000,8211600000,4996100000,4494600000,501500000,416600000,486300000,73.25245316681534,0.031845194602757074,0.0159165885546642,0.023056996189203153,0.6084197963856008
2021-04-30,2021-06-17,SJM,147000000,1.35,108900000,1920200000,350400000,8124800000,4905600000,4571300000,334300000,183000000,291000000,74.6078971533517,0.018092753052382827,0.009027155156532098,0.014118050427378473,0.6037810161480898
2021-07-31,2021-08-26,SJM,153900000,1.42,108300000,1858000000,362200000,8170300000,4780200000,4611400000,168800000,69800000,137800000,75.44136657433056,0.018836517630931544,0.009493143840559597,0.014569658183183771,0.5850703156554838
2021-10-31,2021-11-23,SJM,206000000,1.9,108100000,2050000000,425000000,8286400000,4763800000,4608500000,155300000,105900000,165100000,76.65494912118409,0.02486001158524812,0.012684104231318655,0.01837041563866704,0.5748938018922571
