date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-11-05,SO,970000000,1.06,908938919,5401000000,2304000000,21391000000,27129000000,26020000000,1109000000,1010000000,2981000000,23.53403463406984,0.04534617362442148,0.012896363757229277,0.023493500245429427,1.2682436538731243
2015-12-31,2016-02-26,SO,297000000,0.3,911600000,3568000000,1251000000,21319000000,28738000000,27334000000,1404000000,-1589000000,1186000000,23.38635366388767,0.013931235048548244,0.0037922316708802572,0.009458226303359492,1.3479994371218162
2016-03-31,2016-05-05,SO,500000000,0.53,918258425,3992000000,1603000000,21524000000,29678000000,28924000000,754000000,-1121000000,865000000,23.440024522508466,0.023229882921390076,0.006350415952244872,0.013333567447370723,1.3788329306820293
2016-06-30,2016-08-08,SO,635000000,0.68,941598673,4459000000,1868000000,22742000000,39464000000,37567000000,1897000000,-250000000,1250000000,24.152540410387772,0.02792190660452027,0.006987774146336096,0.014189899258174293,1.7352915310878552
2016-09-30,2016-11-04,SO,1150000000,1.17,979999480,6264000000,2793000000,25274000000,45474000000,42805000000,2669000000,381000000,2147000000,25.789809602756115,0.04550130568964153,0.010812132152460465,0.021289968308512864,1.7992403260267469
2016-12-31,2017-02-22,SO,233000000,0.2,990200000,5181000000,1457000000,25485000000,47457000000,45482000000,1975000000,-1426000000,632000000,25.737224803070088,0.00914263292132627,0.002124032562421944,0.008719357037477433,1.8621542083578575
2017-03-31,2017-05-03,SO,669000000,0.66,993000000,5771000000,2219000000,25821000000,48873000000,47779000000,1094000000,-591000000,897000000,26.003021148036254,0.02590914372022772,0.006095116618075802,0.012870729813664598,1.8927617055884745
2017-06-30,2017-08-02,SO,-1370000000,-1.38,998000000,5430000000,-651000000,23952000000,50190000000,48757000000,1433000000,-65000000,1845000000,24.0,-0.05719772879091516,-0.01260535129365868,-0.014477221381200191,2.095440881763527
2017-09-30,2017-11-01,SO,1079000000,1.07,1003000000,6201000000,2987000000,24905000000,50126000000,48285000000,1841000000,667000000,2511000000,24.83050847457627,0.043324633607709294,0.009781081448579068,0.01878212761241855,2.012688215217828
2017-12-31,2018-02-21,SO,501000000,0.49,1007603100,5628000000,1663000000,24491000000,50793000000,48663000000,2130000000,-1039000000,1142000000,24.306197549412065,0.0204564942223674,0.004513310211251746,0.01621093941176689,2.073945531011392
2018-03-31,2018-05-02,SO,942000000,0.93,1011624620,6372000000,2380000000,25000000000,51952000000,49668000000,2284000000,-272000000,1509000000,24.712723974630038,0.03768,0.00844335690661217,0.018008564432383058,2.07808
2018-06-30,2018-08-08,SO,-150000000,-0.15,1014000000,5627000000,1081000000,23960000000,49701000000,47721000000,1980000000,-298000000,1749000000,23.629191321499015,-0.006260434056761269,-0.0013300584339005293,0.0013587770293467096,2.0743322203672787
2018-09-30,2018-11-07,SO,1168000000,1.14,1023000000,6159000000,3200000000,25201000000,47002000000,45155000000,1847000000,361000000,2326000000,24.634408602150536,0.04634736716796953,0.010454988945281381,0.021680417099810317,1.8650847188603628
2018-12-31,2019-02-20,SO,282000000,0.27,1033788000,5337000000,1478000000,25014000000,46849000000,45453000000,1396000000,-847000000,1361000000,24.19645033604569,0.01127368673542816,0.002412029354910447,0.01832347056068798,1.8729111697449428
2019-03-31,2019-05-01,SO,2088000000,2.01,1038000000,5412000000,4700000000,26728000000,45969000000,44608000000,1361000000,-934000000,744000000,25.7495183044316,0.07812032325651003,0.018300378628523347,0.03249349325781493,1.7198817719245736
