date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-11-04,SPGI,252000000,0.93,271300000,1324000000,448000000,704000000,3489000000,2048000000,1441000000,509000000,541000000,2.5949133800221156,0.35795454545454547,0.030871003307607496,0.11016868115055078,4.955965909090909
2015-12-31,2016-02-12,SPGI,248000000,0.92,268500000,1374000000,477000000,243000000,3611000000,2130000000,1481000000,486000000,551000000,0.9050279329608939,1.0205761316872428,0.030306733471831847,0.12842393594605983,14.860082304526749
2016-03-31,2016-04-26,SPGI,294000000,1.11,265000000,1341000000,554000000,222000000,3941000000,2341000000,1600000000,117000000,133000000,0.8377358490566038,1.3243243243243243,0.035588911754024934,0.13670420653762475,17.75225225225225
2016-06-30,2016-07-28,SPGI,383000000,1.45,264500000,1482000000,696000000,425000000,3779000000,2212000000,1567000000,418000000,438000000,1.606805293005671,0.9011764705882352,0.04619466891810397,0.1670131941992599,8.891764705882354
2016-09-30,2016-11-03,SPGI,892000000,3.39,262900000,1439000000,1395000000,462000000,3963000000,1564000000,2399000000,569000000,600000000,1.7573221757322175,1.9307359307359306,0.10281235592438911,0.46915084799063667,8.577922077922079
2016-12-31,2017-02-09,SPGI,537000000,2.07,258900000,1399000000,904000000,701000000,3564000000,1172000000,2392000000,245000000,293000000,2.7076091154886055,0.7660485021398002,0.06194486099896182,0.3260866798277845,5.08416547788873
2017-03-31,2017-04-26,SPGI,399000000,1.54,258200000,1453000000,691000000,844000000,3565000000,1154000000,2411000000,330000000,353000000,3.268783888458559,0.4727488151658768,0.046105847007164316,0.2282478878223559,4.2239336492890995
2017-06-30,2017-07-27,SPGI,421000000,1.63,257300000,1509000000,722000000,1019000000,3566000000,1182000000,2384000000,288000000,321000000,3.9603575592693354,0.41315014720314036,0.04788988738482539,0.21963667083144028,3.4995093228655545
2017-09-30,2017-10-26,SPGI,414000000,1.62,255500000,1513000000,704000000,839000000,3568000000,1256000000,2312000000,508000000,529000000,3.283757338551859,0.4934445768772348,0.04750975441817765,0.22860656651255384,4.252681764004768
2017-12-31,2018-02-09,SPGI,263000000,1.03,254400000,1589000000,674000000,768000000,3569000000,792000000,2777000000,767000000,813000000,3.018867924528302,0.3424479166666667,0.02790450928381963,0.20435766836445954,4.647135416666667
2018-03-31,2018-04-26,SPGI,491000000,1.94,252400000,1567000000,760000000,68000000,3570000000,1814000000,1756000000,327000000,360000000,0.2694136291600634,7.220588235294118,0.05778510062374956,0.29790690379996915,52.5
2018-06-30,2018-07-26,SPGI,461000000,1.83,251100000,1609000000,735000000,583000000,3660000000,1775000000,1885000000,516000000,543000000,2.321784149741139,0.79073756432247,0.05001627427579473,0.22087637150901818,6.2778730703259
2018-09-30,2018-10-26,SPGI,495000000,1.97,251300000,1546000000,764000000,958000000,3661000000,1503000000,2158000000,470000000,498000000,3.812176681257461,0.5167014613778705,0.05275498241500586,0.22968426501035197,3.8215031315240084
