date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-10-02,2015-11-24,SWKS,229200000,1.21,189600000,880800000,352300000,3159200000,0,-1043600000,1043600000,81900000,232700000,16.662447257383967,0.07255001266143328,0.06162284239393451,0.10903300379202935,0.0
2016-01-01,2016-02-03,SWKS,355300000,1.87,190400000,926800000,390400000,3482600000,0,-1233200000,1233200000,265800000,345300000,18.290966386554622,0.1020214782059381,0.09039562396641648,0.12482913239375126,0.0
2016-04-01,2016-05-04,SWKS,208100000,1.09,190200000,775100000,320100000,3543300000,0,-1177500000,1177500000,117100000,154500000,18.629337539432175,0.05873056190556825,0.05257440250618968,0.08896174643908944,0.0
2016-07-01,2016-08-03,SWKS,185000000,0.98,188700000,751700000,308100000,3514300000,0,-973700000,973700000,83700000,140900000,18.62374138844727,0.05264206243064053,0.046767955102763104,0.07506794150714663,0.0
2016-09-30,2016-11-22,SWKS,246800000,1.33,185700000,835400000,352300000,3541400000,0,-1083800000,1083800000,433800000,455000000,19.070543887991384,0.06968995312588241,0.06401411007936919,0.10042317708333333,0.0
2016-12-30,2017-02-07,SWKS,257800000,1.39,184800000,914300000,384900000,3660300000,0,-1350500000,1350500000,445800000,495900000,19.806818181818183,0.07043138540556786,0.06340851513884448,0.11161139492596761,0.0
2017-03-31,2017-05-03,SWKS,224900000,1.22,184800000,851700000,344300000,3791800000,0,-1406900000,1406900000,181000000,235900000,20.51839826839827,0.05931220001054908,0.05397427282326966,0.09430164786783513,0.0
2017-06-30,2017-07-27,SWKS,246200000,1.34,184200000,900800000,369500000,3897800000,0,-1444000000,1444000000,201100000,314100000,21.160694896851247,0.06316383601005696,0.05712031924272656,0.10033417556443068,0.0
2017-09-29,2018-01-26,SWKS,281300000,1.53,183400000,984600000,413100000,4065700000,0,-1616800000,1616800000,328000000,425400000,22.168484187568158,0.06918857761271122,0.061505160048976736,0.11486789987341255,0.0
2017-12-29,2018-02-05,SWKS,70400000,0.38,183100000,1051900000,453200000,3900500000,0,-1681500000,1681500000,326600000,360800000,21.302566903331513,0.018048968081015256,0.015323335437389809,0.03172600270392068,0.0
2018-03-30,2018-05-04,SWKS,276000000,1.51,182500000,913400000,363900000,4070200000,0,-1881300000,1881300000,343900000,434200000,22.302465753424656,0.06780993562969878,0.05816526522096478,0.12609073050390607,0.0
2018-06-29,2018-07-20,SWKS,286500000,1.58,181200000,894300000,385500000,4082900000,0,-1158100000,1158100000,63900000,258000000,22.532560706401767,0.07017071199392588,0.059895887776221436,0.09795541575492342,0.0
2018-09-28,2019-01-25,SWKS,285500000,1.6,178600000,1008400000,427200000,4097000000,0,-733300000,733300000,95300000,207600000,22.93952967525196,0.06968513546497437,0.05912319575886848,0.08487677260159943,0.0
2018-12-28,2019-02-06,SWKS,284900000,1.61,176600000,972000000,416800000,4038300000,0,-1085700000,1085700000,419500000,549000000,22.866930917327295,0.07054948864621252,0.06011943700014771,0.09649122807017543,0.0
2019-03-29,2019-05-03,SWKS,214000000,1.23,173800000,810400000,333300000,4080900000,0,-816300000,816300000,82500000,192100000,23.480437284234753,0.05243941287461099,0.044906095897597316,0.06555167554983765,0.0
2019-06-28,2019-08-07,SWKS,144100000,0.83,172600000,767000000,255600000,4099900000,0,-742800000,742800000,121500000,209300000,23.753765932792582,0.035147198712163714,0.02975858579600603,0.042923952220666646,0.0
2019-09-27,2020-01-27,SWKS,210600000,1.23,171200000,827400000,326900000,4122300000,0,-851300000,851300000,319400000,417000000,24.078855140186917,0.0510879848628193,0.04351599305727746,0.06438398043411801,0.0
2019-12-27,2020-01-24,SWKS,257100000,1.51,170200000,896100000,369900000,4267300000,150900000,-777300000,928200000,287200000,398400000,25.072267920094006,0.06024886930846202,0.05049294944813229,0.0736676217765043,0.03536193846225951
2020-03-27,2020-05-05,SWKS,181100000,1.07,170000000,766100000,294800000,4142800000,151900000,-760500000,912400000,219500000,280400000,24.369411764705884,0.04371439606063532,0.03635159276581224,0.053543446766992873,0.0366660229796273
2020-06-26,2020-07-24,SWKS,129700000,0.78,167000000,736800000,234600000,4182400000,155800000,-635500000,791300000,179700000,258700000,25.04431137724551,0.031010902830910483,0.025569750019714534,0.036567143139079196,0.0372513389441469
2020-10-02,2021-01-29,SWKS,246900000,1.48,166600000,956800000,356900000,4164200000,178900000,-387800000,566700000,119600000,267000000,24.99519807923169,0.05929110033139619,0.04834824837957977,0.065379726723864,0.04296143316843572
2021-01-01,2021-01-29,SWKS,509300000,3.08,165400000,1510000000,657300000,4414900000,154900000,-462300000,617200000,361900000,485100000,26.692261185006046,0.11535935128768489,0.09397025720506291,0.12885189495521934,0.035085732406170016
2021-04-02,2021-04-30,SWKS,325000000,1.97,165000000,1171800000,464800000,4712300000,179600000,-880300000,1059900000,473300000,615700000,28.55939393939394,0.06896844428410755,0.056675502232142856,0.08481210855949896,0.038113023364386815
2021-07-02,2021-07-30,SWKS,337800000,2.05,165100000,1116400000,429800000,5002800000,1661300000,-1183700000,2845000000,156400000,272900000,30.301635372501515,0.06752218757495802,0.045123026368518074,0.08913418700404559,0.3320740385384185
2021-10-01,2021-11-24,SWKS,326300000,1.97,165200000,1310900000,496900000,5297100000,2413100000,1530200000,882900000,128500000,398300000,32.06476997578692,0.06159974325574371,0.03798293503439766,0.04942583034830781,0.4555511506295898
2021-12-31,2022-02-04,SWKS,399900000,2.42,165100000,1510400000,628600000,5334200000,2383300000,1506900000,876400000,480100000,581700000,32.30890369473047,0.07496906752652693,0.046400185647154375,0.059929968378299024,0.44679614562633574
2022-04-01,2022-05-04,SWKS,305800000,1.87,163700000,1335600000,529900000,5188600000,2405400000,1749000000,656400000,258000000,392900000,31.69578497251069,0.058936900127201944,0.035927440199257483,0.04549772479421348,0.46359326215164015
2022-07-01,2022-08-05,SWKS,267300000,1.66,160900000,1232600000,488300000,5294600000,2402200000,1759200000,643000000,86500000,213900000,32.906152889993784,0.05048540021909115,0.030743219929611484,0.039257752187221565,0.4537075510897896
2022-09-30,2023-01-27,SWKS,302200000,1.88,160400000,1407000000,567900000,5469000000,2414500000,1848500000,566000000,90500000,236300000,34.096009975062344,0.055256902541598096,0.0340553088868354,0.042884945091439614,0.4414883891022125
2022-12-30,2023-02-07,SWKS,309400000,1.94,159800000,1329300000,539000000,5549900000,2421300000,1601400000,819900000,702100000,773400000,34.730287859824784,0.0557487522297699,0.03457987795337193,0.04534976583825623,0.43627813113749797
2023-03-31,2023-05-09,SWKS,232800000,1.46,159100000,1153100000,429100000,5732900000,2219000000,1386400000,832600000,359100000,411700000,36.03331238214959,0.04060772035095676,0.026329778210072725,0.03507870110358373,0.38706413856861277
2023-06-30,2023-08-08,SWKS,195800000,1.23,159200000,1071200000,387000000,5877900000,1712300000,990700000,721600000,270700000,305700000,36.9214824120603,0.033311216590959355,0.02313299701090488,0.030585807139913032,0.29131152282277684
2023-09-29,2024-01-26,SWKS,244800000,1.54,159400000,1218800000,401800000,6082700000,1509300000,790500000,718800000,288500000,365700000,38.159974905897116,0.04024528581057754,0.029050517996368687,0.03741044756750256,0.24812994229536225
2023-12-29,2024-01-31,SWKS,231300000,1.45,159900000,1201500000,374500000,6227200000,1211600000,181900000,1029700000,745100000,774900000,38.944340212632895,0.037143499486125386,0.02810756947904388,0.03752313293957085,0.19456577595066804
2024-03-29,2024-05-01,SWKS,183300000,1.14,160400000,1046000000,310800000,6359200000,1209800000,4400000,1205400000,265100000,300300000,39.64588528678304,0.028824380425210717,0.02205855807068847,0.02986464521632414,0.19024405585608253
2024-06-28,2024-07-31,SWKS,120900000,0.75,160400000,905500000,252300000,6336400000,1200800000,-62600000,1263400000,244000000,273400000,39.50374064837905,0.01908023483365949,0.014678743140206887,0.02022403634486114,0.18950823811628054
2024-09-27,2024-11-15,SWKS,60500000,-3.34,160100000,1024900000,180800000,6336700000,1200400000,-168200000,1368600000,387400000,476100000,39.579637726420984,0.009547556299019995,0.007303852329385631,0.010966704456246442,0.18943614184039012
2024-12-27,2025-02-05,SWKS,162000000,1.01,160400000,1068500000,313200000,6400700000,1193000000,-409500000,1602500000,338200000,377200000,39.90461346633416,0.025309731748090054,0.01944521131663286,0.028005360242641587,0.18638586404611995
2025-03-28,2025-05-07,SWKS,68700000,0.43,158500000,953200000,223400000,5940300000,1209600000,-178200000,1387800000,363300000,409400000,37.4782334384858,0.01156507247108732,0.008711972304297653,0.012714480723173842,0.2036260794909348
2025-06-27,2025-08-05,SWKS,105000000,0.7,150000000,965000000,234500000,5652500000,1207800000,21900000,1185900000,246000000,314200000,37.68333333333333,0.018575851393188854,0.01361055660695305,0.019594582687156352,0.21367536488279523
