date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-10-30,SYF,574000000,0.69,833800000,2464000000,0,12158000000,23881000000,11610000000,12271000000,1317000000,1317000000,14.581434396737826,0.047211712452706035,0.007225397145086982,-0.0012088198248648798,1.9642210889949006
2015-12-31,2016-02-25,SYF,547000000,0.66,833800000,2561000000,0,12604000000,24279000000,11954000000,12325000000,1889000000,1889000000,15.116334852482609,0.04339892097746747,0.006512680080962019,-0.001206069858883869,1.9262932402411932
2016-03-31,2016-04-28,SYF,582000000,0.7,833800000,2631000000,0,13204000000,20476000000,7976000000,12500000000,1500000000,1500000000,15.835931878148237,0.044077552256891854,0.007127461545997845,-0.0015989791931229854,1.5507421993335353
2016-06-30,2016-07-28,SYF,489000000,0.59,833900000,2631000000,0,13715000000,19295000000,7508000000,11787000000,1472000000,1472000000,16.446816165007796,0.03565439300036456,0.005935618566711983,-0.001613769365186547,1.4068538096974117
2016-09-30,2016-10-27,SYF,604000000,0.73,828400000,2808000000,1019000000,13981000000,20167000000,6579000000,13588000000,1815000000,1815000000,16.877112506035733,0.04320148773335241,0.006929863812113494,0.02937743190661478,1.442457621057149
2016-12-31,2017-02-23,SYF,576000000,0.7,820500000,2902000000,963000000,14196000000,20147000000,10826000000,9321000000,2036000000,2036000000,17.30164533820841,0.04057480980557904,0.006385313778309887,0.02301974262648869,1.4192025922795153
2017-03-31,2017-05-01,SYF,499000000,0.61,813100000,2996000000,841000000,14363000000,20194000000,8802000000,11392000000,1750000000,1750000000,17.664493912187922,0.034742045533662884,0.005603593486805165,0.021541118066047915,1.4059736823783333
2017-06-30,2017-07-28,SYF,496000000,0.62,804000000,3025000000,847000000,14332000000,20709000000,8689000000,12020000000,1768000000,1768000000,17.82587064676617,0.034607870499581354,0.005442176870748299,0.02154554537161722,1.4449483672899806
2017-09-30,2017-10-26,SYF,555000000,0.7,787300000,3147000000,948000000,14402000000,19899000000,5984000000,13915000000,2928000000,2928000000,18.292899784072144,0.03853631440077767,0.005996888101309591,0.027224565878544098,1.3816830995695042
2017-12-31,2018-02-22,SYF,385000000,0.49,778700000,3199000000,942000000,14234000000,20799000000,9197000000,11602000000,2470000000,2470000000,18.27918325414152,0.02704791344667697,0.0040184535738142955,0.016431223592676368,1.4612196150063228
2018-03-31,2018-04-26,SYF,640000000,0.84,763700000,3197000000,918000000,14356000000,21015000000,7971000000,13044000000,1915000000,1915000000,18.797957313081053,0.04458066313736417,0.006697432999508157,0.028664845254624444,1.4638478684870437
