date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-11-13,TDG,141673000,2.5,56610000,809792000,245076000,-1038306000,8349602000,7635569000,714033000,132939000,147511000,-18.341388447270802,-0.13644628847372547,0.016811695670489672,0.033644415810774576,-8.041561928757034
2016-01-02,2016-02-10,TDG,126441000,2.02,56805000,701695000,276041000,-964270000,8342421000,7537130000,805291000,153958000,164130000,-16.975090220931257,-0.13112613687037863,0.015179031685317776,0.02941342550106037,-8.651540543623675
2016-04-02,2016-05-11,TDG,141683000,2.47,56134000,796801000,312075000,-961818000,8335293000,7723278000,612015000,92888000,105030000,-17.13432144511348,-0.1473074947651219,0.016948793668118353,0.03186623319925925,-8.666185286613477
2016-07-02,2016-08-10,TDG,160622000,2.52,55832000,797692000,344552000,-808248000,10205697000,8539002000,1666695000,167583000,175276000,-14.47642928786359,-0.19872860805099424,0.015195352259204393,0.02950208151573029,-12.626937524126259
2016-09-30,2016-11-15,TDG,154668000,2.77,55832000,875223000,385570000,-651490000,10195607000,8608613000,1586994000,210519000,224494000,-11.668756268806419,-0.23740656034628313,0.014419541841032075,0.032443634408433425,-15.649675359560392
2016-12-31,2017-02-08,TDG,22900000,0.41,56524000,814018000,351957000,-1874625000,10819944000,9847584000,972360000,203984000,225791000,-33.16511570306419,-0.01221577648863106,0.0022815305024687354,0.033689320536465575,-5.771791158231646
2017-04-01,2017-05-10,TDG,155505000,2.78,55894000,873232000,401241000,-2038764000,11103255000,10117866000,985389000,148080000,164709000,-36.47554299209217,-0.07627415434057105,0.015264553694997716,0.03279645997308157,-5.446071737582182
2017-06-30,2017-08-08,TDG,169053000,3.0798,54890000,897655000,424440000,-1895445000,11092268000,10121712000,970556000,147481000,164716000,-34.53169976316269,-0.08918908224717678,0.016386763800987084,0.03399309157671613,-5.852065346132439
2017-09-30,2017-11-13,TDG,90172000,1.65,54796000,923885000,439354000,-2951204000,11762661000,11112100000,650561000,218175000,233517000,-53.85801883349149,-0.030554309359840933,0.009039200510121585,0.03719714680899586,-3.9857159993006244
2017-12-30,2018-02-07,TDG,258627000,4.65,55600000,847960000,383507000,-2599713000,11747244000,10889382000,857862000,277521000,292811000,-46.75742805755396,-0.09948290445906914,0.025575924827684622,0.0695774039967554,-4.518669560832292
2018-03-31,2018-05-04,TDG,201446000,3.6228,55605000,933070000,439890000,-2309337000,11734770000,10723763000,1011007000,145279000,160873000,-41.53110331804694,-0.0872310970637893,0.019379726758224424,0.039698769034385906,-5.081445453825059
2018-06-30,2018-08-08,TDG,217391000,3.9101,55597000,980662000,471022000,-2098480000,12891759000,11038386000,1853373000,218013000,237226000,-37.74448261596849,-0.10359450649994281,0.01841597895442551,0.040043649958183054,-6.143379493728794
2018-09-30,2018-11-09,TDG,230294000,4.1424,55595000,1049434000,489893000,-1808471000,12877282000,10804265000,2073017000,308019000,331263000,-32.529382138681534,-0.1273418263273229,0.01888047739747933,0.04137799853759783,-7.120535524208019
2018-12-29,2019-02-06,TDG,171733000,3.0522,56300000,993302000,456484000,-1666893000,12883125000,10545809000,2337316000,306083000,329888000,-29.60733570159858,-0.10302580909512488,0.013861421141732392,0.037235393455529744,-7.728825425507216
2019-03-30,2019-05-08,TDG,202000000,3.5879,56300000,1168000000,506450000,-1491778000,17257150000,14815814000,2441336000,103510000,123109000,-26.49694493783304,-0.13540888791763922,0.011350128076643257,0.02669306174115363,-11.568175693702415
2019-06-29,2019-08-07,TDG,145000000,2.5755,56300000,1521000000,486000000,-1321244000,16876699000,14159887000,2716812000,278342000,315359000,-23.467921847246892,-0.1097450584449201,0.008190888139695653,0.023045181056831034,-12.773340124912583
2019-09-30,2019-11-19,TDG,260158000,4.6238,56265000,1540927000,706282000,-2894905000,16899000000,15432000000,1467486000,225946000,247116000,-51.45125744245979,-0.08986754314908434,0.016005063387391646,0.04261524487879857,-5.8374972581138245
2019-12-28,2020-02-04,TDG,57000000,0.993,57400000,1466000000,631000000,-4303000000,18382000000,14188000000,4194000000,406000000,433000000,-74.96515679442508,-0.013246572158958867,0.0031394580304031725,0.04540543899900045,-4.27190332326284
2020-03-28,2020-05-05,TDG,322000000,5.6098,57400000,1442000000,663000000,-4209000000,18562000000,15894000000,2668000000,138000000,161000000,-73.32752613240419,-0.07650273224043716,0.019356777877968138,0.048476514438734894,-4.410073651698741
2020-06-27,2020-08-04,TDG,-6000000,-0.1047,57300000,1019000000,366000000,-4183000000,20039000000,15490000000,4549000000,385000000,397000000,-73.00174520069808,0.0014343772412144394,-0.00033005115792947905,-0.003849775516468193,-4.790580922782691
2020-09-30,2020-11-12,TDG,101000000,1.7626,57300000,1180000000,416000000,-3972000000,20031000000,15314000000,4717000000,179000000,222000000,-69.31937172774869,-0.02542799597180262,0.005490622451753194,0.040423809037670885,-5.043051359516617
2021-01-02,2021-02-09,TDG,-23000000,-0.4205,54700000,1108000000,378000000,-3728000000,20020000000,15113000000,4907000000,243000000,274000000,-68.15356489945155,0.006169527896995708,-0.0012394244759389988,0.026516187303718068,-5.370171673819742
2021-04-03,2021-05-11,TDG,104000000,1.7808,58400000,1194000000,487000000,-3528000000,20028000000,15956000000,4072000000,69000000,98000000,-60.41095890410959,-0.02947845804988662,0.005549922621271145,0.027425664133098958,-5.6768707482993195
2021-07-03,2021-08-10,TDG,317000000,5.4281,58400000,1218000000,585000000,-3138000000,20010000000,15481000000,4529000000,232000000,252000000,-53.73287671232877,-0.10101975780752072,0.016606422547016605,0.05473335254733884,-6.376673040152964
2021-09-30,2021-11-16,TDG,209000000,3.5788,58400000,1279000000,614000000,-2916000000,20018000000,15231000000,4787000000,264000000,289000000,-49.93150684931507,-0.07167352537722908,0.01082060574682889,0.032464021525546734,-6.864883401920439
2022-01-01,2022-02-08,TDG,117000000,1.9764,59200000,1194000000,522000000,-2633000000,19814000000,15001000000,4813000000,254000000,279000000,-44.476351351351354,-0.044436004557538926,0.00608044901777362,0.031206640570015216,-7.525256361564755
2022-04-02,2022-05-10,TDG,199000000,3.3786,58900000,1325400000,588000000,-2899000000,19897000000,15681000000,4216000000,55000000,87000000,-49.21901528013582,-0.06864436012418075,0.01056207207685367,0.03149681643657547,-6.863401172818214
2022-07-02,2022-08-09,TDG,238000000,4.1034,58000000,1398000000,641000000,-2976000000,19884000000,16076000000,3808000000,280000000,309000000,-51.310344827586206,-0.07997311827956989,0.012646793134598013,0.033974114308083773,-6.681451612903226
2022-09-30,2022-11-10,TDG,226000000,3.9789,56800000,1513000000,703000000,-3773000000,19813000000,16812000000,3001000000,240000000,273000000,-66.42605633802818,-0.05989928438908031,0.012481360799690727,0.03595418589111543,-5.251258945136496
2022-12-31,2023-02-07,TDG,190000000,3.3275,57100000,1397000000,654000000,-3336000000,19851000000,16563000000,3288000000,346000000,377000000,-58.423817863397545,-0.05695443645083933,0.010276380550597652,0.033993439875699735,-5.950539568345324
2023-04-01,2023-05-09,TDG,304000000,5.324,57100000,1593300000,764000000,-2901000000,20861000000,17443000000,3418000000,95000000,130000000,-50.80560420315236,-0.10479145122371596,0.015193922431027589,0.03670216764642811,-7.190968631506377
2023-07-01,2023-08-08,TDG,351000000,6.1364,57200000,1744000000,861000000,-2394000000,19765000000,16694000000,3071000000,370000000,406000000,-41.85314685314685,-0.14661654135338345,0.017949373561748912,0.04156798425455142,-8.256056808688388
2023-09-30,2023-11-09,TDG,414000000,7.2251,57300000,1852000000,925000000,-1984000000,19766000000,16294000000,3472000000,425000000,462000000,-34.62478184991274,-0.2086693548387097,0.020731096644967452,0.04510888865977019,-9.962701612903226
2023-12-30,2024-02-08,TDG,281000000,4.87,57700000,1789000000,859000000,-3513000000,21876000000,17741000000,4135000000,600000000,636000000,-60.88388214904679,-0.07998861372046684,0.01358472322939328,0.04335367343082447,-6.227156276686593
2024-03-30,2024-05-07,TDG,403000000,6.9723,57800000,1918000000,945000000,-3029000000,22406000000,18118000000,4288000000,181000000,229000000,-52.40484429065744,-0.13304721030042918,0.018677295268109562,0.04503682773156727,-7.397160779135028
2024-06-29,2024-08-06,TDG,461000000,7.962,57900000,2045000000,1023000000,-2518000000,21892000000,18532000000,3360000000,568000000,608000000,-43.48877374784111,-0.18308181096108023,0.021119662818398388,0.0453328420688376,-8.694201747418585
2024-09-30,2024-11-07,TDG,336000000,5.7931,58000000,2184000000,1040000000,-6290000000,24899000000,18638000000,6261000000,531000000,572000000,-108.44827586206897,-0.0534181240063593,0.013132181661846322,0.05932583186757584,-3.9585055643879175
2024-12-28,2025-02-04,TDG,444000000,7.6158,58300000,2010000000,1087000000,-6258000000,25049000000,22590000000,2459000000,710000000,752000000,-107.34133790737565,-0.07094918504314478,0.02063676504764118,0.04861967565582816,-4.002716522850751
2025-03-29,2025-05-06,TDG,479000000,8.2444,58100000,2152000000,1088000000,-5671000000,25049000000,22623000000,2426000000,92000000,148000000,-97.60757314974182,-0.08446482101922059,0.021867153617895457,0.04542805940434804,-4.4170340327984485
2025-06-28,2025-08-05,TDG,492000000,8.47,58100000,2236000000,1130000000,-5004000000,25012000000,22220000000,2792000000,573000000,631000000,-86.12736660929431,-0.09832134292565947,0.021674008810572687,0.04685505883558235,-4.998401278976819
