date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-27,2015-11-03,TDY,48300000,1.36,35438456,551700000,91500000,1420800000,712700000,641200000,71500000,63200000,73500000,40.092040127256105,0.033994932432432436,0.017430530494406352,0.026590277931359138,0.5016188063063063
2016-01-03,2016-03-01,TDY,55500000,1.57,34514599,600000000,96700000,1344100000,780600000,695500000,85100000,45600000,61000000,38.94294121742512,0.041291570567666094,0.020672700860431333,0.029601661624002868,0.5807603600922551
2016-04-03,2016-05-09,TDY,39000000,1.11,34479367,530500000,80700000,1427000000,719500000,636300000,83200000,54900000,69100000,41.38707070811364,0.027330063069376315,0.014244493955221154,0.020540988815112793,0.5042046250875963
2016-07-03,2016-08-09,TDY,46900000,1.32,34619385,539700000,92500000,1477100000,691700000,620000000,71700000,67300000,83600000,42.666846912502926,0.03175140477963577,0.016867469879518072,0.023725272181909746,0.4682824453320696
2016-10-02,2016-11-08,TDY,52000000,1.5,34940356,526800000,90800000,1545100000,613000000,513500000,99500000,83600000,98000000,44.221072046318014,0.03365477962591418,0.018613308515588647,0.027320990310990778,0.3967380752054883
2017-01-01,2017-03-02,TDY,53000000,1.52,35110762,563000000,85800000,1554400000,617800000,519200000,98600000,23600000,66300000,44.27132626742763,0.034096757591353576,0.019125978853163004,0.02694023048996278,0.39745239320638187
2017-04-02,2017-05-11,TDY,30500000,0.87,35238500,566100000,71600000,1604100000,1313100000,1243400000,69700000,40800000,53400000,45.52123387771897,0.019013777195935416,0.008303838823849713,0.012874485872578573,0.8185898634748457
2017-07-02,2017-08-08,TDY,60100000,1.7,35331691,671100000,118700000,1731500000,1255800000,1174100000,81700000,74700000,87000000,49.006994881733796,0.034709789200115505,0.015899050289674876,0.023147889542057796,0.7252671094426798
2017-10-01,2017-11-07,TDY,69000000,1.95,35436187,662200000,121300000,1853400000,1195700000,1113200000,82500000,92300000,107900000,52.30246696688896,0.03722887665911298,0.01793372319688109,0.025593385221232123,0.6451386640768317
2017-12-31,2018-02-27,TDY,67600000,1.9,35540233,704400000,121500000,1947300000,1072900000,1002000000,70900000,108400000,126400000,54.79142469324835,0.03471473322035639,0.017568480690264565,0.024893482028232588,0.5509680069840291
2018-04-01,2018-05-08,TDY,66500000,1.86,35739323,695600000,118100000,2055900000,1028400000,948500000,79900000,51800000,71600000,57.524872533259796,0.032345931222335714,0.01696385296293462,0.024046038235567557,0.5002188822413541
2018-07-01,2018-08-06,TDY,85900000,2.4,35908645,732500000,138700000,2102700000,952000000,850600000,101400000,80500000,107900000,58.556929675291286,0.04085223759927712,0.02212264029462515,0.030952744206007358,0.45275122461596995
2018-09-30,2018-10-29,TDY,90300000,2.5,36072347,725300000,133500000,2216800000,837300000,711200000,126100000,121000000,141900000,61.45427687308508,0.04073439191627571,0.02307574363692119,0.032686880337685284,0.3777066041140383
2018-12-30,2019-02-25,TDY,91100000,2.52,36087297,748400000,142100000,2229700000,747500000,605000000,142500000,106800000,125500000,61.786284520007136,0.040857514463829216,0.023915155015357153,0.03384783553242089,0.3352468942010136
2019-03-31,2019-04-29,TDY,75300000,2.08,36232598,745200000,125900000,2349500000,982400000,876200000,106200000,58800000,80100000,64.84492224377617,0.03204937220685252,0.018093567532498737,0.02470067411040496,0.41813151734411574
2019-06-30,2019-07-29,TDY,104600000,2.88,36376376,782000000,160400000,2473000000,913600000,805500000,108100000,65100000,83200000,67.9836825966391,0.04229680549939345,0.024903576020189513,0.03325187210774393,0.3694298422968055
2019-09-29,2019-10-28,TDY,106700000,2.93,36468438,802200000,156800000,2571000000,1048000000,919500000,128500000,125800000,150900000,70.4993177936494,0.04150136133800078,0.023819090990266988,0.031931148147658024,0.4076234928043563
2019-12-29,2020-02-24,TDY,115700000,3.17,36547966,834200000,163500000,2714700000,969900000,770400000,199500000,144000000,167900000,74.27773135172556,0.04261981066047814,0.02526311192628499,0.03440336018454293,0.35727704718753456
2020-03-29,2020-04-22,TDY,82200000,2.25,36600000,784600000,134400000,2753000000,964900000,733500000,231400000,56200000,76400000,75.21857923497268,0.029858336360334182,0.017928026172300982,0.024533724848176775,0.35049037413730477
2020-06-28,2020-07-23,TDY,93700000,2.54,36856873,743300000,140600000,2879900000,963100000,580300000,382800000,139200000,155800000,78.13739380440657,0.032535851939303445,0.019775442151027816,0.02800793816982727,0.3344213340740998
2020-09-27,2020-10-22,TDY,93900000,2.55,36871712,749000000,153000000,3026000000,903700000,449200000,454500000,135100000,150300000,82.06833466262701,0.031031064111037673,0.01941285921025429,0.027945525646528843,0.2986450760079313
2021-01-03,2021-02-26,TDY,132100000,3.57,36951607,809300000,173200000,3228600000,778500000,105400000,673100000,217000000,236400000,87.37373722339058,0.040915567118875056,0.0259793895531781,0.04057682439415731,0.241126184724029
2021-04-04,2021-04-30,TDY,84700000,2.29,37060838,805700000,166300000,3336300000,3355200000,121000000,3234200000,107300000,124900000,90.02224936198151,0.025387405209363667,0.01111782001470125,0.03313274865501267,1.0056649581872135
2021-07-04,2021-08-02,TDY,64700000,1.39,46605286,1121000000,196400000,7312400000,4876500000,4181400000,695100000,190500000,211300000,156.90065714863331,0.008847984245938407,0.004549001961625266,0.006924858832923359,0.6668809146107981
