date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-11-09,TECH,22707000,0.15,148676000,112381000,42983000,837947000,168236000,119394000,48842000,25712000,31833000,5.63606096478248,0.027098372570102884,0.02012461003970505,0.024055773670854343,0.20077164784884963
2015-12-31,2016-02-09,TECH,25851000,0.17,148756000,120907000,48530000,856343000,166578000,104126000,62452000,33652000,38539000,5.7566955282476,0.03018767012750732,0.022807297700036967,0.027219323466524524,0.19452252193338418
2016-03-31,2016-05-10,TECH,30291000,0.2,148784000,130973000,56750000,852962000,161616000,95903000,65713000,34301000,37137000,5.732887944940316,0.0355127192067173,0.0264307609347228,0.032259992648287654,0.18947620175341925
2016-06-30,2016-08-29,TECH,25626000,0.17,148896000,134762000,48864000,879280000,133759000,69522000,64237000,33307000,36361000,5.905329894691596,0.02914429988172141,0.022687774400689857,0.027318428572454426,0.15212332817759985
2016-09-30,2016-11-09,TECH,16283000,0.11,149124000,130581000,49631000,895395000,379681000,310092000,69589000,23610000,26052000,6.004365494487809,0.018185270188017577,0.010730310904217989,0.016338427865453035,0.4240374359919365
2016-12-31,2017-02-09,TECH,6313000,0.0423,149232000,131807000,46332000,890573000,347254000,288318000,58936000,38777000,41630000,5.96770799828455,0.007088694582027526,0.00415322116412559,0.006767062306853577,0.3899219940420381
2017-03-31,2017-05-10,TECH,21389000,0.14,149280000,144037000,54170000,907925000,358215000,298375000,59840000,20923000,24939000,6.08202706323687,0.023558113280281963,0.013948459369870572,0.01963172258397327,0.39454250075722114
2017-06-30,2017-09-07,TECH,28810000,0.19,149376000,156578000,56024000,950827000,349903000,258291000,91612000,44959000,50827000,6.365326424592974,0.030299938895298514,0.018507657133606525,0.02832876811697776,0.3679985949073806
2017-09-30,2017-11-09,TECH,15863000,0.11,149504000,144613000,51305000,959810000,337500000,265036000,72464000,39423000,44696000,6.41996200770548,0.016527229347475022,0.010385758619335071,0.020233741973574994,0.3516320938519082
2017-12-31,2018-02-08,TECH,48847000,0.33,149796000,154153000,53177000,997819000,362500000,241042000,121458000,32847000,39182000,6.661185879462736,0.048953768168375225,0.03140433914397508,0.06815289544073974,0.36329234059483734
2018-03-31,2018-05-09,TECH,19738000,0.13,150012000,163973000,62100000,1058292000,392500000,305892000,86608000,18142000,21650000,7.05471562275018,0.01865080714963356,0.012197880295399068,0.026541436030408063,0.370880626518957
2018-06-30,2018-08-27,TECH,40901000,0.27,150340000,180254000,76476000,1079145000,339000000,217010000,121990000,59021000,64839000,7.17802979912199,0.037901301493311834,0.02567219975872488,0.033267139483880555,0.31413758114062523
2018-09-30,2018-11-07,TECH,17403000,0.12,150788000,162970000,48181000,1109469000,561473000,466799000,94674000,35258000,39448000,7.357806987293419,0.015685882165252026,0.009295491182022414,0.018287425416784804,0.506073626212179
2018-12-31,2019-02-07,TECH,17556000,0.12,151064000,174510000,53481000,1096425000,545369000,459483000,85886000,41959000,46563000,7.258016469840597,0.016012039127163282,0.009516313680595306,0.017418916328931434,0.49740657135690997
2019-03-31,2019-05-07,TECH,44654000,0.3,151088000,184861000,74312000,1146266000,522265000,426704000,95561000,34737000,39662000,7.586744149105157,0.038956053830437265,0.02384576032057793,0.03129848559352993,0.4556228658967465
2019-06-30,2019-08-28,TECH,16459000,0.11,151524000,191664000,48299000,1165589000,505160000,404274000,100886000,44254000,55946000,7.692438161611362,0.014120757831448307,0.008734298799093616,0.013059313640390794,0.43339461851475947
2019-09-30,2019-11-06,TECH,14398000,0.0946,152128000,183243000,54112000,1174224000,568186000,468295000,99891000,30014000,40539000,7.718657972233908,0.012261714970908447,0.007479371728619013,0.016751320935330542,0.48388212129883224
