date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-10-31,2015-12-01,TJX,587256000,0.44,1339058000,7753495000,1112354000,4350461000,1624007000,-99329000,1723336000,482300000,728000000,3.2488966123946836,0.1349870737836749,0.04896887895892352,0.1404771238923652,0.3732953817997679
2016-01-30,2016-03-29,TJX,666466000,0.5,1326991000,8962075000,1243911000,4307075000,1700217000,-395256000,2095473000,1042000000,1280779000,3.245745449667707,0.1547374958643627,0.05800182778174291,0.17278939253949244,0.39474980119918973
2016-04-30,2016-05-27,TJX,508346000,0.38,1322167000,7542356000,996969000,4534969000,1615477000,-328678000,1944155000,178997000,445233000,3.4299517383205,0.11209470230116236,0.04343084782363904,0.12304911264021375,0.35622669085499814
2016-07-30,2016-08-26,TJX,562174000,0.43,1313290000,7882053000,1096891000,4451356000,1615952000,-187696000,1803648000,496100000,738300000,3.3894691956841214,0.1262927521411453,0.048169883895956805,0.13395093932599433,0.36302466035068864
2016-10-29,2016-11-30,TJX,549786000,0.42,1303801000,8291688000,1074419000,4329811000,2226913000,-148619000,2375532000,670900000,929700000,3.3209140045144925,0.12697690499654604,0.042728919526136805,0.13399613110142453,0.5143210638986321
2017-01-28,2017-03-28,TJX,677928000,0.52,1292638000,9467647000,1275231000,4510599000,2403831000,-526018000,2929849000,1256100000,1513600000,3.489452576823519,0.15029666791483792,0.052618604685819595,0.1724979539642405,0.532929440191868
2017-04-29,2017-05-26,TJX,536279000,0.42,1286553000,7784024000,1021025000,4553523000,2228351000,-441144000,2669495000,189900000,448400000,3.539320183466985,0.11777232705314106,0.04201667241091987,0.1329173157797272,0.48936856144132795
2017-07-29,2017-08-25,TJX,552957000,0.43,1272548000,8357700000,1083383000,4540804000,2229103000,-220202000,2449305000,406200000,654600000,3.568277188758302,0.12177513057159041,0.04274686592017465,0.13028332916213475,0.4909049146362627
2017-10-28,2017-11-28,TJX,641436000,0.51,1264605000,8762220000,1220577000,4645608000,2229855000,-134389000,2364244000,505800000,826400000,3.6735644727009618,0.1380736385850894,0.04622064399023037,0.14445667750191896,0.4799920699292751
2018-02-03,2018-04-04,TJX,877276000,0.69,1276806000,10960720000,1321855000,5148309000,2452524000,-305953000,2758477000,866100000,1096200000,4.032177950291587,0.1704008053906632,0.06240397381849429,0.18376356935709082,0.47637466981876964
2018-05-05,2018-06-01,TJX,716381000,0.57,1250405000,8688720000,1163570000,5262408000,2231360000,-449745000,2681105000,459900000,724900000,4.208562825644491,0.1361317860568774,0.05114404641523842,0.15130168499340405,0.4240188142006473
2018-08-04,2018-08-31,TJX,739626000,0.59,1241533000,9331115000,1212532000,5227073000,2232112000,-640605000,2872717000,526900000,835800000,4.210176451209915,0.14149907606034964,0.05241326391630953,0.1638548932046759,0.427029046657661
2018-11-03,2018-12-04,TJX,762253000,0.62,1233145000,9825759000,1267926000,5256873000,2232864000,-478903000,2711767000,618000000,917100000,4.262980428092398,0.14500122030720544,0.05073149570569312,0.162049615696013,0.4247513683514896
2019-02-02,2019-04-03,TJX,841538000,0.68,1217183000,11127340000,1413677000,5048606000,2476874000,-553355000,3030229000,1358600000,1610700000,4.14777892888744,0.16668720038759213,0.058741888628035026,0.1898540404400246,0.4906055255648787
2019-05-04,2019-05-31,TJX,700178000,0.58,1212668000,9277585000,1163283000,5131895000,11199142000,8964086000,2235056000,-167670000,149300000,4.231904362941877,0.13643654049819803,0.031134154805197763,0.050446574712488104,2.1822624975764313
2019-08-03,2019-08-30,TJX,758962000,0.63,1208933000,9781596000,1251840000,5302612000,11331708000,9145326000,2186382000,488800000,749900000,4.386191790612052,0.14312983865310153,0.0332077312344063,0.053297197821932464,2.137004932663374
2019-11-02,2019-12-03,TJX,828263000,0.69,1203184000,10451334000,1356674000,5542532000,11470202000,9410026000,2060176000,559700000,974400000,4.6065539435364835,0.14943765773476816,0.03410074905602209,0.056133195435264426,2.0694877359300765
2020-02-01,2020-03-27,TJX,984790000,0.82,1199100000,12206462000,1560851000,5948212000,11464474000,8247722000,3216752000,1962700000,2193100000,4.960563756150446,0.16556067604853358,0.04078649317210688,0.07013817305947474,1.9273815391919453
2020-05-02,2020-05-21,TJX,-887489000,-0.74,1197809000,4408888000,-1091788000,4739218000,16506528000,12218693000,4287835000,-3371008000,-3160483000,3.9565723750614663,-0.18726486099605463,-0.03491956007497864,-0.05110326043054038,3.482964489078156
2020-08-01,2020-08-28,TJX,-214220000,-0.18,1190111000,6667575000,187046000,4660569000,15660844000,9040433000,6620411000,3257908000,3357283000,3.9160792564727154,-0.04596434469696726,-0.008062961408066619,-0.005610403439973821,3.360285836343159
2020-10-31,2020-12-01,TJX,866656000,0.72,1200631000,10117289000,1289164000,5566756000,15642646000,5060653000,10581993000,3956300000,4080000000,4.636525293783019,0.1556842081815693,0.027455798260759372,0.08589952553948953,2.8100110728761956
2021-01-30,2021-03-31,TJX,325523000,0.27,1204698000,10943210000,769253000,5832684000,15503426000,5033856000,10469570000,150700000,285100000,4.841615076973648,0.05581015532471843,0.010564279259566123,0.032836561990652165,2.6580260476994813
2021-05-01,2021-05-28,TJX,533930000,0.44,1206387000,10086661000,982625000,6139214000,14838667000,6063182000,8775485000,-658020000,-432727000,5.088925858783292,0.08697041673412916,0.017620618218926538,0.04654041091723526,2.4170304211581484
2021-07-31,2021-08-27,TJX,785681000,0.65,1202981000,12077063000,1298514000,6406384000,12871309000,5765293000,7106016000,1160000000,1379600000,5.325424092317335,0.12264032252827804,0.0272962799520252,0.0663254210396709,2.009137916178612
2021-10-30,2021-11-30,TJX,1023000000,0.86,1194261000,12531890000,1618084000,6444774000,12821369000,6029773000,6791596000,729400000,1000000000,5.396453539050509,0.15873326201973878,0.03401950305187865,0.08331525849407917,1.9894210409860764
2022-01-29,2022-03-30,TJX,940204000,0.8,1199990000,13854368000,1485099000,6003000000,12508000000,6281000000,6227000000,781300000,1110600000,5.0025416878473985,0.1566223554889222,0.033034819577667685,0.07788212060772513,2.083624854239547
2022-04-30,2022-05-27,TJX,587000000,0.5,1177000000,11406000000,1093000000,5595440000,12708557000,8413489000,4295068000,-948000000,-634500000,4.753984706881903,0.10490685272293153,0.021183761589358086,0.04293463903337328,2.2712346124701543
2022-07-30,2022-08-26,TJX,810000000,0.7,1168000000,11843000000,1325000000,5396649000,12634299000,9103087000,3531212000,261600000,640700000,4.620418664383561,0.1500931411325806,0.029899663374086206,0.05694331147997552,2.3411378060718793
2022-10-29,2022-11-29,TJX,1063000000,0.92,1156264000,12167000000,1597000000,5664683000,12623372000,9258694000,3364678000,646000000,1053000000,4.899125978150319,0.18765392520640609,0.03739211951407832,0.0722788049766689,2.2284339653251557
2023-01-28,2023-03-29,TJX,1038381000,0.9,1155438000,14520232000,1589843000,6364000000,12744000000,7267000000,5477000000,2667496000,3024748000,5.50786801195737,0.16316483343808924,0.03662848777734665,0.07731580065469223,2.0025141420490256
2023-04-29,2023-05-26,TJX,891000000,0.77,1150179000,11783000000,1462000000,6422000000,12836000000,7811000000,5025000000,384000000,745000000,5.583478745482225,0.13874182497664278,0.031065862417628397,0.06374108207630527,1.9987542821550919
2023-07-29,2023-08-25,TJX,989000000,0.86,1148000000,12758000000,1581000000,6608000000,12568000000,8018000000,4550000000,882000000,1341000000,5.7560975609756095,0.14966707021791767,0.03419542216997441,0.06858748204800094,1.9019370460048426
2023-10-28,2023-11-29,TJX,1191000000,1.04,1144000000,13265000000,1853000000,6833000000,12519000000,8229000000,4290000000,711000000,1171000000,5.9729020979020975,0.1743011854236792,0.039240881684293766,0.08001865835185616,1.832138153080638
2024-02-03,2024-04-03,TJX,1403000000,1.24,1133587000,16411000000,2114000000,7302000000,12542000000,6942000000,5600000000,2358000000,2800000000,6.4414994173362965,0.19213913996165435,0.047164419941506705,0.09951305233963587,1.717611613256642
2024-05-04,2024-05-31,TJX,1070000000,0.95,1132503000,12479000000,1673000000,7502000000,12642000000,7583000000,5059000000,318000000,737000000,6.624265012984513,0.14262863236470275,0.036052427642440786,0.07190095454296158,1.6851506264996001
2024-08-03,2024-08-30,TJX,1099000000,0.97,1130149000,13468000000,1753000000,7782000000,12651000000,7401000000,5250000000,1066000000,1629000000,6.885817710762033,0.14122333590336675,0.03596792668957617,0.07336973931657752,1.625674633770239
2024-11-02,2024-12-04,TJX,1297000000,1.15,1127000000,14063000000,2022000000,8173000000,12714000000,7996000000,4718000000,624000000,1046000000,7.2519964507542145,0.1586932582894898,0.03998643482550253,0.08113936522440252,1.555609935152331
2025-02-01,2025-04-02,TJX,1398000000,1.23,1138000000,16350000000,2215000000,8393000000,12778000000,7443000000,5335000000,2190000000,2704000000,7.375219683655536,0.16656737757655188,0.04403288292544647,0.08907434073793173,1.5224591921839628
2025-05-03,2025-05-30,TJX,1036000000,0.92,1132000000,13111000000,1660000000,8503000000,13062000000,8807000000,4255000000,-103000000,394000000,7.511484098939929,0.12183935081735858,0.03251930441333417,0.06065016657181387,1.536163706926967
2025-08-02,2025-08-29,TJX,1243000000,1.1,1128000000,14401000000,1973000000,8866000000,13121000000,8482000000,4639000000,1330000000,1791000000,7.859929078014185,0.1401985111662531,0.03779838832294359,0.07243398083084805,1.4799233025039478
