date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-11-05,TPL,11461349,0.4664342583556888,24572271,18179458,17230418,44612945,0,-46170691,46170691,12652053,12725108,1.8155808634863257,0.25690635307756526,0.22156238811425605,-7.354537013474233,0.0
2015-12-31,2016-02-29,TPL,8995057,0.370253530064108,24294318,14714861,13350549,45688679,0,-45011969,45011969,6792565,6902375,1.88063229434965,0.1968771519964497,0.17834757213389882,13.286163985755353,0.0
2016-03-31,2016-05-05,TPL,7280051,0.2996606449294028,24294318,11892161,10803746,43552963,0,-46719872,46719872,11128525,11278208,1.7927221912547617,0.1671539775606082,0.13809390657508094,-2.2975230797184563,0.0
2016-06-30,2016-08-04,TPL,10123117,0.4192548093847715,24145500,16190266,15103326,45375295,0,-45615848,45615848,7219617,7328391,1.879244372657431,0.22309754680382793,0.18893577773301784,-42.06640554355649,0.0
2016-09-30,2016-11-03,TPL,8929412,0.3727607418101619,23954808,14265752,13097876,42783389,0,-45496176,45496176,11424501,11534982,1.7860042543442636,0.20871212423120572,0.16365385074277167,-3.2897163009029633,0.0
2016-12-31,2017-02-28,TPL,10906970,0.4613511691923672,23641362,17563217,16096192,47624522,0,-49418000,49417889,10208327,10816260,2.0144576272720665,0.2290200413980008,0.17464025361799096,-6.07813912670282,0.0
2017-03-31,2017-05-04,TPL,14885422,0.6265632119535696,23757255,24228768,22123184,43174056,0,-52563881,52563881,22471850,24383699,1.8172998521925197,0.34477701145335987,0.20879973713159938,-1.584590900404299,0.0
2017-06-30,2017-08-04,TPL,20350000,0.8605905842001828,23646552,27348554,24816495,48561616,0,-50103000,50103000,8880483,10578905,2.0536446920464346,0.41905524725536314,0.2637425006407582,-10.837657185036429,0.0
2017-09-30,2017-11-07,TPL,33002000,1.401016855843423,23555748,42476454,39280167,67839042,0,-69496293,69496293,26538049,30897641,2.879935801656564,0.48647503011613874,0.28527118885207703,-15.924656848598849,0.0
2017-12-31,2018-02-28,TPL,18359413,0.7844738349528793,23403474,38275224,33932154,79193000,0,-79580000,79580000,17192618,27969755,3.383813873102771,0.2318312603386663,0.144040585281657,-47.377579577863585,0.0
2018-03-31,2018-05-07,TPL,43791000,1.8670614394574279,23454504,60007000,54811000,110542000,0,-71301000,71301000,30082000,42674000,4.713039337774954,0.3961480704166742,0.324579738503958,1.1132936651889602,0.0
2018-06-30,2018-08-07,TPL,52503000,2.242808748556034,23409486,73844000,65988000,152732000,0,-85895000,85895000,24920000,46555000,6.524363670351412,0.34375900269753557,0.2971795031442625,0.7836239008586848,0.0
2018-09-30,2018-11-07,TPL,50762000,2.1730237521487514,23360076,73168000,63665000,195040000,0,-110617000,110617000,33163000,41605000,8.349287904714009,0.2602645611156686,0.23105038211023163,0.5990361714062663,0.0
2018-12-31,2019-02-28,TPL,62680000,2.693188818918113,23273526,93201000,78953000,244691000,0,-119647000,119647000,31303000,60815000,10.513705572589215,0.2561598097191969,0.21987196351837235,0.4987661704058211,0.0
2019-03-31,2019-05-07,TPL,139998000,6.013808589078493,23279424,191324000,176357000,333799000,2963000,-110298000,113261000,102147000,162001000,14.338799791609965,0.41940808690259707,0.34575432322563754,0.6249841493079789,0.00887659939065126
2019-06-30,2019-08-07,TPL,49586000,2.1310384508339784,23268468,87310000,63893000,383394000,3491000,-151910000,155401000,15797000,57970000,16.4769764816489,0.12933431404768983,0.10695581650172989,0.2127204663681956,0.009105515474942226
2019-09-30,2019-11-07,TPL,60022000,2.5795424090662094,23268468,98530000,76449000,443426000,3471000,-246410000,249881000,59273000,64252000,19.05694865686903,0.1353596766991561,0.11498599600761694,0.30082072668246407,0.007827687145092981
2019-12-31,2020-02-27,TPL,69122000,2.9706296091345594,23268468,113332000,91780000,512137000,3367000,-300278000,303645000,128347000,58567000,22.009914877077424,0.13496779182132906,0.1155546193762371,0.3229272029910506,0.006574412705975159
2020-03-31,2020-05-07,TPL,57401000,2.466900700123446,23268468,96594000,73877000,445343000,3250000,-220493000,223743000,44196000,68639000,19.139334828575738,0.12889166327976415,0.10539081132986566,0.25233111615941844,0.007297745782464303
2020-06-30,2020-08-06,TPL,27583000,1.1854239823610218,23268468,57284000,38418000,472939000,3141000,-255223000,258364000,31807000,32194000,20.325317506936855,0.058322532081304355,0.04982478323699422,0.12602869027271688,0.006641448474327556
2020-09-30,2020-11-05,TPL,46275000,1.988742877270648,23268468,74383000,60508000,519227000,2982000,-312777000,315759000,60209000,60616000,22.314619080207603,0.08912286918823559,0.07697349051284055,0.21917555325628302,0.0057431528021462674
2020-12-31,2021-02-25,TPL,44791000,1.9249655800287324,23268468,74304000,58854000,485184000,2026000,-279020000,281046000,65739000,45588000,20.851566162413445,0.09231755375280307,0.07835594391526061,0.21754568123195872,0.004175735391109352
2021-03-31,2021-05-06,TPL,50052000,2.1510655536067094,23268468,84155000,65860000,513935000,2654000,-308001000,310655000,50938000,52387000,22.08718683155247,0.09738974773074416,0.08154421132547629,0.24302915159920901,0.005164077169291836
2021-06-30,2021-08-05,TPL,57046000,2.4517293489529544,23267658,95932000,75128000,547177000,2465000,-326669000,329134000,41090000,44102000,23.51663411934282,0.1042551130621353,0.0900002050981079,0.25723724245292273,0.004504940814398266
2021-09-30,2021-11-04,TPL,83837000,3.6052742267379783,23253987,123693000,107106000,601042000,2293000,-370468000,372761000,71426000,78023000,25.846836501628733,0.13948609248604923,0.12052178138257115,0.36180347035773275,0.0038150412117622396
2021-12-31,2022-02-23,TPL,79045000,3.402037753688421,23234604,147178000,130556000,651711000,1445000,-426797000,428242000,86161000,90651000,28.049154614384648,0.12128842385658674,0.10345337563345479,0.3526014290343397,0.002217240463947977
2022-03-31,2022-05-04,TPL,97900000,4.215449514825012,23224095,147335000,128439000,727876000,0,-507356000,507356000,102474000,107735000,31.34141502607529,0.13450093147733955,0.11429318595466331,0.4436794142093781,0.0
2022-06-30,2022-08-03,TPL,118894000,5.124478528903043,23201190,176270000,155888000,645281000,0,-389794000,389794000,84584000,87670000,27.81240962209266,0.18425151213192392,0.15547633868090827,0.46343770533669404,0.0
2022-09-30,2022-11-02,TPL,129837000,5.609869658251495,23144388,191111000,165972000,721170000,0,-446588000,446588000,112902000,119240000,31.159605516464726,0.18003660717999917,0.15662373005667246,0.4673165951299878,0.0
2022-12-31,2023-02-22,TPL,99731000,4.3182079941252525,23095460,152706000,127384000,772887000,1955000,-508879000,510834000,126315000,132504000,33.46488877034707,0.12903697435718287,0.11366301698032999,0.3672695507737696,0.002529477142195431
