date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-10-03,2015-11-23,TSN,258000000,0.65,395000000,10506000000,744000000,9691000000,6690000000,6002000000,688000000,680000000,898000000,24.534177215189874,0.026622639562480652,0.011232530802385824,0.018954277992485977,0.6903312351666495
2016-01-02,2016-02-05,TSN,461000000,1.17,395000000,9152000000,951000000,9762000000,6705000000,5518000000,1187000000,907000000,1095000000,24.71392405063291,0.047223929522638805,0.01979390296264491,0.033009202747220426,0.6868469575906576
2016-04-02,2016-05-09,TSN,432000000,1.11,388000000,9170000000,884000000,9791000000,6349000000,6095000000,254000000,-157000000,10000000,25.234536082474225,0.044122152997650904,0.019190617920127936,0.03003464904838277,0.6484526606066796
2016-07-02,2016-08-08,TSN,484000000,1.27,382000000,9403000000,949000000,9791000000,6178000000,5981000000,197000000,608000000,768000000,25.630890052356023,0.04943315289551629,0.021597501115573403,0.03334569300292887,0.6309876417117761
2016-10-01,2016-11-21,TSN,391000000,1.06,367000000,9156000000,768000000,9608000000,6279000000,5930000000,349000000,663000000,843000000,26.17983651226158,0.040695253955037466,0.017476422473517186,0.0279841244561962,0.6535179017485429
2016-12-31,2017-02-06,TSN,593000000,1.64,367000000,9182000000,1147000000,9550000000,5967000000,5660000000,307000000,934000000,1134000000,26.021798365122617,0.06209424083769634,0.026643303230444355,0.041536904391155406,0.6248167539267016
2017-04-01,2017-05-08,TSN,340000000,0.93,365000000,9083000000,754000000,9771000000,6448000000,6205000000,243000000,-419000000,-152000000,26.76986301369863,0.034796847814962645,0.015046910957691628,0.023647586022579145,0.6599119844437622
2017-07-01,2017-08-07,TSN,447000000,1.24,366000000,9850000000,875000000,10117000000,10824000000,10593000000,231000000,152000000,467000000,27.64207650273224,0.044183058218839576,0.015928446709190035,0.024121326616617377,1.0698823761984777
2017-09-30,2017-11-13,TSN,394000000,1.1,366000000,10145000000,892000000,10541000000,10203000000,9885000000,318000000,863000000,1150000000,28.80054644808743,0.037377857888245894,0.014038338202807667,0.02247220412118429,0.967934731050185
2017-12-30,2018-02-08,TSN,1631000000,4.54,366000000,10229000000,1159000000,11955000000,9686000000,9393000000,293000000,830000000,1126000000,32.66393442622951,0.13642827268925137,0.058154460529130717,0.08443719883197878,0.8102049351735675
