date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-10-03,2015-10-28,TXT,176000000,0.64,273862000,3180000000,3292000000,4696000000,3772000000,3158000000,614000000,101000000,214000000,17.1473223740424,0.03747870528109029,0.011813666263928045,0.026054866391000842,0.803236797274276
2016-01-02,2016-02-24,TXT,226000000,0.83,274228000,3923000000,4052000000,4964000000,3610000000,2605000000,1005000000,541000000,675000000,18.10172557142232,0.045527800161160356,0.015365787326624965,0.03407427180146732,0.7272360999194198
2016-04-02,2016-04-28,TXT,150000000,0.56,268721000,3201000000,3310000000,4989000000,3997000000,3219000000,778000000,-238000000,-150000000,18.56572430141299,0.03006614552014432,0.009934432743890324,0.022076023391812867,0.8011625576267789
2016-07-02,2016-07-28,TXT,177000000,0.66,269344000,3511000000,3625000000,5186000000,3912000000,3169000000,743000000,1000000,120000000,19.254187952952357,0.03413035094485152,0.011773313822003459,0.024910003222391015,0.7543386039336676
2016-10-01,2016-10-27,TXT,421000000,1.56,270134000,3251000000,3359000000,5651000000,3822000000,3083000000,739000000,76000000,175000000,20.919247484581724,0.07450008847991506,0.02775763170040219,-0.023375186455767447,0.6763404707131481
2016-12-31,2017-02-22,TXT,214000000,0.79,270287000,3825000000,453000000,5574000000,3680000000,2382000000,1298000000,711000000,851000000,20.622523465797467,0.03839253677789738,0.013934106003385857,0.05342094102598304,0.6602081090778615
2017-04-01,2017-04-26,TXT,101000000,0.37,270489000,3093000000,306000000,5582000000,4115000000,3118000000,997000000,-270000000,-194000000,20.636698719726127,0.018093873163740594,0.00643189199516016,0.018238814477058992,0.737190970978144
2017-07-01,2017-07-27,TXT,153000000,0.57,264713726,3604000000,3716000000,5682000000,4004000000,2875000000,1129000000,373000000,458000000,21.464697300962776,0.02692713833157339,0.009698890649762282,0.03974877089612476,0.7046814501935939
2017-09-30,2017-10-27,TXT,159000000,0.6,263410000,3484000000,379000000,5818000000,4283000000,2989000000,1294000000,-19000000,119000000,22.08724042367412,0.027328979030594707,0.010015748031496062,0.023567795657395234,0.736163630113441
2017-12-30,2018-02-15,TXT,-106000000,-0.41,261500000,4017000000,431000000,5647000000,3912000000,2650000000,1262000000,448000000,595000000,21.594646271510516,-0.01877102886488401,-0.006910039113428944,0.09427579583306085,0.6927572162210023
2018-03-31,2018-04-25,TXT,189000000,0.74,256375000,3280000000,3385000000,5692000000,3918000000,3082000000,836000000,-162000000,-85000000,22.20185275475378,0.033204497540407586,0.012626937466595404,0.024900508801023877,0.6883345045678145
2018-06-30,2018-07-26,TXT,224000000,0.9,248910000,3726000000,3837000000,5362000000,3888000000,3157000000,731000000,401000000,483000000,21.54192278333534,0.04177545691906005,0.01538672894628383,0.029833765248720057,0.7251025736665423
2018-09-29,2018-10-25,TXT,563000000,2.26,249115044,3200000000,3306000000,5543000000,3866000000,2573000000,1293000000,225000000,299000000,22.25076378767394,0.10156954717661916,0.03838025768627718,0.02936873926787693,0.6974562511275483
2018-12-29,2019-02-14,TXT,246000000,1.02,242569000,3750000000,500000000,5192000000,3784000000,2677000000,1107000000,276000000,412000000,21.404219005726205,0.047380585516178735,0.017246214245653393,0.05455795485609225,0.7288135593220338
2019-03-30,2019-04-24,TXT,179000000,0.76,235526316,3109000000,3211000000,5233000000,3886000000,3144000000,742000000,-275000000,-216000000,22.218324002486415,0.03420600038218995,0.012361878453038674,0.03407521943506592,0.7425950697496656
2019-06-29,2019-07-24,TXT,217000000,0.93,233333333,3227000000,3327000000,5336000000,4070000000,3213000000,857000000,80000000,156000000,22.868571461240816,0.040667166416791606,0.014666125979994593,0.04503450695987835,0.762743628185907
2019-09-28,2019-10-23,TXT,220000000,0.95,231578947,3259000000,3359000000,5452000000,4172000000,3119000000,1053000000,204000000,285000000,23.54272731018161,0.04035216434336023,0.014606293984862568,0.035514915441484385,0.7652237710931769
2020-01-04,2020-02-25,TXT,199000000,0.87,228000000,4035000000,432000000,5518000000,3810000000,2453000000,1357000000,668000000,791000000,24.20175438596491,0.03606379122870605,0.013250765747769344,0.03780489990501281,0.6904675607104023
2020-04-04,2020-05-01,TXT,50000000,0.22,228311000,2777000000,238000000,5534000000,5034000000,2588000000,2446000000,-444000000,-394000000,24.238867159269592,0.009035056017347307,0.0031355825912454532,0.01266911483928068,0.9096494398265269
2020-07-04,2020-07-31,TXT,-92000000,-0.4,228247000,2472000000,22000000,5527000000,4732000000,2386000000,2346000000,196000000,242000000,24.214995158753457,-0.016645558168988602,-0.0059466097860513215,-0.00748821398813795,0.8561606658223267
2020-10-03,2020-10-29,TXT,115000000,0.5,228918000,2735000000,261000000,5741000000,4724000000,2054000000,2670000000,297000000,352000000,25.07884919490822,0.02003135342274865,0.007250488619885253,0.02047621154143903,0.8228531614701271
2021-01-02,2021-02-19,TXT,236000000,1.03,228668000,3667000000,382000000,5845000000,4369000000,2115000000,2254000000,403000000,569000000,25.561075445624223,0.04037639007698888,0.015324675324675324,0.03778427018815006,0.7474764756201882
2021-04-03,2021-04-29,TXT,171000000,0.75,227009000,2879000000,306000000,5996000000,4093000000,2015000000,2078000000,128000000,181000000,26.413049702875217,0.028519012675116744,0.011093810821331257,0.024266633379103734,0.6826217478318879
2021-07-03,2021-07-29,TXT,183000000,0.81,225963000,3191000000,354000000,6101000000,3833000000,1645000000,2188000000,516000000,591000000,26.999995574496708,0.029995082773315848,0.011899343260290006,0.027458978531683713,0.6282576626782495
2021-10-02,2021-10-28,TXT,185000000,0.83,223663000,2990000000,358000000,6037000000,3772000000,1590000000,2182000000,325000000,401000000,26.991500605822154,0.030644359781348354,0.012116052131770253,0.02848403126026201,0.6248136491634918
2022-01-01,2022-02-17,TXT,207000000,0.94,219789000,3322000000,371000000,6815000000,3767000000,1650000000,2117000000,254000000,425000000,31.007011269899767,0.03037417461482025,0.013078915776837051,0.027720717122899485,0.5527512839325018
2022-04-02,2022-04-28,TXT,193000000,0.89,217010000,3001000000,353000000,6917000000,3655000000,1529000000,2126000000,193000000,241000000,31.87410718400074,0.02790226977013156,0.01212997297467161,0.0260029232364637,0.5284082694809888
2022-07-02,2022-07-28,TXT,217000000,1.01,214587000,3154000000,393000000,6801000000,3566000000,1725000000,1841000000,306000000,372000000,31.693439024731227,0.031907072489339806,0.013665847975313308,0.028582666841484198,0.5243346566681371
