date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-10-28,2015-11-06,T,2994000000,0.5,5924000000,39091000000,12310000000,121824000000,126930000000,120728000000,6202000000,5769000000,10797000000,20.564483457123565,0.02457643814026793,0.007485205843160687,0.015761405829940713,1.0419129235618598
2015-12-31,2016-02-18,T,4006000000,0.65,6165000000,42119000000,13927000000,122671000000,126151000000,121030000000,5121000000,3323000000,9185000000,19.897972424979724,0.03265645507088065,0.009948543727897644,0.019804983858635945,1.0283685630670656
2016-03-31,2016-05-05,T,3803000000,0.62,6172000000,40535000000,13989000000,123432000000,130503000000,120495000000,10008000000,3449000000,7900000000,19.998703823720025,0.030810486745738545,0.009421808650325292,0.01912712317454117,1.0572866031499124
2016-06-30,2016-08-04,T,3408000000,0.55,6174000000,40520000000,13136000000,123402000000,126836000000,119628000000,7208000000,5056000000,10307000000,19.98736637512148,0.027617056449652354,0.008481662883765381,0.017819580614030897,1.0278277499554302
2016-09-30,2016-11-03,T,3328000000,0.54,6168000000,40890000000,12987000000,123611000000,125221000000,119326000000,5895000000,5414000000,10995000000,20.040693904020753,0.02692317026801822,0.00825857683479124,0.017385697181235674,1.0130247308087468
2016-12-31,2017-02-17,T,2437000000,0.39,6161000000,41841000000,10535000000,123135000000,123513000000,117725000000,5788000000,3909000000,10142000000,19.986203538386626,0.01979128598692492,0.006034852075548325,0.01441753438978831,1.0030698014374466
2017-03-31,2017-05-04,T,3469000000,0.56,6166000000,39365000000,12793000000,123841000000,133249000000,118365000000,14884000000,3434000000,9218000000,20.084495621148232,0.02801172471152526,0.00842188573523378,0.018290019234293176,1.0759683788083108
2017-06-30,2017-08-03,T,3915000000,0.63,6165000000,39837000000,13607000000,124725000000,143655000000,118038000000,25617000000,3976000000,8942000000,20.231143552311437,0.031389055923030665,0.00930381777350016,0.020320996862988817,1.1517739025856886
2017-09-30,2017-11-03,T,3029000000,0.49,6162000000,39668000000,12712000000,124960000000,163279000000,114780000000,48499000000,6108000000,11114000000,20.279130152547875,0.024239756722151087,0.0068241469816272965,0.017468335972736046,1.306650128040973
2017-12-31,2018-02-20,T,19037000000,3.08,6163000000,41676000000,6708000000,140861000000,164346000000,113848000000,50498000000,3845000000,8736000000,22.855914327437937,0.13514741482738302,0.042866761090482486,-0.03730092893102619,1.1667246434428267
2018-03-31,2018-05-03,T,4662000000,0.75,6161000000,38038000000,13918000000,145920000000,163046000000,114174000000,48872000000,2990000000,8947000000,23.68446680733647,0.03194901315789474,0.010444882074996135,0.023609714778165324,1.1173656798245615
2018-06-30,2018-08-02,T,5132000000,0.81,6351000000,38986000000,15192000000,182980000000,190167000000,176644000000,13523000000,5227000000,10229000000,28.811210832939693,0.028046781068969285,0.009598066920894498,0.018970925188530243,1.0392775166684884
2018-09-30,2018-11-02,T,4718000000,0.65,7284000000,45739000000,16436000000,183848000000,183418000000,174761000000,8657000000,6610000000,12346000000,25.239978034047226,0.025662503807493145,0.008820834969244863,0.017893242903152137,0.9976611113528567
2018-12-31,2019-02-20,T,4858000000,0.66,7296000000,47993000000,15713000000,184089000000,176505000000,171301000000,5204000000,8017000000,12080000000,25.231496710526315,0.0263894094704192,0.009133913932885098,0.019650989091012212,0.9588025357300002
2019-03-31,2019-05-06,T,4096000000,0.56,7313000000,44827000000,14702000000,185112000000,193733000000,187217000000,6516000000,5931000000,11052000000,25.312730753452755,0.02212714464756472,0.007469218649705316,0.016298104459748722,1.046571805177406
2019-06-30,2019-08-05,T,3713000000,0.51,7323000000,44957000000,14307000000,184257000000,191130000000,182707000000,8423000000,8863000000,14284000000,25.161409258500615,0.02015120185393228,0.006789001561488643,0.015382743454916092,1.0373011608785554
2019-09-30,2019-11-05,T,3700000000,0.5,7327000000,44588000000,13903000000,183049000000,187464000000,180876000000,6588000000,6248000000,11389000000,24.982803330148766,0.02021316696622216,0.0067420316474609875,0.015443881717699512,1.0241192249069921
2019-12-31,2020-02-20,T,2394000000,0.33,7312000000,46821000000,12177000000,184221000000,184951000000,172821000000,12130000000,8191000000,11943000000,25.19433807439825,0.01299526112658166,0.004339558684646047,0.012588443185405909,1.0039626318389325
2020-03-31,2020-05-06,T,4610000000,0.63,7187000000,42779000000,15521000000,177779000000,185853000000,175898000000,9955000000,3928000000,8866000000,24.736190343676082,0.0259310717238819,0.008453224877785805,0.01858840586216161,1.045415937765428
2020-06-30,2020-08-05,T,1281000000,0.17,7145000000,40950000000,11806000000,175896000000,191194000000,174253000000,16941000000,7625000000,12059000000,24.61805458362491,0.007282712511938873,0.002338026420976167,0.008078824254209008,1.0869718470005003
2020-09-30,2020-11-05,T,2816000000,0.39,7147000000,42340000000,12936000000,175553000000,180934000000,171176000000,9758000000,8212000000,12123000000,24.56317335945152,0.01604073983355454,0.005228826132246966,0.013716840634031922,1.0306517120185927
2020-12-31,2021-02-25,T,-13883000000,-1.94,7150000000,45691000000,-6680000000,161673000000,179636000000,169896000000,9740000000,7690000000,10082000000,22.611608391608392,-0.0858708627909422,-0.02640553407346684,-0.035797019111774776,1.111106987561312
2021-03-31,2021-05-06,T,7550000000,1.04,7161000000,43939000000,17718000000,165488000000,201965000000,190623000000,11342000000,5894000000,9927000000,23.109621561234466,0.045622643333655614,0.013802937923343419,0.026390593728838563,1.2204208160108285
2021-06-30,2021-08-05,T,1570000000,0.23,7168000000,35740000000,13202000000,162296000000,201420000000,189551000000,11869000000,6951000000,10910000000,22.641741071428573,0.0096736826539163,0.0028822676286464357,0.02090334855072827,1.2410657071030708
2021-09-30,2021-11-04,T,5918000000,0.82,7171000000,31326000000,12377000000,163771000000,202109000000,180839000000,21270000000,5162000000,9866000000,22.837958443731697,0.03613582380274896,0.01081689687757605,0.01826590298193124,1.234095169474449
2021-12-31,2022-02-16,T,5043000000,0.69,7172000000,31095000000,12192000000,166332000000,195832000000,176609000000,19223000000,7423000000,11254000000,23.191857222532068,0.030318880311665825,0.009142129936804551,0.018999891292057945,1.1773561311112715
2022-03-31,2022-05-03,T,4810000000,0.66,7184000000,29712000000,12672000000,169036000000,229522000000,190957000000,38565000000,984000000,5732000000,23.529510022271715,0.02845547693982347,0.008333405521530852,0.01782183774161572,1.3578291014931732
2022-06-30,2022-08-04,T,4157000000,0.57,7169000000,29643000000,12196000000,117746000000,155325000000,151307000000,4018000000,999000000,5907000000,16.424326963314268,0.035304808655920374,0.009748307471513696,0.02184994514365134,1.3191530922494183
2022-09-30,2022-11-03,T,6026000000,0.83,7153000000,30043000000,13173000000,122406000000,152492000000,150069000000,2423000000,4150000000,10071000000,17.112540192926044,0.04922961292747088,0.014130182454280911,0.027801203384521182,1.2457886051337352
2022-12-31,2023-02-13,T,-23517000000,-3.29,7157000000,31343000000,-16960000000,97500000000,154679000000,150978000000,3701000000,6084000000,10313000000,13.623026407712729,-0.2412,-0.05837613223682087,-0.0864601713076344,1.586451282051282
2023-03-31,2023-05-01,T,4228000000,0.58,7168000000,30139000000,12103000000,99396000000,155897000000,153076000000,2821000000,2343000000,6678000000,13.866629464285714,0.042536923015010664,0.010546981213501533,0.022852114243725134,1.568443398124673
2023-06-30,2023-07-27,T,4489000000,0.61,7180000000,29917000000,12434000000,101903000000,161591000000,152063000000,9528000000,5652000000,9922000000,14.192618384401115,0.04405169622091597,0.01099024857205113,0.023598613269809558,1.5857334916538277
2023-09-30,2023-10-31,T,3495000000,0.48,7185000000,30350000000,11344000000,103703000000,155733000000,148193000000,7540000000,5689000000,10336000000,14.433263743910926,0.03370201440652633,0.00859360016523317,0.020248694144571425,1.50172126167999
2023-12-31,2024-02-23,T,2188000000,0.3,7190000000,32022000000,9428000000,103297000000,154899000000,148177000000,6722000000,6777000000,11378000000,14.366759388038943,0.02118164128677503,0.005375128973615684,0.0163034443742582,1.4995498417185398
2024-03-31,2024-05-02,T,3445000000,0.47,7192000000,30028000000,11593000000,104540000000,150055000000,146535000000,3520000000,3789000000,7547000000,14.53559510567297,0.03295389324660417,0.008624833511922048,0.020085369203245513,1.4353835852305337
