date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-10-22,UAL,4816000000,12.83,375000000,10306000000,1911000000,8555000000,12121000000,8694000000,3427000000,627000000,1300000000,22.813333333333333,0.5629456458211572,0.11502543648045092,0.30545608181159023,1.416832261835184
2015-12-31,2016-02-18,UAL,823000000,2.24,367000000,9036000000,1059000000,8966000000,11759000000,8753000000,3006000000,352000000,1115000000,24.430517711171664,0.09179121124247155,0.020141455177308434,0.0543510586850149,1.3115101494534909
2016-03-31,2016-04-21,UAL,313000000,0.88,354000000,8195000000,829000000,7840000000,11606000000,9811000000,1795000000,383000000,1199000000,22.146892655367232,0.0399234693877551,0.007752706016397097,0.022937650537398876,1.480357142857143
2016-06-30,2016-07-19,UAL,588000000,1.78,330500100,9396000000,1508000000,7784000000,11415000000,8932000000,2483000000,1709000000,2547000000,23.55218651976202,0.07553956834532374,0.014527127186480878,0.04057883401972267,1.466469681397739
2016-09-30,2016-10-17,UAL,965000000,3.02,320000000,9913000000,2143000000,8439000000,11457000000,8827000000,2630000000,449000000,1138000000,26.371875,0.11435004147410831,0.02392937734024351,0.06070192691988159,1.3576253110558123
2016-12-31,2017-02-23,UAL,397000000,1.26,316000000,9052000000,1008000000,8659000000,11705000000,9526000000,2179000000,-222000000,658000000,27.401898734177216,0.04584825037533202,0.0098903836571998,0.02489347169675171,1.3517727220233284
2017-03-31,2017-04-18,UAL,99000000,0.31,313700140,8426000000,790000000,8449000000,12843000000,10679000000,2164000000,-144000000,547000000,26.93336381679651,0.011717363001538644,0.0023887079261672097,0.01000302859862415,1.5200615457450586
2017-06-30,2017-07-19,UAL,821000000,2.68,307490636,10008000000,1947000000,8854000000,13163000000,10792000000,2371000000,472000000,1561000000,28.794372782135714,0.09272645132143664,0.019405772094452454,0.04650660489726239,1.4866726903094647
2017-09-30,2017-10-19,UAL,645000000,2.15,299800000,9899000000,1680000000,8970000000,13943000000,12073000000,1870000000,-543000000,577000000,29.91994663108739,0.07190635451505016,0.01515329496064842,0.03527538849023428,1.5544035674470458
2017-12-31,2018-02-22,UAL,580000000,2.02,291800000,9438000000,751000000,8806000000,14392000000,12910000000,1482000000,-370000000,728000000,30.17820424948595,0.06586418351124233,0.013696689179615548,0.03343003622521029,1.6343402225755166
2018-03-31,2018-04-18,UAL,145000000,0.53,284313725,9032000000,882000000,8336000000,14964000000,12560000000,2404000000,765000000,1709000000,29.319724188482283,0.01739443378119002,0.0032941069562451722,0.012463899893468272,1.79510556621881
2018-06-30,2018-07-18,UAL,683000000,2.51,273017840,10777000000,1577000000,8639000000,14503000000,11619000000,2884000000,1716000000,2443000000,31.642620863164108,0.07906007639773122,0.015282719115705622,0.039634802068485735,1.6787822664660261
2018-09-30,2018-10-17,UAL,833000000,3.07,273114754,11003000000,1794000000,9469000000,14380000000,11759000000,2621000000,58000000,883000000,34.670408175751646,0.08797127468581688,0.01857840622700002,0.04506096637254834,1.5186397718872109
2018-12-31,2019-02-28,UAL,462000000,1.71,272700000,10491000000,1027000000,9995000000,19787000000,18093000000,1694000000,-484000000,1101000000,36.65199853318665,0.046223111555777886,0.009423955613577024,0.02147746342942735,1.9796898449224611
2019-03-31,2019-04-17,UAL,292000000,1.09,264271125,9589000000,1080000000,9802000000,20088000000,18240000000,1848000000,306000000,1915000000,37.090696155321545,0.02978983880840645,0.0057663066016311534,0.015122897592109304,2.049377678024893
2019-06-30,2019-07-17,UAL,1052000000,4.03,257729166,11402000000,2084000000,10320000000,20183000000,16962000000,3221000000,1852000000,2710000000,40.042033892275896,0.10193798449612403,0.020172579098753595,0.04340160977468547,1.9557170542635658
2019-09-30,2019-10-16,UAL,1024000000,4.01,253624406,11380000000,2093000000,11301000000,20140000000,17181000000,2959000000,234000000,1103000000,44.5580146573118,0.0906114503141315,0.019617234046629246,0.04045659206868276,1.782143173170516
2019-12-31,2020-02-25,UAL,641000000,2.55,253400000,10888000000,985000000,11531000000,20450000000,17688000000,2762000000,-11000000,1181000000,45.50513022888713,0.05558928106842425,0.012183763851666002,0.02560274112361803,1.7734801838522245
2020-03-31,2020-05-04,UAL,-1704000000,-6.89,248500000,7979000000,-1349000000,9418000000,23429000000,19987000000,3442000000,-1896000000,63000000,37.899396378269614,-0.18093013378636652,-0.03211761379700311,-0.05383750277701052,2.487683159906562
2020-06-30,2020-07-22,UAL,-1627000000,-5.8,280700000,1475000000,-1206000000,8517000000,24892000000,18387000000,6505000000,-169000000,-130000000,30.342002137513358,-0.19102970529529176,-0.029635161472468627,-0.05506993746668133,2.9226253375601736
2020-09-30,2020-10-15,UAL,-1841000000,-6.33,291000000,2489000000,-1377000000,7003000000,32861000000,19711000000,13150000000,-1521000000,-1889000000,24.06529209621993,-0.2628873339997144,-0.030087107159783622,-0.05919258004006868,4.692417535341996
2020-12-31,2021-03-01,UAL,-1897000000,-6.08,311845232,3412000000,-2039000000,5960000000,32751000000,21482000000,11269000000,-2274000000,-2177000000,19.11204465681874,-0.31828859060402687,-0.031856653456035465,-0.059397895566922695,5.495134228187919
2021-03-31,2021-04-22,UAL,-1357000000,-4.29,323577438,3221000000,-792000000,5206000000,33659000000,20993000000,12666000000,3000000,447000000,16.08888441721329,-0.2606607760276604,-0.022007070805358242,-0.04185674251913085,6.4654245101805605
2021-06-30,2021-07-22,UAL,-434000000,-1.34,323600000,5471000000,460000000,4904000000,40081000000,19243000000,20838000000,1814000000,2675000000,15.15451174289246,-0.08849918433931485,-0.006108460358344241,-0.005098793530288919,8.173123980424144
2021-09-30,2021-10-20,UAL,473000000,1.46,328472222,7750000000,1657000000,5431000000,39887000000,20631000000,19256000000,-1052000000,-786000000,16.534122632750357,0.0870926164610569,0.006825987820013276,0.03115131884129349,7.344319646473946
2021-12-31,2022-02-18,UAL,-646000000,-1.99,323800000,8192000000,180000000,5029000000,39366000000,21083000000,18283000000,-805000000,-269000000,15.531192093885114,-0.1284549612248956,-0.009475614228089476,-0.01285287228796844,7.827798767150527
2022-03-31,2022-04-21,UAL,-1377000000,-4.24,325000000,7566000000,-741000000,3624000000,38614000000,20146000000,18468000000,1074000000,1476000000,11.150769230769232,-0.37996688741721857,-0.01994553724036038,-0.044671034053515135,10.655077262693156
2022-06-30,2022-07-21,UAL,329000000,1.01,329000000,12112000000,1468000000,3964000000,38010000000,21125000000,16885000000,2141000000,2691000000,12.048632218844984,0.08299697275479313,0.004674557053750302,0.02448390483690697,9.588799192734612
