date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2022-12-31,2022-12-31,VLTO,80000000,0.88,246100000,1257000000,282000000,3235000000,123000000,123000000,0,329000000,337000000,13.145062982527428,0.02472952086553323,0.016580310880829015,0.05406945127793459,0.03802163833075734
2023-03-31,2023-03-31,VLTO,225000000,0.91,246100000,1225000000,314000000,3343000000,119000000,119000000,0,147000000,156000000,13.583908980089394,0.06730481603350284,0.04643962848297214,0.06499133448873484,0.03559676936883039
2023-06-30,2023-06-30,VLTO,209000000,0.85,246100000,1253000000,317000000,1028000000,2580000000,2330000000,250000000,289000000,301000000,4.177163754571312,0.20330739299610895,0.041044776119402986,0.06676593210244193,2.509727626459144
2023-09-30,2023-09-30,VLTO,205000000,0.83,246300000,1255000000,294000000,1038000000,2604000000,2178000000,426000000,232000000,243000000,4.214372716199756,0.197495183044316,0.03972868217054264,0.06493303074181332,2.508670520231214
2023-12-31,2023-12-31,VLTO,200000000,0.81,246400000,1288000000,308000000,1383000000,2777000000,2015000000,762000000,241000000,263000000,5.612824675324675,0.14461315979754158,0.03513086246267346,0.06449590586303866,2.007953723788865
2024-03-31,2024-03-31,VLTO,184000000,0.75,246900000,1246000000,299000000,1482000000,2618000000,1791000000,827000000,102000000,115000000,6.002430133657351,0.1241565452091768,0.0322354590049054,0.0625139016193095,1.7665317139001349
2024-06-28,2024-07-26,VLTO,203000000,0.82,247200000,1288000000,318000000,1666000000,2615000000,1572000000,1043000000,240000000,251000000,6.739482200647249,0.12184873949579832,0.03438929357953583,0.0691945187930364,1.5696278511404562
2024-09-27,2024-10-24,VLTO,219000000,0.89,247400000,1314000000,330000000,1954000000,2639000000,1372000000,1267000000,215000000,224000000,7.898140662894098,0.1120777891504606,0.03496726808238863,0.07206098171221442,1.350562947799386
2024-12-31,2025-02-25,VLTO,227000000,0.92,247300000,1345000000,328000000,2038000000,2767000000,1666000000,1101000000,263000000,285000000,8.241002830570158,0.11138370951913641,0.035435529191383076,0.06741360691144709,1.3577036310107948
2025-04-04,2025-04-30,VLTO,225000000,0.91,247900000,1332000000,335000000,2302000000,2630000000,1391000000,1239000000,142000000,157000000,9.286002420330778,0.09774109470026064,0.033860045146726865,0.06661813193763193,1.1424847958297133
2025-07-04,2025-07-28,VLTO,222000000,0.89,248200000,1371000000,332000000,2653000000,2672000000,1113000000,1559000000,323000000,339000000,10.688960515713134,0.08367885412740295,0.03095802538000279,0.06473991670626379,1.0071617037316245
