date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-11-04,VMC,123805000,0.93,133474000,1038460000,279050000,4363277000,1979623000,1810942000,168681000,150606000,216700000,32.69008945562432,0.028374315909808157,0.014886015958415105,0.02494302282321825,0.4537009683318295
2015-12-31,2016-02-25,VMC,88888000,0.67,133592000,857285000,232561000,4454188000,1980464000,1696404000,284060000,147594000,222041000,33.341727049523925,0.019956050350815907,0.01070729225289678,0.019271848079971406,0.44462963844364
2016-03-31,2016-05-04,VMC,18924000,0.14,133821000,754728000,133633000,4421053000,1981556000,1789670000,191886000,-65427000,42857000,33.03706443682232,0.0042804282147262205,0.0022946456449446924,0.007030190457395366,0.4482090578873404
2016-06-30,2016-08-03,VMC,124709000,0.93,133419000,956825000,285723000,4479331000,1982658000,1890756000,91902000,-31804000,59676000,33.57341158305788,0.02784098786180347,0.01504310013627076,0.023485529827411828,0.4426236864388901
2016-09-30,2016-11-02,VMC,142024000,1.07,133019000,1008140000,300114000,4503970000,1983770000,1848405000,135365000,155239000,242915000,33.85959900465347,0.03153306971405227,0.016992409146353502,0.026314118030138174,0.44044920370251134
2016-12-31,2017-02-24,VMC,137052000,0.85,132571000,872974000,235744000,4572476000,1982889000,1723903000,258986000,236432000,299140000,34.49077098309585,0.029973257377403403,0.016211209879171767,0.021277573776111402,0.4336576069508074
2017-03-31,2017-05-10,VMC,44921000,0.34,132636000,787328000,145987000,4520761000,2329387000,2042430000,286957000,-38870000,94152000,34.08396664555626,0.009936601381935474,0.005137160974364628,0.012231924052110021,0.5152643548287557
2017-06-30,2017-08-04,VMC,120139000,0.91,132413000,1030763000,272632000,4602104000,3335069000,2205270000,1129799000,-96942000,61070000,34.75568108871485,0.026105233606194038,0.012172208086713368,0.02042647502205389,0.7246835360522057
2017-09-30,2017-11-03,VMC,108579000,0.82,132484000,1094715000,310906000,4685134000,2814793000,2113630000,701163000,168502000,244313000,35.36377222909936,0.02317521761383986,0.01150282424586311,0.025108430981891465,0.6007924213053458
2017-12-31,2018-02-27,VMC,327546000,2.47,132519000,977490000,221863000,4968893000,2854865000,2713219000,141646000,152422000,245143000,37.4957025030373,0.0659193103977083,0.03446078445297269,0.4624118720165043,0.5745474897527477
2018-03-31,2018-05-04,VMC,52979000,0.4,132690000,854474000,167705000,4913210000,2975709000,2937568000,38141000,-35720000,92968000,37.02773381566056,0.010782970807272639,0.0056043390970539,0.012099222369197424,0.6056547552414816
2018-06-30,2018-08-01,VMC,159652000,1.21,132437000,1200151000,319225000,5020630000,3136929000,3081870000,55059000,64314000,182792000,37.90957209843171,0.031799196515178374,0.016216912427941536,0.02306709237620462,0.6248078428404403
2018-09-30,2018-10-31,VMC,179151000,1.35,132392000,1240197000,343465000,5145789000,2978152000,2940126000,38026000,195799000,296871000,38.86782433983927,0.034815069175980595,0.018140706901379,0.025627930128294903,0.5787551724332265
2018-12-31,2019-02-26,VMC,124022000,0.94,132060000,1088047000,277118000,5202903000,2912380000,2872343000,40037000,139296000,260146000,39.39802362562472,0.023837077108683363,0.012613950385114925,0.0187307243504179,0.5597605798147688
2019-03-31,2019-05-03,VMC,63299000,0.48,132043000,996511000,196743000,5217209000,3362539000,3331701000,30838000,-5855000,116164000,39.51143945532895,0.01213273227122011,0.006147412820928183,0.010779161789833201,0.6445091618909651
2019-06-30,2019-07-29,VMC,197558000,1.49,132269000,1327682000,372036000,5371447000,3315802000,3289771000,26031000,81934000,185752000,40.61002200061995,0.03677928870935523,0.018849580049698667,0.025924441890799538,0.6173014459604647
2019-09-30,2019-11-07,VMC,215713000,1.63,132414000,1418758000,399983000,5542239000,3174171000,3083760000,90411000,263157000,344213000,41.85538538221034,0.038921634379174196,0.020466764006815012,0.028277615075907193,0.5727235869835278
2019-12-31,2020-02-26,VMC,141093000,1.07,132467000,1186152000,293691000,5621857000,3172382000,2900793000,271589000,260792000,337993000,42.43967931635804,0.025097223212899224,0.013249670643424095,0.019955158324106635,0.5642943248111789
2020-03-31,2020-05-06,VMC,60258000,0.45,132567000,1049242000,198445000,5590326000,3185080000,3065039000,120041000,-60175000,82475000,42.16981601756093,0.010778977827053378,0.005669003146184792,0.009886713219327915,0.5697485262934576
2020-06-30,2020-08-05,VMC,209916000,1.58,132552000,1322575000,405734000,5764151000,3691250000,2874485000,816765000,262619000,343116000,43.48596022692981,0.036417505370695526,0.01841574548168725,0.027465107484053505,0.6403805174430719
2020-09-30,2020-11-06,VMC,199788000,1.51,132573000,1309890000,394852000,5928352000,3693843000,2609743000,1084100000,306493000,352335000,44.717642355532426,0.03370042804475848,0.017237171060209226,0.02682181809369524,0.6230809169226119
2020-12-31,2021-02-25,VMC,114518000,0.86,132619000,1175119000,277533000,6027300000,3687200000,2490100000,1197100000,199228000,292433000,45.448238940121705,0.018999883861762316,0.009798830400349793,0.017026344144976283,0.6117498714183797
2021-03-31,2021-05-05,VMC,160600000,1.21,132700000,1068300000,355800000,6136241000,3185643000,2463299000,722344000,68612000,169262000,46.24145440844009,0.026172374911611198,0.014171305136612793,0.021598322357254108,0.5191521975750301
2021-06-30,2021-08-05,VMC,195300000,1.47,132800000,1361000000,398900000,6293113000,3228456000,2370901000,857555000,137027000,228600000,47.38789909638554,0.03103392549919253,0.016878363519504364,0.026443476966755843,0.5130141473703078
2021-09-30,2021-11-05,VMC,176900000,1.33,132800000,1516500000,383000000,6426098000,4508619000,4372936000,135683000,200557000,326900000,48.3892921686747,0.02752836947086708,0.012923726925229848,0.01902121532139665,0.7016106819410473
2021-12-31,2022-02-25,VMC,138081000,1.04,132800000,1606303000,348406000,6545000000,4522500000,4287500000,235000000,154404000,287084000,49.28463855421687,0.021097173414820473,0.010091722333474632,0.015620102681739276,0.6909854851031322
2022-03-31,2022-05-05,VMC,91800000,0.69,133000000,1540700000,289500000,6575300000,4610100000,4487000000,123100000,15200000,175600000,49.438345864661656,0.013961340166988578,0.006622994343760822,0.011194590803652666,0.7011239030918741
