date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-10-22,VRSN,92457000,0.82,112955000,265780000,170168000,-1031410000,1861480000,1683609000,177871000,148554000,155322000,-9.131158425921827,-0.08964136473371404,0.03587351904411779,0.17494509813357131,-1.8047914990159102
2015-12-31,2016-02-19,VRSN,101530000,0.92,110952000,272625000,168883000,-1070447000,1869680000,1641021000,228659000,176538000,188535000,-9.647838705025597,-0.09484822695565498,0.04306247897878347,0.21848720842304242,-1.746634817043721
2016-03-31,2016-04-28,VRSN,107456000,0.98,109592000,281876000,184755000,-1108023000,1865250000,1631225000,234025000,136544000,143626000,-10.110436893203884,-0.09697993633706159,0.04624402831207317,0.24731258340703857,-1.683403683858548
2016-06-30,2016-07-28,VRSN,113210000,1.05,108067000,286466000,191801000,-1127330000,1868580000,1697614000,170966000,154289000,160665000,-10.431769180230782,-0.10042312366387837,0.048920283833576834,0.2359691018638986,-1.657527077253333
2016-09-30,2016-10-27,VRSN,114427000,1.08,106307000,287554000,192735000,-1169238000,1863593000,1685808000,177785000,18755000,168186000,-10.998692466159332,-0.09786459215318011,0.04979462388472654,0.26339315052226825,-1.5938525774906391
2016-12-31,2017-02-17,VRSN,105552000,1.01,104080000,286271000,184888000,-1200595000,1866953000,1635008000,231945000,188787000,195472000,-11.535309377402,-0.08791640811431,0.045212570012833186,0.2926186353017953,-1.5550231343625451
2017-03-31,2017-04-27,VRSN,116412000,1.14,102467000,288614000,189674000,-1187749000,1863541000,1408949000,454592000,138532000,148186000,-11.591527028213962,-0.09801060661806493,0.05027469003709319,0.6272218800222764,-1.568968696248113
2017-06-30,2017-07-27,VRSN,123100000,1.22,101060000,288552000,201032000,-1203158000,1867015000,1624589000,242426000,171391000,180711000,-11.90538294082723,-0.10231407678791979,0.052511441820863036,0.34391801871869254,-1.5517621127067267
2017-09-30,2017-10-26,VRSN,114899000,1.15,99614000,292428000,199793000,-1229938000,2406386000,2119564000,286822000,153036000,174671000,-12.347039572750818,-0.09341853003972558,0.03950641649615265,0.16099115123089663,-1.9565100029432378
2017-12-31,2018-02-16,VRSN,102837000,1.05,98215000,295501000,194727000,-1260271000,2410145000,1944294000,465851000,190303000,199193000,-12.83175685995011,-0.0815991163805245,0.03496444293938368,0.19220719748715315,-1.912402173818171
2018-03-31,2018-04-26,VRSN,134263000,1.38,97250000,299288000,205340000,-1234734000,2413983000,710261000,1703722000,82327000,89989000,-12.696493573264782,-0.10873840033561885,0.04621276188568362,-0.3229612253559068,-1.9550631957976374
2018-06-30,2018-07-26,VRSN,128351000,1.13,113936000,302452000,205748000,-1380989000,1783788000,1527392000,256396000,190810000,201817000,-12.120743224266255,-0.0929413630376491,0.06714375766706686,1.0250901544869924,-1.291674300084939
2018-09-30,2018-10-25,VRSN,137680000,1.13,121682000,305777000,213187000,-1401101000,1784417000,1552846000,231571000,176533000,187461000,-11.51444749428839,-0.09826557828450626,0.07305420486164908,1.0180711916130598,-1.27358199016345
