date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-10-26,VTR,22852000,0.07,332491000,827606000,374025000,9609435000,11268560000,11203329000,65231000,244110000,304321000,28.901338682851566,0.002378079460446946,0.001019542404277474,0.008285989531947554,1.172655832522932
2015-12-31,2016-02-12,VTR,124728000,0.37,335559000,841274000,454565000,9564327000,11206996000,11153973000,53023000,308831000,369722000,28.502668681215525,0.013040959390033403,0.005602751748524094,0.011470281451104878,1.1717495648151721
2016-03-31,2016-04-29,VTR,148980000,0.44,335559000,852289000,457024000,9614195000,11247730000,11196029000,51701000,214403000,272891000,28.651280400764097,0.015495837144971577,0.0066923339400067165,0.011253106826657902,1.1699086610995513
2016-06-30,2016-07-29,VTR,143162000,0.42,338901000,848404000,454167000,9689715000,10901131000,10843809000,57322000,325468000,383584000,28.59157984190073,0.014774634754479363,0.006479832594894999,0.012223582891097142,1.125020808145544
2016-09-30,2016-10-28,VTR,149452000,0.43,350274000,867116000,457846000,10488539000,11252327000,11163048000,89279000,291705000,344795000,29.943812558168748,0.014249077016350895,0.006379677100881302,0.012092850670361206,1.072821200359745
2016-12-31,2017-02-14,VTR,207637000,0.59,353911000,875713000,482850000,10460240000,11127326000,10840619000,286707000,274778000,366187000,29.556131343755915,0.01985011816172478,0.008962773993594226,0.011854008361265619,1.0637734889448043
2017-03-31,2017-04-28,VTR,198127000,0.56,354410000,883443000,481814000,10414606000,11943733000,11852449000,91284000,225444000,335731000,29.38575660957648,0.019023955394952052,0.00828313300234024,0.011988830036742393,1.1468252375557941
2017-06-30,2017-07-28,VTR,151831000,0.43,355024000,895490000,491917000,10374058000,11907997000,11804644000,103353000,312591000,401525000,29.220723106043536,0.014635642098781402,0.006364543101082766,0.012060103838433001,1.1478629674135232
2017-09-30,2017-10-27,VTR,613958000,1.72,355929000,899928000,480993000,10731340000,11424145000,11339082000,85063000,254394000,348983000,30.15022659013455,0.057211680927079005,0.025861975640480466,0.012540167325776551,1.064559039225297
2017-12-31,2018-02-09,VTR,392554000,1.1,356112000,895288000,481628000,10866226000,11276062000,11194707000,81355000,218108000,355941000,30.513506986566025,0.036126066216550255,0.016387456557819247,0.014973505920052376,1.0377164988101664
2018-03-31,2018-04-27,VTR,78703000,0.22,356112000,943705000,425156000,10740815000,11039812000,10947269000,92543000,213513000,308019000,30.161339690883768,0.00732747002904342,0.0033499889969612886,0.009045195088274725,1.0278374592617041
