date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-11-20,V,1512000000,0.62,2428000000,3571000000,2413000000,29842000000,0,-3518000000,3518000000,1596000000,1734000000,12.290774299835256,0.05066684538569801,0.038407803490232935,0.05771482871588479,0.0
2015-12-31,2016-01-28,V,1941000000,0.8,2421000000,3565000000,2788000000,29476000000,15877000000,3040000000,12837000000,1853000000,1979000000,12.17513424204874,0.06585018319989144,0.0353056732815541,0.0603496638679318,0.5386416067308997
2016-03-31,2016-04-25,V,1707000000,0.71,2389000000,3626000000,2694000000,29131000000,15876000000,-67000000,15943000000,716000000,840000000,12.19380493930515,0.058597370498781366,0.03142141884180687,0.06190848026640948,0.5449864405616011
2016-06-30,2016-07-25,V,412000000,0.17,2375000000,3630000000,673000000,32827000000,15879000000,9992000000,5887000000,171000000,303000000,13.821894736842106,0.012550644286715203,0.006450905788591917,0.012608788962777187,0.4837176714290066
2016-09-30,2016-11-15,V,1931000000,0.79,2350000000,4261000000,2786000000,32912000000,15882000000,10263000000,5619000000,2311000000,2452000000,14.005106382978724,0.05867160913952358,0.03015538377449832,0.04713048212477248,0.4825595527467185
2016-12-31,2017-02-02,V,2070000000,0.86,2332000000,4461000000,3265000000,31726000000,16451000000,10627000000,5824000000,2337000000,2508000000,13.604631217838765,0.06524617033348043,0.0326652990373994,0.05117184064333983,0.5185336947613944
2017-03-31,2017-04-21,V,430000000,0.18,2318000000,4477000000,2968000000,30783000000,15888000000,9461000000,6427000000,250000000,396000000,13.279982743744608,0.013968748984829289,0.006800892023977098,0.01121866827011043,0.5161290322580645
2017-06-30,2017-07-20,V,2059000000,0.87,2296000000,4565000000,3186000000,31944000000,15891000000,8454000000,7437000000,3342000000,3537000000,13.912891986062718,0.06445654896068119,0.032171875,0.053416566250230245,0.49746431254695717
2017-09-30,2017-11-17,V,2140000000,0.91,2281000000,4855000000,3394000000,32760000000,18367000000,8493000000,9874000000,2572000000,2767000000,14.362121876370013,0.06532356532356533,0.03148123630051341,0.054352427942365916,0.5606532356532357
2017-12-31,2018-02-01,V,2522000000,1.07,2267000000,4862000000,3538000000,33401000000,16621000000,8483000000,8138000000,2621000000,2762000000,14.733568592853992,0.07550672135564804,0.0375554695178247,0.06307682763629884,0.4976198317415646
2018-03-31,2018-04-27,V,2605000000,1.12,2245300000,5073000000,3489000000,34103000000,16624000000,8482000000,8142000000,2607000000,2820000000,15.188616220549592,0.07638624167961763,0.037730656701717796,0.0634345783008395,0.4874644459431722
2018-06-30,2018-07-27,V,2329000000,1.0,2231301000,5240000000,3119000000,33318000000,16627000000,8122000000,8505000000,3468000000,3637000000,14.932095669746037,0.069902154991296,0.03416208287495416,0.0592996283852436,0.49903955819677054
2018-09-30,2018-11-16,V,2845000000,1.24,2221301000,5434000000,3851000000,34006000000,16630000000,8468000000,8162000000,3299000000,3494000000,15.309046365170682,0.083661706757631,0.04109786926688335,0.06982198506808396,0.4890313474092807
2018-12-31,2019-01-31,V,2977000000,1.3,2205586000,5506000000,3883000000,34095000000,16633000000,8344000000,8289000000,3137000000,3294000000,15.45847679482913,0.08731485555066726,0.04154629823459633,0.07196423945254887,0.48784279219826954
2019-03-31,2019-04-26,V,2977000000,1.31,2195000000,5494000000,3977000000,34275000000,16630000000,8982000000,7648000000,1908000000,2064000000,15.61503416856492,0.08685630926331145,0.04261074930222572,0.07144156640338768,0.4851932895696572
2019-06-30,2019-07-26,V,3101000000,1.37,2180000000,5840000000,4159000000,34995000000,16694000000,8782000000,7912000000,3190000000,3384000000,16.05275229357798,0.08861265895127876,0.04414297712422953,0.07318161352046416,0.4770395770824403
2019-09-30,2019-11-14,V,3025000000,1.34,2167301000,6137000000,3987000000,34684000000,16729000000,8891000000,7838000000,3793000000,4042000000,16.003314721859123,0.08721600738092493,0.04168159395926916,0.07136603541625408,0.4823261446199977
2019-12-31,2020-01-31,V,3272000000,1.46,2154586000,6054000000,4267000000,35270000000,16688000000,7920000000,8768000000,3684000000,3875000000,16.369734139180334,0.09277005954068614,0.04375442960110188,0.07787432387853765,0.47314998582364615
2020-03-31,2020-05-04,V,3084000000,1.39,2228000000,5854000000,4139000000,34585000000,17892000000,8152000000,9740000000,1251000000,1467000000,15.522890484739676,0.0891716061876536,0.04235100247184839,0.07438615258143559,0.5173341043805118
2020-06-30,2020-07-31,V,2373000000,1.07,2214000000,4837000000,3271000000,35524000000,20879000000,6981000000,13898000000,2841000000,3002000000,16.04516711833785,0.06679990992005405,0.030468388886035643,0.058532572927380504,0.5877434973539016
2020-09-30,2020-11-19,V,2137000000,0.97,2128301000,5101000000,3396000000,36210000000,24640000000,8351000000,16289000000,1928000000,2096000000,17.013570918775116,0.05901684617508975,0.026409125174557273,0.05023291230531891,0.6804750069041701
2020-12-31,2021-01-29,V,3126000000,1.42,2135586000,5687000000,4081000000,37679000000,21055000000,6023000000,15032000000,3353000000,3513000000,17.643400921339623,0.08296398524376974,0.03886802775221943,0.07412544268114109,0.5587993311924414
2021-03-31,2021-04-29,V,3026000000,1.38,2193000000,5729000000,3950000000,37696000000,20974000000,4480000000,16494000000,3171000000,3329000000,17.189238486092112,0.08027376910016978,0.03773302574973502,0.07413984899525357,0.5563985568760611
2021-06-30,2021-07-29,V,2575000000,1.18,2128586000,6130000000,4724000000,37790000000,20996000000,2962000000,18034000000,4235000000,4414000000,17.75356974066352,0.06813971950251389,0.031147560813344462,0.0650730495439441,0.5555967187086531
2021-09-30,2021-11-18,V,3584000000,1.65,2124301000,6559000000,4625000000,37589000000,20977000000,4490000000,16487000000,3763000000,3971000000,17.69476171220557,0.09534704301790417,0.04323489673808145,0.08765024187094028,0.5580621990475937
2021-12-31,2022-01-28,V,3959000000,1.84,2106586000,7059000000,5229000000,36194000000,20920000000,6200000000,14720000000,4059000000,4232000000,17.181354096153683,0.10938277062496546,0.04832232786925265,0.09594123830851378,0.5779963529866828
2022-03-31,2022-04-28,V,3647000000,1.7,2093301000,7189000000,4883000000,35989000000,21027000000,8728000000,12299000000,3222000000,3489000000,17.192463004603734,0.10133651949206703,0.04457999217680422,0.08396348888460013,0.5842618577898803
2022-06-30,2022-07-28,V,3411000000,1.64,1897000000,7275000000,4170000000,35483000000,23795000000,9748000000,14047000000,5017000000,5252000000,18.70479704797048,0.09613054138601584,0.039936775553213906,0.07759904657960816,0.6706028238874954
2022-09-30,2022-11-16,V,3940000000,1.86,2116000000,7787000000,5253000000,35581000000,22450000000,6761000000,15689000000,5581000000,5876000000,16.815217391304348,0.11073325651330766,0.0460813323820774,0.09609110103831511,0.6309547230263343
2022-12-31,2023-01-27,V,4179000000,1.99,2102000000,7936000000,5341000000,36924000000,20487000000,7153000000,13334000000,3922000000,4171000000,17.566127497621313,0.11317842053948651,0.04894187639804654,0.09742118917517666,0.5548423789405265
2023-03-31,2023-04-27,V,4257000000,2.04,2093000000,7985000000,5654000000,38565000000,20606000000,6764000000,13842000000,3650000000,3860000000,18.425704730052555,0.1103850641773629,0.049069217912512245,0.09644004683337805,0.5343186827434202
2023-06-30,2023-07-26,V,4156000000,2.0,2080000000,8123000000,5563000000,38981000000,20560000000,4970000000,15590000000,5502000000,5797000000,18.740865384615386,0.10661604371360406,0.0465741757626017,0.09790417504042478,0.5274364433955003
2023-09-30,2023-11-15,V,4681000000,2.27,2065000000,8609000000,6066000000,38733000000,20981000000,4695000000,16286000000,6622000000,6927000000,18.756900726392253,0.12085301938915137,0.05172432844561818,0.11128744832575072,0.541682802777993
2023-12-31,2024-01-26,V,4890000000,2.39,2045000000,8634000000,6476000000,39733000000,20703000000,7112000000,13591000000,3347000000,3614000000,19.429339853300732,0.12307150227770368,0.053495826450349525,0.10761758097840679,0.5210530289683638
2024-03-31,2024-04-24,V,4663000000,2.29,2039000000,8775000000,5844000000,40485000000,20603000000,7610000000,12993000000,4257000000,4538000000,19.85532123589995,0.11517846115845375,0.05046591413326984,0.09839603193291468,0.5089045325429171
2024-06-30,2024-07-24,V,4872000000,2.4,2029000000,8900000000,6449000000,39729000000,20602000000,7655000000,12947000000,4734000000,5134000000,19.58058156727452,0.12263082383145812,0.05351493848857645,0.10618445708628912,0.5185632661280173
2024-09-30,2024-11-13,V,5318000000,2.66,2003000000,9617000000,6822000000,39137000000,20836000000,8861000000,11975000000,6355000000,6664000000,19.539191213180228,0.1358816465237499,0.05626858249304314,0.11385656971949056,0.5323862329764673
2024-12-31,2025-01-30,V,5119000000,2.58,1985000000,9510000000,6664000000,38296000000,20609000000,8242000000,12367000000,5051000000,5396000000,19.292695214105795,0.13366931272195529,0.055709124151140516,0.11322505091226179,0.5381501984541467
2025-03-31,2025-04-30,V,4577000000,2.32,1949986500,9594000000,5901000000,38030000000,20762000000,9028000000,11734000000,4368000000,4695000000,19.502699121250327,0.12035235340520642,0.04929296845551571,0.10008890767945923,0.5459374178280305
2025-06-30,2025-07-30,V,5219000000,2.69,1936908500,10172000000,6689000000,38664000000,25138000000,8046000000,17092000000,6309000000,6730000000,19.961707019200958,0.13498344713428512,0.052177477405422695,0.11356168122021634,0.6501655286571487
