date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-11-03,WBD,279000000,0.43,432000000,1557000000,992000000,5645000000,7057000000,6795000000,262000000,234000000,258000000,13.06712962962963,0.04942426926483614,0.01752622652176644,0.0272659856901505,1.250132860938884
2015-12-31,2016-02-18,WBD,219000000,0.34,428000000,1646000000,978000000,5451000000,7735000000,7345000000,390000000,598000000,625000000,12.735981308411215,0.040176114474408366,0.01380484114977307,0.021884116483194004,1.4190056870299028
2016-03-31,2016-05-05,WBD,263000000,0.42,413000000,1561000000,985000000,5366000000,7990000000,7657000000,333000000,47000000,62000000,12.99273607748184,0.0490122996645546,0.016563798967124323,0.02527613089392451,1.4890048453224003
2016-06-30,2016-08-02,WBD,408000000,0.66,404000000,1708000000,1104000000,5345000000,7939000000,7754000000,185000000,300000000,328000000,13.23019801980198,0.07633302151543499,0.0260038240917782,0.03733483621710384,1.485313376987839
2016-09-30,2016-11-01,WBD,219000000,0.37,395000000,1556000000,921000000,5204000000,7996000000,7772000000,224000000,418000000,444000000,13.174683544303797,0.042083013066871636,0.013817034700315457,0.022255321110432488,1.536510376633359
2016-12-31,2017-02-14,WBD,304000000,0.52,393000000,1672000000,1109000000,5167000000,7923000000,7623000000,300000000,527000000,546000000,13.147582697201019,0.05883491387652409,0.019397651863195507,0.028676275622939118,1.5333849429069093
2017-03-31,2017-05-09,WBD,215000000,0.37,389000000,1613000000,447000000,5335000000,8102000000,7835000000,267000000,208000000,255000000,13.7146529562982,0.04029990627928772,0.013554406758290253,0.02231328337349928,1.5186504217432053
2017-06-30,2017-08-04,WBD,374000000,0.65,384000000,1745000000,644000000,5526000000,8263000000,8057000000,206000000,157000000,188000000,14.390625,0.06768005790807094,0.023159328751006254,0.03335844970994242,1.4952949692363373
2017-09-30,2017-11-02,WBD,218000000,0.38,381000000,1651000000,1777000000,5740000000,14708000000,7714000000,6994000000,699000000,724000000,15.065616797900262,0.037979094076655055,0.009419694940154691,0.03032011515298742,2.562369337979094
2017-12-31,2018-02-28,WBD,-1144000000,-1.99,381000000,1864000000,-290000000,4610000000,14785000000,7476000000,7309000000,430000000,462000000,12.0997375328084,-0.24815618221258134,-0.050720461095100866,-0.08000921964019762,3.207158351409978
2018-03-31,2018-05-10,WBD,-8000000,-0.01,422000000,2307000000,1104000000,7889000000,19367000000,18555000000,812000000,112000000,160000000,18.694312796208532,-0.0010140702243630372,-0.00023082693750360668,-0.0010677391513253314,2.4549372544048675
2018-06-30,2018-08-08,WBD,216000000,0.3,523000000,2845000000,1882000000,7936000000,18329000000,17937000000,392000000,522000000,556000000,15.173996175908222,0.02721774193548387,0.006449301325689717,0.014467229416882362,2.309601814516129
2018-09-30,2018-11-09,WBD,117000000,0.16,523000000,2592000000,1624000000,8116000000,17482000000,16951000000,531000000,907000000,931000000,15.518164435946463,0.014415968457368162,0.0035549343704423917,0.010982925310729044,2.154016757023164
2018-12-31,2019-03-01,WBD,269000000,0.38,524000000,2809000000,1827000000,8386000000,16793000000,15807000000,986000000,888000000,929000000,16.00381679389313,0.03207727164321488,0.0082642089093702,0.01663704377299219,2.0025041736227047
2019-03-31,2019-05-02,WBD,384000000,0.53,524000000,2707000000,1822000000,8708000000,16343000000,15598000000,745000000,498000000,542000000,16.61832061068702,0.044097381717960495,0.01183577857230921,0.02267888277353411,1.8767799724391365
2019-06-30,2019-08-06,WBD,947000000,1.33,528000000,2885000000,1878000000,9621000000,16509000000,15188000000,1321000000,596000000,674000000,18.22159090909091,0.09843051657831826,0.02798049933520461,0.04872978156467366,1.7159338946055505
