date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-10-02,2015-11-10,WDC,283000000,1.23,231000000,3360000000,563000000,9336000000,2536000000,-2545000000,5081000000,394000000,545000000,40.41558441558441,0.030312767780634103,0.01854400104842409,0.043398109337292615,0.27163667523564694
2016-01-01,2016-02-10,WDC,251000000,1.08,232000000,3317000000,509000000,9557000000,2505000000,-2858000000,5363000000,449000000,598000000,41.19396551724138,0.0262634718007743,0.016229147808095177,0.039464539605862395,0.26211154127864394
2016-04-01,2016-05-09,WDC,74000000,0.32,233000000,2822000000,340000000,9609000000,2203000000,-3684000000,5887000000,352000000,485000000,41.24034334763949,0.007701113539390155,0.004950826252759751,0.014675105485232067,0.22926423144968258
2016-07-01,2016-08-29,WDC,-366000000,-1.34,261000000,3495000000,161000000,11145000000,16994000000,8843000000,8151000000,204000000,355000000,42.701149425287355,-0.03283983849259758,-0.011137484024100785,-0.00977844438621936,1.5248093315388067
2016-09-30,2016-11-08,WDC,-366000000,-1.28,285000000,4714000000,473000000,10775000000,13133000000,9056000000,4077000000,257000000,440000000,37.80701754385965,-0.03396751740139211,-0.012616339193381593,-0.0023836101403724944,1.2188399071925755
2016-12-30,2017-02-07,WDC,235000000,0.82,286000000,4888000000,1040000000,10732000000,13073000000,8133000000,4940000000,914000000,1060000000,37.52447552447553,0.021897130078270592,0.008110440034512511,0.02041229163105951,1.2181326872903466
2017-03-31,2017-05-08,WDC,248000000,0.86,289000000,4649000000,1069000000,11031000000,13088000000,7436000000,5652000000,895000000,998000000,38.16955017301038,0.022482095911522074,0.008421624558543873,0.022485343699857215,1.186474481008068
2017-06-30,2017-08-29,WDC,280000000,0.96,292000000,4842000000,1162000000,11418000000,13151000000,6797000000,6354000000,814000000,939000000,39.102739726027394,0.024522683482221055,0.009377093101138647,0.022817153874901196,1.151777894552461
2017-09-29,2017-11-07,WDC,681000000,2.31,295000000,5181000000,1448000000,12059000000,13131000000,6245000000,6886000000,978000000,1133000000,40.877966101694916,0.05647234430715648,0.02232420914604163,0.047947266202107756,1.088896260054731
2017-12-29,2018-02-06,WDC,-823000000,-2.78,296000000,5336000000,1506000000,11272000000,12051000000,5779000000,6272000000,931000000,1182000000,38.08108108108108,-0.07301277501774309,-0.027580428954423593,-0.06055196623232597,1.0691092973740242
