date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-10-30,WELL,198395000,0.52,351765000,976925000,526830000,14645093000,11467775000,11175733000,292042000,415113000,416978000,41.633172714738535,0.013546858323125705,0.007225828793220487,0.012513416336995539,0.7830455566243246
2015-12-31,2016-02-18,WELL,149282000,0.38,355076000,1022350000,480171000,14590560000,12967686000,12606778000,360908000,334785000,337144000,41.09137198796877,0.010231409897906591,0.0051434260346966435,0.0091705858119723,0.8887723295062012
2016-03-31,2016-05-05,WELL,165321000,0.42,355076000,1043000000,530573000,14519594000,13063198000,12707249000,355949000,370675000,373712000,40.89151054985412,0.01138606217226184,0.005683420474346845,0.01115424573274953,0.8996944404919311
2016-06-30,2016-08-02,WELL,211826000,0.55,356646000,1061855000,571685000,14393374000,12973727000,12507142000,466585000,470723000,475029000,40.357592682940506,0.014716910711831708,0.007313297059735295,0.012781690616994409,0.9013680183673404
2016-09-30,2016-11-02,WELL,351262000,0.93,358932000,1076249000,543902000,14789845000,13430888000,13002271000,428617000,418839000,423605000,41.20514470707543,0.02375021509691278,0.011765072737149723,0.01165966341762905,0.9081155346793696
2016-12-31,2017-02-22,WELL,349395000,0.92,362088000,1070406000,494827000,14806393000,12358245000,11938867000,419378000,351515000,356349000,40.891697598373874,0.02359757707363299,0.01210437459882466,0.011070366329592083,0.8346560164923355
2017-03-31,2017-05-05,WELL,336787000,0.86,362534000,1058226000,469111000,14636203000,11454185000,11073825000,380360000,381397000,385526000,40.37194580370393,0.02301054446976446,0.012128917070262236,0.009019788510226041,0.7825926573989169
2017-06-30,2017-07-28,WELL,200109000,0.51,366524000,1053540000,502363000,14828832000,11379946000,10937662000,442284000,455224000,458583000,40.45801093516386,0.013494589459237248,0.007152935756657561,0.011182718833985226,0.7674202526537491
2017-09-30,2017-11-07,WELL,85719000,0.2,369089000,1085447000,442092000,14729925000,11521592000,11285345000,236247000,315810000,318355000,39.90887021829423,0.0058193778990728055,0.003041797273202039,0.007916296286360149,0.7821894544609018
2017-12-31,2018-02-28,WELL,-99847000,-0.3,370485000,1101891000,309266000,14423147000,11731936000,11488159000,243777000,268257000,271713000,38.93044792636679,-0.006922691698281936,-0.0035730536068975427,0.003099392478040695,0.813410277243933
2018-03-31,2018-05-04,WELL,449347000,1.18,371426000,1093951000,475253000,14558435000,11349840000,11147016000,202824000,366308000,368644000,39.19605789578543,0.03086506207569701,0.016194634460314664,0.00929277818449596,0.7796057749339129
