date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-09-30,XYZ,-53930000,-0.17,322944713,332188000,-29642000,236462000,122000,-173961000,174083000,3665000,13629000,0.7322058249642254,-0.22807047221117982,-0.09019209092459854,-0.5895715050045294,0.0005159391360979777
2015-12-31,2016-03-10,XYZ,-48289000,-0.24,327134357,374360000,-25548000,508048000,0,-461329000,461329000,16570000,24694000,1.5530255050526534,-0.09504810569080087,-0.05396793820101657,-0.7612360926073298,0.0
2016-03-31,2016-05-06,XYZ,-96755000,-0.29,331324000,379269000,-80154000,444884000,101000,-370545000,370646000,-21676000,-13749000,1.3427460733300334,-0.2174836586615837,-0.10237876811111146,-1.2050993636774174,0.0002270254718083815
2016-06-30,2016-08-04,XYZ,-27345000,-0.0818,334488000,438533000,-20342000,471459000,86000,-342350000,342436000,-27102000,-18789000,1.409494511013848,-0.05800080176643144,-0.029299511835524143,-0.07760356021431263,0.0001824124685285465
2016-09-30,2016-11-02,XYZ,-32323000,-0.094,343893000,439002000,-9416000,510389000,1267000,-436633000,437900000,51939000,55773000,1.4841505933531651,-0.06333012662890462,-0.030719211410671653,-0.2607769121496372,0.0024824202715967624
2016-12-31,2017-02-27,XYZ,-15167000,-0.0447,338965247,451917000,-4050000,576153000,0,-452030000,452030000,-24863000,-19104000,1.6997406226721525,-0.026324604749085746,-0.01252061728863874,-0.1208702896276343,0.0
2017-03-31,2017-05-04,XYZ,-15090000,-0.0411,366737000,461554000,-3641000,627933000,349902000,-354592000,704494000,37490000,43998000,1.7122161112732013,-0.0240312262614005,-0.009483927288633806,-0.04951519388211807,0.557228239318526
2017-06-30,2017-08-02,XYZ,-15962000,-0.0424,376357000,551505000,-1739000,703744000,353737000,-363252000,716989000,39217000,46592000,1.869884179117168,-0.022681543288468536,-0.009164535624103612,-0.0328547987222409,0.502650111404147
2017-09-30,2017-11-08,XYZ,-16097999,-0.0419,383951000,585159000,-2970000,732909000,357629000,-300783000,658412000,33985000,39727000,1.9088607660873393,-0.021964526291804305,-0.007725116275052163,-0.026819062249805223,0.48795825948378313
2017-12-31,2018-02-27,XYZ,-15663000,-0.0413,379344000,616035000,-3376999,786333000,358572000,-337902000,696474000,-9078000,-2606000,2.0728758066557003,-0.019919041932616333,-0.007160981497483164,-0.02867138932530217,0.45600528020571435
