date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-05,2015-10-15,YUM,421000000,0.97,436000000,3427000000,782000000,1839000000,3217000000,2356000000,861000000,632000000,870000000,4.217889908256881,0.22892876563349646,0.05060096153846154,0.10724050189012439,1.7493202827623708
2015-12-26,2016-02-16,YUM,275000000,0.64,433000000,3951000000,683000000,911000000,3928000000,3615000000,737000000,-9000000,322000000,2.1039260969976907,0.3018660812294182,0.034055727554179564,0.0728198187595622,4.311745334796926
2016-03-19,2016-04-26,YUM,364000000,0.88,415000000,1443000000,423000000,156000000,4831000000,3897000000,934000000,499000000,659000000,0.3759036144578313,2.3333333333333335,0.04427685196448121,0.06336495973801674,30.96794871794872
2016-06-11,2016-07-19,YUM,336000000,0.82,408000000,1509000000,489000000,-389000000,5363000000,4568000000,795000000,172000000,278000000,-0.9534313725490197,-0.8637532133676092,0.04105571847507331,0.07256980875071328,-13.7866323907455
2016-09-03,2016-10-11,YUM,640000000,1.65,388000000,1518000000,476000000,-1896000000,9167000000,6282000000,2885000000,243000000,349000000,-4.88659793814433,-0.33755274261603374,0.06134969325153374,0.06588617058505393,-4.834915611814346
2016-12-31,2017-02-22,YUM,267000000,0.83,366000000,1886000000,-84000000,-5656000000,9125000000,8400000000,704000000,208000000,-338000000,-15.453551912568306,-0.047206506364922206,0.04874041621029573,-0.024826459779501833,-1.6133309759547383
2017-03-31,2017-05-10,YUM,280000000,0.78,357000000,1417000000,527000000,-5800000000,9108000000,8583000000,525000000,212000000,288000000,-16.246498599439775,-0.04827586206896552,0.05423203563819485,0.13250478150069223,-1.5703448275862069
2017-06-30,2017-08-08,YUM,206000000,0.59,350000000,1448000000,481000000,-6102000000,9849000000,8879000000,970000000,77000000,151000000,-17.434285714285714,-0.033759423139954114,0.0368120085775554,0.09922572532527758,-1.6140609636184857
2017-09-30,2017-11-08,YUM,418000000,1.21,345000000,1436000000,694000000,-6121000000,9851000000,8871000000,980000000,201000000,279000000,-17.742028985507247,-0.06828949518052606,0.07664099743307665,0.18390839694656486,-1.6093775526874694
2017-12-31,2018-02-22,YUM,436000000,1.29,337000000,1577000000,1268000000,-6334000000,9804000000,8282000000,1522000000,222000000,312000000,-18.795252225519288,-0.0688348594884749,0.08209376765204293,0.24800490406239895,-1.5478370697821282
2018-03-31,2018-05-09,YUM,433000000,1.3,332000000,1371000000,653000000,-6754000000,9480000000,8498000000,982000000,147000000,189000000,-20.343373493975903,-0.06411015694403316,0.08953680727874276,0.30047223373767595,-1.4036126739709802
2018-06-30,2018-08-07,YUM,321000000,0.99,324000000,1368000000,503000000,-7247000000,9666000000,9353000000,313000000,149000000,192000000,-22.367283950617285,-0.044294190699599834,0.07420249653259361,0.20024021004413164,-1.3337932937767352
2018-09-30,2018-11-07,YUM,454000000,1.43,318000000,1391000000,677000000,-7458000000,9700000000,9502000000,198000000,353000000,415000000,-23.452830188679247,-0.060874229015821936,0.10926594464500601,0.268283163657952,-1.300616787342451
2018-12-31,2019-02-21,YUM,334000000,1.07,313000000,1558000000,595000000,-7926000000,10072000000,9780000000,292000000,293000000,380000000,-25.322683706070286,-0.04213979308604592,0.08087167070217918,0.23021577430317508,-1.2707544789301035
2019-03-31,2019-05-08,YUM,262000000,0.85,308000000,1254000000,440000000,-7904000000,10074000000,9796000000,278000000,256000000,300000000,-25.662337662337663,-0.03314777327935223,0.05522765598650928,0.19173849406407548,-1.2745445344129556
2019-06-30,2019-08-09,YUM,289000000,0.94,307000000,1310000000,524000000,-7994000000,10194000000,9942000000,252000000,129000000,161000000,-26.039087947882734,-0.03615211408556417,0.06183140778776209,0.19518624829111267,-1.2752064048036027
