date,filingDate,symbol,netIncome,eps,weightedAverageShsOut,revenue,ebitda,totalStockholdersEquity,totalDebt,netDebt,cashAndCashEquivalents,freeCashFlow,operatingCashFlow,bookValuePerShare,ROE,ROA,ROIC,debtToEquity
2015-09-30,2015-11-09,ZBH,22200000,0.11,203500000,1762200000,362100000,9991600000,11914600000,10447700000,1466900000,44800000,151300000,49.0987714987715,0.002221866367748909,0.0008318002480413352,0.004187456480666316,1.1924616678009528
2015-12-31,2016-02-29,ZBH,127000000,0.63,200100000,1933600000,507500000,9887900000,11497400000,10038100000,1459300000,338000000,387100000,49.41479260369815,0.012843981027316214,0.0046657726997189515,0.010654828270004421,1.1627747044367358
2016-03-31,2016-05-10,ZBH,108800000,0.53,200100000,1904000000,489900000,9659700000,11117400000,10120600000,996800000,245200000,265200000,48.2743628185907,0.011263289750199282,0.004137306871808132,0.008626447573102155,1.150905307618249
2016-06-30,2016-08-08,ZBH,-31300000,-0.16,195625000,1934000000,450900000,9548400000,11033500000,10057200000,976300000,333500000,387200000,48.8097124600639,-0.0032780361107620126,-0.001201853849964098,-0.0029060032159986806,1.1555339114406602
2016-09-30,2016-11-08,ZBH,158800000,0.79,200100000,1832800000,483100000,9745500000,11582000000,11106700000,475300000,296200000,352600000,48.703148425787106,0.016294700118003182,0.00587354132376602,0.014266732221213514,1.1884459494125494
2016-12-31,2017-03-01,ZBH,69600000,0.33,200400000,2013100000,372900000,9668900000,11241400000,10607300000,634100000,572600000,627200000,48.24800399201597,0.00719833693594928,0.002625533311453889,0.01349341246733263,1.1626348395370725
2017-03-31,2017-05-09,ZBH,299400000,1.49,201100000,1972400000,615700000,9933400000,11512800000,10473300000,1039500000,232300000,275400000,49.395325708602684,0.030140737310487848,0.011093901688911285,0.019251494095324218,1.1589989328930679
2017-06-30,2017-08-08,ZBH,184200000,0.91,201800000,1949500000,542800000,10278900000,10683700000,10233700000,450000000,409800000,440500000,50.93607532210109,0.01792020546945685,0.006952465067826165,0.012735868389709425,1.0393816458959617
2017-09-30,2017-11-06,ZBH,98800000,0.49,202300000,1813100000,476000000,10449800000,10424700000,9943900000,480800000,427500000,463500000,51.654967869500744,0.00945472640624701,0.0037399451121415727,0.007979172134889481,0.9975980401538785
2017-12-31,2018-02-27,ZBH,1231400000,6.21,202500000,2074300000,220300000,11735800000,10142500000,9618100000,524400000,356700000,402900000,57.95456790123457,0.1049268051602788,0.0466570174973288,0.02051880554555048,0.8642359276742957
2018-03-31,2018-05-08,ZBH,174700000,0.86,203000000,2017600000,564900000,11998400000,11111900000,9346500000,1765400000,463800000,490500000,59.10541871921182,0.014560274703293772,0.006427236472267597,0.011137093321628287,0.9261151486864916
2018-06-30,2018-08-06,ZBH,185000000,0.91,203300000,2007600000,554700000,12043100000,9513300000,9032100000,481200000,366300000,393300000,59.23807181505165,0.015361493303219271,0.007257520360286849,0.011806553773803519,0.7899378067108968
2018-09-30,2018-11-01,ZBH,162200000,0.8,203700000,1836700000,481700000,12216800000,9197400000,8672800000,524600000,422600000,484100000,59.97447226313206,0.013276799161809967,0.006390355369947207,0.011169929130404604,0.7528485364416214
2018-12-31,2019-02-26,ZBH,-901100000,-4.41,204400000,2071000000,-544900000,11271300000,8938700000,8395900000,542800000,332000000,379500000,55.14334637964775,-0.07994641256997861,-0.03734850871230333,-0.042380300591259974,0.793049603861134
2019-03-31,2019-05-06,ZBH,246100000,1.2,204400000,1975500000,597400000,11534400000,8810600000,8223800000,586800000,245800000,283600000,56.43052837573386,0.02133617700097101,0.01013215859030837,0.014938255202345277,0.7638542100152587
2019-06-30,2019-08-05,ZBH,133700000,0.65,204800000,1988600000,453000000,11659100000,8719300000,8316200000,403100000,44500000,301000000,56.92919921875,0.011467437452290485,0.0055234924005502836,0.009412907906339169,0.7478536079114169
2019-09-30,2019-11-05,ZBH,431100000,2.1,205300000,1892400000,492900000,12081500000,8345900000,7833400000,512500000,519300000,577900000,58.84802727715538,0.03568265529942474,0.017729650588932028,0.0283668548133848,0.6907999834457642
2019-12-31,2020-02-21,ZBH,320700000,1.56,205800000,2125700000,595500000,12388100000,8221400000,7603500000,617900000,371500000,423300000,60.194849368318756,0.02588774711214795,0.013016108804441793,0.018989690746185322,0.6636530218516157
2020-03-31,2020-05-11,ZBH,-508500000,-2.46,206500000,1783800000,-200000000,11878600000,9674200000,7240600000,2433600000,410700000,450900000,57.523486682808716,-0.04280807502567643,-0.019931093682019684,-0.023937964823371388,0.814422575050932
2020-06-30,2020-08-05,ZBH,-206600000,-1.0,206600000,1226100000,87800000,11641400000,8209300000,7495900000,713400000,-71800000,-52800000,56.34753146176186,-0.017747006373803838,-0.008736615977942794,-0.008231774294419623,0.7051815073788376
